pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00340943,"",D000021951,DaVita Inc,20300,9500,10800,2022-04-18 00:00:00 +0000,1, , ,0,          
C00441949,"",          ,JStreetPAC,12560,1000,11560,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,11063,11000,63,2022-04-18 00:00:00 +0000,3, , ,0,          
C00002881,"",D000000177,American Trucking Assns,11000,10000,1000,2022-04-18 00:00:00 +0000,4, , ,0,          
C00450916,"",D000031673,Asurion LLC,10800,0,10800,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Bija Holdings,10800,0,10800,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000032766,Columbia Sportswear,10800,0,10800,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Education & Software Executive,10800,0,10800,2022-04-18 00:00:00 +0000,5, , ,0,          
C00711747,"",D000034179,Greenbrier Companies,10800,0,10800,2022-04-18 00:00:00 +0000,5, , ,0,          
C00236968,"",          ,Hatch LTK,10800,10800,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000036196,New Villages Group,10800,0,10800,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000042641,Dr Bronner's Magic Soaps,10300,0,10300,2022-04-18 00:00:00 +0000,12, , ,0,          
C90021163,"",D000000203,Amalgamated Transit Union,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000023645,Cow Creek Band of Umpqua Indians,10000,0,10000,2022-04-18 00:00:00 +0000,13, , ,0,          
C00271007,"",D000000652,Humana Inc,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00466813,"",          ,Humane Society Legislative Fund,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00372862,"",D000024346,PeopleForBikes,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C70001979,"",D000000066,Teamsters Union,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000036707,Pisces Inc,8700,0,8700,2022-04-18 00:00:00 +0000,22, , ,0,          
C00064766,"",D000000081,United Parcel Service,8500,8500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000030813,Vernier Software & Technology,8400,0,8400,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000035829,Metro West Ambulance,7900,0,7900,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000046101,United Group,7900,0,7900,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000088679,Johnson-Laird Inc,7800,0,7800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Rogue Venture Partners,7800,0,7800,2022-04-18 00:00:00 +0000,27, , ,0,          
C00142786,"",D000027998,Nike Inc,7615,7500,115,2022-04-18 00:00:00 +0000,29, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00106146,"",D000000116,American Hospital Assn,7500,7500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00442913,"",D000024518,Burns & McDonnell,7500,7500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00397851,"",D000024670,Centene Corp,7500,7500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,7000,7000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00219444,"",D000027916,National Structured Settlements Trade Assn,7000,7000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00542365,"",          ,Toyota Motor North America,7000,7000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00010470,"",D000000118,Union Pacific Corp,7000,7000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00360354,"",D000023883,Amazon.com,6500,5000,1500,2022-04-18 00:00:00 +0000,38, , ,0,          
C00359539,"",D000021821,American Academy of Dermatology Assn,6000,6000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00102764,"",D000000269,American Chiropractic Assn,6000,6000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00068692,"",D000000089,FedEx Corp,6000,6000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
