pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00426775,"",D000000672,Charter Communications,88214,32500,55714,2022-04-18 00:00:00 +0000,1,x, ,5,D000000672
         ,"",D000034155,Granite Telecommunications,85800,0,85800,2022-04-18 00:00:00 +0000,2,x, ,1,D000034155
         ,"",D000000769,"Paul, Weiss et al",55825,0,55825,2022-04-18 00:00:00 +0000,3, ,x,0,D000000769
C00699470,"",D000073971,Pro-Israel America PAC,53600,0,53600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000021845,Apollo Global Management,44346,0,44346,2022-04-18 00:00:00 +0000,5,x, ,4,D000021845
         ,"",D000077526,Gori Law Firm,41432,0,41432,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000022331,Yale University                         ,39934,0,39934,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,NOT EMPLOYED,38804,0,38804,2022-04-18 00:00:00 +0000,8, , ,0,          
C00227546,"",D000000115,Microsoft Corp,36026,16000,20026,2022-04-18 00:00:00 +0000,9,x, ,5,D000000115
         ,"",D000022252,Simmons Hanly Conroy,34600,0,34600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000067823,Alphabet Inc,33613,0,33613,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000000615,"Wachtell, Lipton et al                  ",33240,0,33240,2022-04-18 00:00:00 +0000,12, ,x,0,D000000615
         ,"",D000042214,Crawford Group,32800,30000,2800,2022-04-18 00:00:00 +0000,13, , ,0,          
C00301929,"",D000026977,"Kelley, Drye & Warren",29850,2000,27850,2022-04-18 00:00:00 +0000,14,x,x,1,D000026977
C00330647,"",D000000535,DISH Network,29100,17000,12100,2022-04-18 00:00:00 +0000,15,x, ,3,D000000535
C00266585,"",D000000344,Greenberg Traurig LLP,28800,6500,22300,2022-04-18 00:00:00 +0000,16, , ,0,          
C00211318,"",D000000131,Deloitte LLP,28608,25000,3608,2022-04-18 00:00:00 +0000,17,x,x,3,D000000131
         ,"",D000070496,Freepoint Commodities,28200,0,28200,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000022322,Wilmerhale Llp,27740,0,27740,2022-04-18 00:00:00 +0000,19, ,x,1,D000022322
C00078451,"",D000000165,General Dynamics,27662,27000,662,2022-04-18 00:00:00 +0000,20,x, ,6,D000000165
         ,"",D000090594,Worldquant LLC,27400,0,27400,2022-04-18 00:00:00 +0000,21, , ,0,          
C00323048,"",D000000422,Oracle Corp,27267,15500,11767,2022-04-18 00:00:00 +0000,22,x, ,5,D000000422
         ,"",D000000552,Paloma Partners,27250,0,27250,2022-04-18 00:00:00 +0000,23, , ,0,          
C00016683,"",D000000138,Pfizer Inc,27128,24800,2328,2022-04-18 00:00:00 +0000,24,x, ,2,D000000138
         ,"",D000031890,Belfer Management,27000,0,27000,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000000286,Mashantucket Pequot Tribal Nation,26600,0,26600,2022-04-18 00:00:00 +0000,26,x, ,0,D000000286
C00024521,"",D000000065,American Assn for Justice,26299,25000,1299,2022-04-18 00:00:00 +0000,27,x,x,1,D000000065
C00197863,"",D000021884,Altice Usa,25930,12500,13430,2022-04-18 00:00:00 +0000,28,x, ,2,D000021884
C00009985,"",D000000202,National Assn of Broadcasters,25500,21500,4000,2022-04-18 00:00:00 +0000,29,x, ,5,D000000202
C00097568,"",D000072615,Raytheon Technologies,25416,24000,1416,2022-04-18 00:00:00 +0000,30,x, ,3,D000072615
         ,"",D000032937,Creative Artists Agency,25400,0,25400,2022-04-18 00:00:00 +0000,31, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,25000,25000,0,2022-04-18 00:00:00 +0000,32,x, ,0,D000000084
         ,"",D000061333,Foster & Foster,24950,0,24950,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000000709,Susman Godfrey LLP,24200,0,24200,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000020995,UBS AG,24165,22500,1665,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000070394,"Early, Lucarelli et al",24100,0,24100,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000021919,Clifford Law Offices,24000,0,24000,2022-04-18 00:00:00 +0000,37, , ,0,          
C00033779,"",D000022214,Real Estate Roundtable,24000,24000,0,2022-04-18 00:00:00 +0000,37,x, ,0,D000022214
         ,"",D000022082,"Lieff, Cabraser et al                   ",23798,0,23798,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000022194,Power Rogers LLP,23533,0,23533,2022-04-18 00:00:00 +0000,40, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,23500,23500,0,2022-04-18 00:00:00 +0000,41,x, ,2,D000000101
C00431858,"",D000022267,Steptoe & Johnson,23450,3500,19950,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000033988,General Atlantic,23200,0,23200,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000055308,Pegasus Capital Advisors                          ,23200,0,23200,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000022275,Technology Crossover Ventures,23200,0,23200,2022-04-18 00:00:00 +0000,43, , ,0,          
C00546101,"",D000067048,News Corp,23050,12000,11050,2022-04-18 00:00:00 +0000,46, , ,0,          
C00303024,"",D000000104,Lockheed Martin,22999,22500,499,2022-04-18 00:00:00 +0000,47,x, ,2,D000000104
         ,"",D000053882,Mohegan Tribe of Indians Of Connecticut,22110,0,22110,2022-04-18 00:00:00 +0000,48,x, ,0,D000053882
         ,"",D000022121,Motley Rice LLC,21950,0,21950,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000068838,Amphenol Corp,21200,0,21200,2022-04-18 00:00:00 +0000,50, , ,0,          
C00114108,"",D000024017,American Society of Travel Advisors,21000,21000,0,2022-04-18 00:00:00 +0000,51,x, ,0,D000024017
C00279216,"",D000059056,iHeartMedia Inc,21000,18500,2500,2022-04-18 00:00:00 +0000,51,x, ,2,D000059056
         ,"",D000067329,AlixPartners,20800,0,20800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Charmer Industries,20800,0,20800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000031992,Bloomberg LP,20758,0,20758,2022-04-18 00:00:00 +0000,55,x, ,1,D000031992
         ,"",D000063612,SV Angel LLC,20600,0,20600,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",D000033406,Elevation Partners,20400,0,20400,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000022233,Point72 Asset Management,20400,0,20400,2022-04-18 00:00:00 +0000,57, , ,0,          
C00397851,"",D000024670,Centene Corp                            ,20018,20000,18,2022-04-18 00:00:00 +0000,59, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,20013,20000,13,2022-04-18 00:00:00 +0000,60,x, ,0,D000000062
         ,"",D000000544,Harvard University                      ,19802,0,19802,2022-04-18 00:00:00 +0000,61, , ,0,          
C00096156,"",D000000334,Honeywell International,19500,19500,0,2022-04-18 00:00:00 +0000,62,x, ,2,D000000334
C00216895,"",D000068537,Arnold & Porter Kaye Scholer,19205,5000,14205,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Putnam Bridge,18700,0,18700,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000031442,Alternative Investment Group,18400,0,18400,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000022066,"Koskoff, Koskoff & Bieder",18283,0,18283,2022-04-18 00:00:00 +0000,66, , ,0,          
C00140061,"",D000000293,American College of Emergency Physicians,18000,18000,0,2022-04-18 00:00:00 +0000,67,x, ,0,D000000293
         ,"",D000031995,Blue Harbour Group,17850,0,17850,2022-04-18 00:00:00 +0000,68, , ,0,          
C00225342,"",D000022103,McGuireWoods LLP,17700,6000,11700,2022-04-18 00:00:00 +0000,69, , ,0,          
C00118943,"",D000000198,Massachusetts Mutual Life Insurance,17373,14500,2873,2022-04-18 00:00:00 +0000,70,x, ,0,D000000198
C00468314,"",D000025328,Democracy Engine,17100,0,17100,2022-04-18 00:00:00 +0000,71, , ,0,          
C00007922,"",D000000074,Laborers Union,17000,17000,0,2022-04-18 00:00:00 +0000,72,x, ,0,D000000074
         ,"",D000084052,American Cruise Lines,16600,0,16600,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000052964,Laz Parking,16600,0,16600,2022-04-18 00:00:00 +0000,73, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,16500,16500,0,2022-04-18 00:00:00 +0000,75,x, ,0,D000000285
C00035451,"",D000000117,Air Line Pilots Assn,16000,16000,0,2022-04-18 00:00:00 +0000,76,x, ,1,D000000117
         ,"",D000083821,Lyndon Haviland & Co,15800,0,15800,2022-04-18 00:00:00 +0000,77, , ,0,          
