pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00552851,"",D000068902,House Freedom Fund,125266,7000,118266,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Cfpm LLC,17400,0,17400,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000034469,Hilcorp Energy,11650,0,11650,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Enstrom Candies,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Helix Mwr,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Leadership Circle LLC,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000083747,Onyx Packaging,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Harvey Ventures Group,10600,0,10600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Cranguest,10000,0,10000,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Cusamano Real Estate,10000,0,10000,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000086619,NCIC Inmate Communications,10000,0,10000,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000069789,Ngl Energy Partners,10000,0,10000,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Patriot Mobile,10000,0,10000,2022-04-18 00:00:00 +0000,12, , ,0,          
C00525543,"",D000071810,Project West PAC,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000036804,Prescott Investors,9108,0,9108,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000069468,Deason Capital Services,8700,0,8700,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Alan White Companies,8600,0,8600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Bear Mountain Ranch,8400,0,8400,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000000772,Station Casinos,8324,0,8324,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Banner & Bower Pc,6100,0,6100,2022-04-18 00:00:00 +0000,23, , ,0,          
C00390583,"",D000000724,"Brownstein, Hyatt et al",6000,0,6000,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Epwi,6000,0,6000,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000060309,Bellco Credit Union,5900,0,5900,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000043943,EOG Resources                           ,5825,0,5825,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,5810,0,5810,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000090752,A&J Capital,5800,0,5800,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000031255,Aaon Inc,5800,0,5800,2022-04-18 00:00:00 +0000,29, , ,0,          
