pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000035471,Lowenstein Sandler Llp,68058,0,68058,2022-04-18 00:00:00 +0000,1, , ,0,          
C00227546,"",D000000115,Microsoft Corp,66629,2500,64129,2022-04-18 00:00:00 +0000,2,x, ,1,D000000115
C00197749,"",D000000128,Walt Disney Co                          ,62793,0,62793,2022-04-18 00:00:00 +0000,3,x, ,0,D000000128
         ,"",D000032339,"Carella, Byrne et al",62550,0,62550,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000000464,Sullivan & Cromwell,58722,0,58722,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000061609,Harvest Partners,55785,0,55785,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000021845,Apollo Global Management,52867,0,52867,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000067823,Alphabet Inc,50844,5000,45844,2022-04-18 00:00:00 +0000,8,x, ,0,D000067823
         ,"",D000068102,Breakthru Beverage Group,49800,0,49800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000037205,Wonderful Co,48565,0,48565,2022-04-18 00:00:00 +0000,10,x, ,0,D000037205
         ,"",D000037602,"Simpson, Thacher & Bartlett",48420,0,48420,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000000406,University of California                ,47302,0,47302,2022-04-18 00:00:00 +0000,12,x, ,0,D000000406
         ,"",D000000750,Stanford University,45592,0,45592,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000000811,Kirkland & Ellis,45080,0,45080,2022-04-18 00:00:00 +0000,14, , ,0,          
C00247403,"",D000022158,NorPAC,44600,0,44600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000031066,William Blair & Co,41200,0,41200,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000021464,United Airlines Holdings,40183,0,40183,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000031759,Bad Robot Productions,38710,0,38710,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000090453,Menlo Realty Ventures,38700,0,38700,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000021859,Bain Capital,38600,0,38600,2022-04-18 00:00:00 +0000,20, , ,0,          
C00248716,"",D000000461,Comcast Corp,38207,5000,33207,2022-04-18 00:00:00 +0000,21,x, ,3,D000000461
         ,"",D000000333,"Kleiner, Perkins et al",37600,0,37600,2022-04-18 00:00:00 +0000,22,x, ,0,D000000333
C00360354,"",D000023883,Amazon.com,36919,2500,34419,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,NOT EMPLOYED,35279,0,35279,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000090037,Kraut Law Group,35000,0,35000,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000032451,Centerview Partners,34600,0,34600,2022-04-18 00:00:00 +0000,26, , ,0,          
C00412635,"",D000026216,Gibbons PC,34197,0,34197,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000000536,Latham & Watkins,33104,0,33104,2022-04-18 00:00:00 +0000,28, ,x,0,D000000536
         ,"",D000036457,"Pachulski, Stang et al",33000,0,33000,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000000690,"Sills, Cummis & Gross",32435,0,32435,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Eagle Capital,32300,0,32300,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000034001,Genova Burns LLC,32250,0,32250,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000037458,Seeger Weiss Llp,31605,0,31605,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000032937,Creative Artists Agency,31283,0,31283,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000035270,Lauder Partners,31200,0,31200,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000000769,"Paul, Weiss et al                       ",31121,0,31121,2022-04-18 00:00:00 +0000,36, , ,0,          
C00350744,"",D000000085,Goldman Sachs,30500,0,30500,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000036661,Phibro Animal Health,30310,0,30310,2022-04-18 00:00:00 +0000,38,x, ,0,D000036661
         ,"",D000068811,Li & Fung,30300,0,30300,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000073994,Raj Assoc,30300,0,30300,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000000729,Hbj Investments,30000,0,30000,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000073992,Arenberg Holdings,28600,0,28600,2022-04-18 00:00:00 +0000,42, , ,0,          
C00266585,"",D000000344,Greenberg Traurig LLP,28355,0,28355,2022-04-18 00:00:00 +0000,43, , ,0,          
