pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00699470,"",D000073971,PRO-ISRAEL AMERICA PAC,79000,0,79000,2022-04-18 00:00:00 +0000,1, , ,0,          
C00215285,"",D000000317,General Atomics,56550,28000,28550,2022-04-18 00:00:00 +0000,2,x, ,0,D000000317
C00169821,"",D000000460,Tyson Foods,55600,29500,26100,2022-04-18 00:00:00 +0000,3,x, ,0,D000000460
C00027466,"",D000036122,National Republican Senatorial Cmte,49000,49000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00064774,"",D000000321,NextEra Energy,48000,12000,36000,2022-04-18 00:00:00 +0000,5,x, ,1,D000000321
         ,"",D000073694,FTX.US,45600,0,45600,2022-04-18 00:00:00 +0000,6, , ,0,          
C00248716,"",D000000461,Comcast Corp,45500,26500,19000,2022-04-18 00:00:00 +0000,7,x, ,5,D000000461
C00093054,"",D000000367,Walmart Inc,41585,24500,17085,2022-04-18 00:00:00 +0000,8,x, ,0,D000000367
C00109017,"",D000000076,AT&T Inc,41075,40000,1075,2022-04-18 00:00:00 +0000,9,x, ,1,D000000076
C00540518,"",D000021890,Capital Group Companies,38300,32500,5800,2022-04-18 00:00:00 +0000,10,x, ,0,D000021890
C00416297,"",D000000431,National Cotton Council,36250,36000,250,2022-04-18 00:00:00 +0000,11,x, ,0,D000000431
         ,"",D000035735,McKee Foods,33603,0,33603,2022-04-18 00:00:00 +0000,12, , ,0,          
C00303024,"",D000000104,Lockheed Martin,33000,33000,0,2022-04-18 00:00:00 +0000,13,x, ,2,D000000104
C00130773,"",D000000755,National Multifamily Housing Council,32500,32500,0,2022-04-18 00:00:00 +0000,14,x, ,0,D000000755
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,32500,32500,0,2022-04-18 00:00:00 +0000,14,x, ,3,D000000356
C00078451,"",D000000165,General Dynamics,32050,32000,50,2022-04-18 00:00:00 +0000,16,x, ,6,D000000165
C00308478,"",D000029615,USA Rice Federation,32000,32000,0,2022-04-18 00:00:00 +0000,17,x, ,0,D000029615
C00009985,"",D000000202,National Assn of Broadcasters,31468,23000,8468,2022-04-18 00:00:00 +0000,18,x, ,0,D000000202
C00040279,"",D000000383,Abbott Laboratories,31357,23000,8357,2022-04-18 00:00:00 +0000,19,x, ,3,D000000383
C00088591,"",D000000170,Northrop Grumman,30000,30000,0,2022-04-18 00:00:00 +0000,20,x, ,1,D000000170
C00010470,"",D000000118,Union Pacific Corp,30000,30000,0,2022-04-18 00:00:00 +0000,20,x, ,0,D000000118
C00166553,"",D000000370,Stephens Inc,29900,10000,19900,2022-04-18 00:00:00 +0000,22, , ,0,          
C00279216,"",D000059056,iHeartMedia Inc,29000,29000,0,2022-04-18 00:00:00 +0000,23,x, ,0,D000059056
C00236489,"",D000000186,Koch Industries,29000,29000,0,2022-04-18 00:00:00 +0000,23,x, ,0,D000000186
C00163832,"",D000000148,CSX Corp,26500,26500,0,2022-04-18 00:00:00 +0000,25,x, ,0,D000000148
         ,"",D000068060,ClearPath Foundation,26200,0,26200,2022-04-18 00:00:00 +0000,26,x, ,0,D000068060
C00076182,"",D000027897,National Turkey Federation,26000,26000,0,2022-04-18 00:00:00 +0000,27,x, ,0,D000027897
         ,"",D000042363,Bayer AG,25000,25000,0,2022-04-18 00:00:00 +0000,28,x, ,3,D000042363
C00235739,"",          ,BNSF Railway,25000,25000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,25000,25000,0,2022-04-18 00:00:00 +0000,28,x, ,0,D000000153
         ,"",D000021939,Cornerstone Government Affairs,24425,0,24425,2022-04-18 00:00:00 +0000,31, ,x,4,D000021939
C00349746,"",D000021885,California Dairies Inc,24000,24000,0,2022-04-18 00:00:00 +0000,32,x, ,1,D000021885
C00211318,"",D000000131,Deloitte LLP,23500,23500,0,2022-04-18 00:00:00 +0000,33,x,x,0,D000000131
         ,"",D000033678,1st Financial Bank Usa,23366,0,23366,2022-04-18 00:00:00 +0000,34,x, ,0,D000033678
C00477653,"",D000000768,Cox Enterprises                         ,23300,14000,9300,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000031893,Bell Legal Group,23200,0,23200,2022-04-18 00:00:00 +0000,36, , ,0,          
C00004275,"",D000000087,American Bankers Assn,23000,23000,0,2022-04-18 00:00:00 +0000,37,x, ,2,D000000087
C00064766,"",D000000081,United Parcel Service,23000,22500,500,2022-04-18 00:00:00 +0000,37,x, ,1,D000000081
C00503680,"",D000049867,Crop Insurance Professionals Assn,22500,22500,0,2022-04-18 00:00:00 +0000,39,x, ,0,D000049867
C00238725,"",D000000285,National Air Traffic Controllers Assn,22500,22500,0,2022-04-18 00:00:00 +0000,39,x, ,0,D000000285
C00247403,"",D000022158,NorPAC,22500,0,22500,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000029205,Stephens Group,22200,0,22200,2022-04-18 00:00:00 +0000,42, , ,0,          
C00340943,"",D000021951,DaVita Inc,22000,22000,0,2022-04-18 00:00:00 +0000,43,x, ,0,D000021951
C00024968,"",D000000194,American Optometric Assn,21610,17500,4110,2022-04-18 00:00:00 +0000,44,x, ,1,D000000194
C00096156,"",D000000334,Honeywell International,21500,21500,0,2022-04-18 00:00:00 +0000,45,x, ,1,D000000334
C00676544,"",D000037784,Starkey Hearing Technologies,21400,0,21400,2022-04-18 00:00:00 +0000,46,x, ,0,D000037784
