pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00629709,"",          ,No Labels Problem Solvers,322201,10000,312201,2022-04-18 00:00:00 +0000,1, , ,0,          
C90005786,"",D000000288,League of Conservation Voters,80700,1000,79700,2022-04-18 00:00:00 +0000,2, , ,0,          
C00193433,"",D000000113,EMILY's List,42764,5000,37764,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000034019,Georgia State University,29227,0,29227,2022-04-18 00:00:00 +0000,4, , ,0,          
C00441949,"",          ,JStreetPAC,27305,0,27305,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000036528,Mass General Brigham,22205,0,22205,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000033433,Emory University,20898,0,20898,2022-04-18 00:00:00 +0000,7, , ,0,          
C00409730,"",D000022150,New Democrat Coalition,17814,7500,10314,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000055268,Patterson Planning & Services,15800,0,15800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000031938,Bessemer Venture Partners,14400,0,14400,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000036474,Paideia School,13200,0,13200,2022-04-18 00:00:00 +0000,11, , ,0,          
C00305318,"",D000000675,Blue Dog PAC,13000,13000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000030658,University of Georgia,11725,0,11725,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000062527,Moore Capital Management,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000035437,Lone Pine Capital,11200,0,11200,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Metco Inc,10800,0,10800,2022-04-18 00:00:00 +0000,17, , ,0,          
C00422774,"",          ,Frontline USA,10310,5000,5310,2022-04-18 00:00:00 +0000,18, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00227744,"",D000000098,Ernst & Young,9950,0,9950,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000032971,Crowne Partners,9700,0,9700,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000084411,Connecticut Science Center,9600,0,9600,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000053943,Morehouse School of Medicine,9300,0,9300,2022-04-18 00:00:00 +0000,23, , ,0,          
