pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00441949,"",          ,JStreetPAC,20360,2500,17860,2022-04-18 00:00:00 +0000,1, , ,0,          
C00279562,"",D000023957,American Federation of School Administrators,11200,10000,1200,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000030667,University of Maryland,8835,0,8835,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000070423,Arista Networks,8700,0,8700,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000032620,City University of New York,8344,0,8344,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000000517,DE Shaw & Co,7100,0,7100,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Nakedpoppy,7050,0,7050,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000036753,Pomerantz Llp,6800,0,6800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000021927,Columbia University,6315,0,6315,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000021915,"City of New York, NY",5835,0,5835,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000031369,Akonadi Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Chicago Cred,5800,0,5800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Cook & Baker,5800,0,5800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000034935,Jordan Real Estate Investments,5800,0,5800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Materials for the Arts,5800,0,5800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Morningside,5800,0,5800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Panorama Education,5800,0,5800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Phibro,5800,0,5800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000061881,Jane Street Capital,5765,0,5765,2022-04-18 00:00:00 +0000,19, , ,0,          
C00002089,"",D000000075,Communications Workers of America,5550,5000,550,2022-04-18 00:00:00 +0000,20, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,5500,5000,500,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000000536,Latham & Watkins,5400,0,5400,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Comrie Enterprises,5300,0,5300,2022-04-18 00:00:00 +0000,23, , ,0,          
C00630665,"",D000071023,Justice Democrats,5250,5000,250,2022-04-18 00:00:00 +0000,24, , ,0,          
C00606962,"",D000029923,Working Families Party                  ,5100,5000,100,2022-04-18 00:00:00 +0000,25, , ,0,          
C70003124,"",D000000077,Service Employees International Union,5055,2500,2555,2022-04-18 00:00:00 +0000,26, , ,0,          
C90016106,"",D000000088,AFL-CIO,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00147512,"",D000021932,Congressional Black Caucus PAC,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00685552,"",D000073603,Medicare for All PAC,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00525600,"",D000070198,Off the Sidelines,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00494682,"",D000035733,S&P Global,4920,0,4920,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Bank Street,4750,0,4750,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,International Community Hs,4345,0,4345,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Ted Lieu for Congress,4000,2000,2000,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Baystate Medical Center,3900,0,3900,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",          ,Elevate Bio,3750,0,3750,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Or Books,3750,0,3750,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Erol'S Plumbing,3500,0,3500,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000022154,New York University,3169,0,3169,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Allegaert Berger & Vogel,3160,0,3160,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000036657,Pharos Capital Group,3100,0,3100,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000000476,State of New York,3030,0,3030,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000083835,Eagle Knolls Capital,3000,0,3000,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Lemle & Wolff Companies,3000,0,3000,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000021754,Apple Inc,2962,0,2962,2022-04-18 00:00:00 +0000,46, , ,0,          
C00431361,"",D000029443,TIAA,2927,0,2927,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000031277,Accel Partners,2900,0,2900,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000070575,Aici LLC,2900,0,2900,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,Baffler,2900,0,2900,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,Block,2900,0,2900,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000084274,Eleemosynary Group,2900,0,2900,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000061753,Husseini Group,2900,0,2900,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,Justice Catalyst,2900,0,2900,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,Lii,2900,0,2900,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000078192,Metropolitan Public Strategies,2900,0,2900,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000053952,Morgan State University,2900,0,2900,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000089163,Nessel Development,2900,0,2900,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,NG Investments,2900,0,2900,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000086899,Paradigm Global Group,2900,0,2900,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,Pembrook Capital Management,2900,0,2900,2022-04-18 00:00:00 +0000,48, , ,0,          
