pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000036364,Ohio State University,262718,0,262718,2022-04-18 00:00:00 +0000,1,x, ,0,D000036364
C90005786,"",D000000288,League of Conservation Voters,206399,14499,191900,2022-04-18 00:00:00 +0000,2, , ,0,          
C00441949,"",          ,JStreetPAC,180048,9706,170342,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000032666,Cleveland Clinic,141357,0,141357,2022-04-18 00:00:00 +0000,4,x, ,0,D000032666
C00484535,"",D000065181,Votesane PAC,117526,0,117526,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000032380,Case Western Reserve University,103070,0,103070,2022-04-18 00:00:00 +0000,6, , ,0,          
C00290973,"",D000024873,Cleveland-Cliffs,78367,42000,36367,2022-04-18 00:00:00 +0000,7,x, ,1,D000024873
         ,"",D000034929,Jones Day,66210,0,66210,2022-04-18 00:00:00 +0000,8, ,x,0,D000034929
C00406215,"",D000022143,Nationwide,66136,36000,30136,2022-04-18 00:00:00 +0000,9,x, ,1,D000022143
C00174227,"",D000000620,Baker & Hostetler,62437,6000,56437,2022-04-18 00:00:00 +0000,10, ,x,0,D000000620
         ,"",D000067802,Subject Matter,60300,0,60300,2022-04-18 00:00:00 +0000,11, ,x,4,D000067802
         ,"",D000022261,Sony Corp,58856,2000,56856,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000031533,Analysis Group,58633,0,58633,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000035168,"Kohrman, Jackson & Krantz",58068,0,58068,2022-04-18 00:00:00 +0000,14, , ,0,          
C00163196,"",D000029435,Thompson Hine LLP,56718,7500,49218,2022-04-18 00:00:00 +0000,15, ,x,0,D000029435
C00165589,"",D000026556,Huntington Bancshares,54534,36000,18534,2022-04-18 00:00:00 +0000,16,x, ,1,D000026556
         ,"",D000030652,University of Cincinnati                ,51943,0,51943,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000036339,Oberlin College,51742,0,51742,2022-04-18 00:00:00 +0000,18, , ,0,          
C00401083,"",D000067299,Squire Patton Boggs,51557,1500,50057,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000044308,Nationwide Children's Hospital,50929,0,50929,2022-04-18 00:00:00 +0000,20, , ,0,          
C00248716,"",D000000461,Comcast Corp,50908,30000,20908,2022-04-18 00:00:00 +0000,21,x, ,5,D000000461
C00158881,"",D000000249,New York Life Insurance,50902,29000,21902,2022-04-18 00:00:00 +0000,22,x, ,9,D000000249
C70000492,"",D000000064,National Education Assn,45904,33000,12904,2022-04-18 00:00:00 +0000,23,x, ,0,D000000064
C00540518,"",D000021890,Capital Group Companies,45405,25000,20405,2022-04-18 00:00:00 +0000,24,x, ,1,D000021890
C00027342,"",D000000069,International Brotherhood of Electrical Workers,45063,40000,5063,2022-04-18 00:00:00 +0000,25,x, ,0,D000000069
C00214338,"",D000000225,Bath & Body Works Inc,44002,10000,34002,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000048677,Cincinnati Children's Hospital Medical Center,43198,0,43198,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000037813,State of Ohio                           ,42341,0,42341,2022-04-18 00:00:00 +0000,28, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,41769,35000,6769,2022-04-18 00:00:00 +0000,29,x, ,1,D000000309
C00220764,"",D000022310,"Vorys, Sater et al                      ",41656,8500,33156,2022-04-18 00:00:00 +0000,30, , ,0,          
C00211318,"",D000000131,Deloitte LLP,41624,35000,6624,2022-04-18 00:00:00 +0000,31,x,x,1,D000000131
C70003124,"",D000000077,Service Employees International Union,41075,35000,6075,2022-04-18 00:00:00 +0000,32, , ,0,          
C00004861,"",D000022292,UNITE HERE,39999,34999,5000,2022-04-18 00:00:00 +0000,33,x, ,0,D000022292
C00332833,"",D000021892,Cardinal Health,39392,22500,16892,2022-04-18 00:00:00 +0000,34,x, ,1,D000021892
         ,"",D000035066,Kent State University,39306,0,39306,2022-04-18 00:00:00 +0000,35, , ,0,          
C00257329,"",D000000485,Procter & Gamble,38532,8000,30532,2022-04-18 00:00:00 +0000,36, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,38500,37500,1000,2022-04-18 00:00:00 +0000,37,x, ,3,D000000062
C00024869,"",D000000125,General Electric,38159,23000,15159,2022-04-18 00:00:00 +0000,38,x, ,5,D000000125
         ,"",          ,Turtle Plastics,37650,0,37650,2022-04-18 00:00:00 +0000,39, , ,0,          
C00007880,"",D000000136,Credit Union National Assn              ,37255,35000,2255,2022-04-18 00:00:00 +0000,40,x, ,1,D000000136
