pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00699470,"",D000073971,Pro-Israel America PAC,781566,7500,774066,2022-04-18 00:00:00 +0000,1, , ,0,          
C00247403,"",D000022158,NorPAC,51900,4300,47600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000000536,Latham & Watkins,23550,0,23550,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000021873,Blackstone Group,23200,0,23200,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000078728,Rms Investment Group,22800,0,22800,2022-04-18 00:00:00 +0000,5, , ,0,          
C00388827,"",D000066716,Rock Holdings,22300,12500,9800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,NOT EMPLOYED,17000,0,17000,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000000465,Forest City Enterprises,15600,0,15600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000087806,Hoover Milstein,15100,0,15100,2022-04-18 00:00:00 +0000,9, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,15000,15000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00158576,"",D000000189,International Longshoremens Assn,15000,15000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000054848,Nrp Group,15000,0,15000,2022-04-18 00:00:00 +0000,10, , ,0,          
C00065870,"",          ,Operating Engineers Local 18,15000,15000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Integrated Visions,14350,0,14350,2022-04-18 00:00:00 +0000,14, , ,0,          
C00399063,"",D000000805,KeyCorp,14000,7500,6500,2022-04-18 00:00:00 +0000,15, , ,0,          
C00007922,"",D000000074,Laborers Union,13750,13500,250,2022-04-18 00:00:00 +0000,16, , ,0,          
C00072025,"",D000000221,National Rural Letter Carriers Assn,13500,13500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Chicago Cred,12600,0,12600,2022-04-18 00:00:00 +0000,18, , ,0,          
C00540542,"",D000054979,Olympic Steel,12550,2900,9650,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000021972,Elliott Management,12180,0,12180,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,International Forest Products LLC,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000035180,Kraft Group,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000053956,Morino Ventures,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000047699,"Benesch, Friedlander et al",11410,0,11410,2022-04-18 00:00:00 +0000,24, , ,0,          
