pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000077919,Sparagna & Sparagna,23200,0,23200,2022-04-18 00:00:00 +0000,1, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",20000,20000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000052507,Janney Montgomery Scott Llc,18326,0,18326,2022-04-18 00:00:00 +0000,3, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,15000,15000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000037299,Rustic Canyon Partners,14500,0,14500,2022-04-18 00:00:00 +0000,5, , ,0,          
C00468314,"",D000025328,Democracy Engine,13400,0,13400,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000000406,University of California                ,13040,0,13040,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Lawyer (Ny),11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Patagonia Inc,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
C00267849,"",D000000839,Allied Pilots Assn,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00488262,"",D000070195,Netjets Assn of Shared Aircraft Pilots,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00360669,"",D000029139,Southwest Airlines Pilots Assn,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00008268,"",D000000178,Transport Workers Union,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,8350,2500,5850,2022-04-18 00:00:00 +0000,14, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,8000,8000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,7500,7500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,7500,7500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
