pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000030349,Texas Oncology,17050,0,17050,2022-04-18 00:00:00 +0000,1, , ,0,          
C00736124,"",D000075404,Metropolitan Anesthesia Consultants,15205,7500,7705,2022-04-18 00:00:00 +0000,2, , ,0,          
C00359539,"",D000021821,American Academy of Dermatology Assn,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00413955,"",D000023922,American Assn of Neurological Surgeons,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Integrative Emergency Services                    ,13800,0,13800,2022-04-18 00:00:00 +0000,5, , ,0,          
C00343137,"",          ,American Assn of Orthopaedic Surgeons,13500,13500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000049365,CMI Group,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Key-Whitman,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Psn Services,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Foundation Management Services,10000,0,10000,2022-04-18 00:00:00 +0000,10, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00349225,"",          ,National Assn of Spine Specialists,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Texas Jet Inc,7800,0,7800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000090407,Southwest Office Systems,7750,0,7750,2022-04-18 00:00:00 +0000,14, , ,0,          
C00469429,"",D000065616,CMR PAC,7500,7500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00010983,"",D000000386,Johnson & Johnson,7500,7500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000044899,Hillwood Development,6300,0,6300,2022-04-18 00:00:00 +0000,17, , ,0,          
C00433060,"",D000029531,Republican Governance Group,6000,6000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000069468,Deason Capital Services,5900,0,5900,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000090241,Bancroft Operations,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Hunt Consolidated,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,McKinney,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Victorybase Re LLC,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Pack Automotive Group,5400,0,5400,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000090409,Privia Medical Group North Texas,5010,0,5010,2022-04-18 00:00:00 +0000,25, , ,0,          
C00267849,"",D000000839,Allied Pilots Assn,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00324780,"",D000023902,American Academy of Emergency Medicine,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00196246,"",D000000154,American Academy of Ophthalmology,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00365965,"",D000021823,American Academy of Pediatric Dentistry,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00005660,"",D000021827,American Assn/Oral & Maxillofacial Surg,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00140061,"",D000000293,American College of Emergency Physicians,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00382424,"",          ,American College of Surgeons Prof Assn,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00000729,"",D000000105,American Dental Assn,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00106146,"",D000000116,American Hospital Assn,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00000422,"",D000000068,American Medical Assn,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00024968,"",D000000194,American Optometric Assn,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00113803,"",D000021835,American Osteopathic Assn,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00251876,"",D000000391,Amgen Inc,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000043112,AstraZeneca PLC,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00109017,"",D000000076,AT&T Inc,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00415752,"",D000024424,Border Health,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00248716,"",D000000461,Comcast Corp,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Florida Orthopedics,5000,0,5000,2022-04-18 00:00:00 +0000,26, , ,0,          
C00448373,"",D000026537,Huck PAC,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00236489,"",D000000186,Koch Industries,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00113241,"",D000027790,National Apartment Assn,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00769810,"",D000055121,Owens & Minor,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00016683,"",D000000138,Pfizer Inc,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00762591,"",          ,Save America,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00570226,"",D000071238,Supporting Electing American Leaders,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00542365,"",          ,Toyota Motor North America,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00339655,"",          ,US Oncology,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Wolmed Medical,5000,0,5000,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000082338,Fasken Management,4998,0,4998,2022-04-18 00:00:00 +0000,59, , ,0,          
C00214981,"",D000022909,Texas Farm Bureau,4815,4815,0,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",          ,Hillwood,4500,0,4500,2022-04-18 00:00:00 +0000,61, , ,0,          
C00574103,"",D000070989,US Anesthesia Partners,4400,0,4400,2022-04-18 00:00:00 +0000,62, , ,0,          
C00558700,"",D000043793,Rothman Orthopaedic Institute,4250,0,4250,2022-04-18 00:00:00 +0000,63, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,4000,4000,0,2022-04-18 00:00:00 +0000,64, , ,0,          
C00165159,"",D000028615,Republican Main Street Partnership,4000,4000,0,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Southwest Displays & Events,4000,0,4000,2022-04-18 00:00:00 +0000,64, , ,0,          
C00435933,"",D000023904,American Academy of Neurology,3500,3500,0,2022-04-18 00:00:00 +0000,67, , ,0,          
         ,"",D000080201,Clark Eye Clinic,3000,0,3000,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",          ,Coastal Orthopedics,3000,0,3000,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",D000034297,Hance Scarborough Llp,3000,0,3000,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",          ,Air Center H,2900,0,2900,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",          ,Air Center Helicopters,2900,0,2900,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",          ,Alliance Rental Center,2900,0,2900,2022-04-18 00:00:00 +0000,71, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,2900,2900,0,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",D000090940,Anthem Ventures,2900,0,2900,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",          ,Bank of the West,2900,0,2900,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",D000049829,Cox Oil,2900,0,2900,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",D000074431,Dilworth Group,2900,0,2900,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",          ,Earth Pay Texas,2900,0,2900,2022-04-18 00:00:00 +0000,71, , ,0,          
C00783761,"",          ,End Litter Now PAC,2900,2900,0,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",          ,Greenberg Trauig,2900,0,2900,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",D000034394,Heartplace,2900,0,2900,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",          ,Oil & Gas/Investor-Banking/Real Esta,2900,0,2900,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",          ,Texas Spine Care Center,2900,0,2900,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",          ,Venable Royalty Ltd,2900,0,2900,2022-04-18 00:00:00 +0000,71, , ,0,          
C00692087,"",          ,Victory & Nation PAC,2900,2900,0,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",          ,Florida Orthopaedic Institute,2700,0,2700,2022-04-18 00:00:00 +0000,87, , ,0,          
C00107300,"",          ,American Airlines,2570,2500,70,2022-04-18 00:00:00 +0000,88, , ,0,          
C00040279,"",D000000383,Abbott Laboratories,2500,2500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00424143,"",D000026656,Alliance for Pharmacy Compounding,2500,2500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00411553,"",D000023903,American Academy of Family Physicians,2500,2500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00293910,"",D000021825,American Assn of Orthodontists,2500,2500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00375360,"",D000021828,American College of Cardiology,2500,2500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00364158,"",          ,American Congress of Obstetricians & Gynecologists,2500,2500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00012880,"",D000000298,American Physical Therapy Assn,2500,2500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00250753,"",D000024207,Auto Care Assn,2500,2500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
         ,"",D000021875,Bockorny Group,2500,0,2500,2022-04-18 00:00:00 +0000,89, , ,0,          
C00770214,"",          ,Champion American Values,2500,2500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00426775,"",D000000672,Charter Communications,2500,2500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00438754,"",          ,Energy Transfer Partners,2500,2500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00199257,"",          ,Genentech Inc,2500,2500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00076810,"",D000000155,General Motors,2500,2500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00266585,"",D000000344,Greenberg Traurig LLP,2500,2500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00528414,"",          ,Healthcare Freedom Fund,2500,2500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00563726,"",          ,Mr Southern Missourian in the House,2500,2500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C90016437,"",D000000086,National Assn of Home Builders,2500,2500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,2500,2500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,2500,2500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00215384,"",D000028149,ONEOK Inc,2500,2500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00034355,"",D000028201,Paccar Inc,2500,2500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00574921,"",D000037311,Ryan LLC,2500,2500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
         ,"",          ,Sam Pack Auto Group/Five Star Ford,2500,0,2500,2022-04-18 00:00:00 +0000,89, , ,0,          
C00325936,"",D000022257,Society of Thoracic Surgeons,2500,2500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00431858,"",D000022267,Steptoe & Johnson,2500,0,2500,2022-04-18 00:00:00 +0000,89, , ,0,          
         ,"",D000030181,Summit Petroleum,2500,0,2500,2022-04-18 00:00:00 +0000,89, , ,0,          
C00015552,"",D000020849,Texas Cattle Feeders Assn,2500,2500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
