pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00089136,"",D000000067,Altria Group,41100,30000,11100,2022-04-18 00:00:00 +0000,1,x, ,2,D000000067
C00040279,"",D000000383,Abbott Laboratories,32288,12500,19788,2022-04-18 00:00:00 +0000,2,x, ,6,D000000383
C00015933,"",D000000658,Pinnacle West Capital,30000,30000,0,2022-04-18 00:00:00 +0000,3,x, ,0,D000000658
C00109017,"",D000000076,AT&T Inc,29000,29000,0,2022-04-18 00:00:00 +0000,4,x, ,4,D000000076
         ,"",          ,New Jersey Urology,26250,0,26250,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000067317,British American Tobacco,25000,20000,5000,2022-04-18 00:00:00 +0000,6,x, ,2,D000067317
C00083535,"",D000000477,Duke Energy,25000,25000,0,2022-04-18 00:00:00 +0000,6,x, ,1,D000000477
C00096156,"",D000000334,Honeywell International,25000,25000,0,2022-04-18 00:00:00 +0000,6,x, ,2,D000000334
         ,"",D000033678,1st Financial Bank USA,21664,0,21664,2022-04-18 00:00:00 +0000,9,x, ,0,D000033678
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,21000,20000,1000,2022-04-18 00:00:00 +0000,10,x, ,2,D000000606
C00009282,"",D000019639,Norfolk Southern,20500,20500,0,2022-04-18 00:00:00 +0000,11,x, ,3,D000019639
C00250399,"",D000021853,Automotive Free International Trade PAC           ,20000,20000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00097485,"",D000000275,Merck & Co,20000,20000,0,2022-04-18 00:00:00 +0000,12,x, ,6,D000000275
C00097568,"",D000072615,Raytheon Technologies,20000,20000,0,2022-04-18 00:00:00 +0000,12,x, ,0,D000072615
         ,"",D000033509,Ervin Graves Strategy Group,18282,0,18282,2022-04-18 00:00:00 +0000,15, ,x,1,D000033509
C70002563,"",D000000062,National Assn of Realtors,17500,17500,0,2022-04-18 00:00:00 +0000,16,x, ,0,D000000062
C00293910,"",D000021825,American Assn of Orthodontists,17000,17000,0,2022-04-18 00:00:00 +0000,17,x, ,0,D000021825
C00068692,"",D000000089,FedEx Corp,16500,16500,0,2022-04-18 00:00:00 +0000,18,x, ,3,D000000089
C00400929,"",D000021841,AmerisourceBergen Corp,16000,16000,0,2022-04-18 00:00:00 +0000,19,x, ,4,D000021841
C00088591,"",D000000170,Northrop Grumman,16000,16000,0,2022-04-18 00:00:00 +0000,19,x, ,2,D000000170
C00248716,"",D000000461,Comcast Corp,15000,15000,0,2022-04-18 00:00:00 +0000,21,x, ,7,D000000461
C00163832,"",D000000148,CSX Corp,15000,15000,0,2022-04-18 00:00:00 +0000,21,x, ,0,D000000148
C00211318,"",D000000131,Deloitte LLP,15000,15000,0,2022-04-18 00:00:00 +0000,21,x,x,0,D000000131
         ,"",D000093387,Harris Crouch,15000,0,15000,2022-04-18 00:00:00 +0000,21, , ,0,          
C00126763,"",D000000240,National Assn of Convenience Stores,15000,15000,0,2022-04-18 00:00:00 +0000,21,x, ,0,D000000240
C00010470,"",D000000118,Union Pacific Corp,15000,15000,0,2022-04-18 00:00:00 +0000,21,x, ,0,D000000118
C00064766,"",D000000081,United Parcel Service,15000,15000,0,2022-04-18 00:00:00 +0000,21,x, ,2,D000000081
C00493304,"",D000000141,Prudential Financial,14000,14000,0,2022-04-18 00:00:00 +0000,28,x, ,1,D000000141
C00144774,"",D000000168,Southern Co,14000,14000,0,2022-04-18 00:00:00 +0000,28,x, ,1,D000000168
C00108209,"",D000000335,Dominion Energy,13000,13000,0,2022-04-18 00:00:00 +0000,30,x, ,1,D000000335
C00279455,"",          ,AstraZeneca Pharmaceuticals,12500,12500,0,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000051712,Healthcare Leadership Council,12500,0,12500,2022-04-18 00:00:00 +0000,31,x, ,1,D000051712
C00271007,"",D000000652,Humana Inc,12500,12500,0,2022-04-18 00:00:00 +0000,31,x, ,0,D000000652
C00118943,"",D000000198,Massachusetts Mutual Life Insurance,12500,12500,0,2022-04-18 00:00:00 +0000,31,x, ,0,D000000198
C00312785,"",          ,Swisher International,12500,12500,0,2022-04-18 00:00:00 +0000,31, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,12500,12500,0,2022-04-18 00:00:00 +0000,31,x, ,3,D000000348
C00151340,"",D000021569,DLA Piper,12498,0,12498,2022-04-18 00:00:00 +0000,37, ,x,1,D000021569
C00346288,"",D000028434,Premier Inc,12083,10000,2083,2022-04-18 00:00:00 +0000,38,x, ,1,D000028434
C00142711,"",D000000100,Boeing Co,12000,12000,0,2022-04-18 00:00:00 +0000,39,x, ,0,D000000100
C00343459,"",D000021829,American College of Radiology,11500,11500,0,2022-04-18 00:00:00 +0000,40,x, ,0,D000021829
         ,"",D000021816,Alpine Group,11416,0,11416,2022-04-18 00:00:00 +0000,41, ,x,1,D000021816
         ,"",D000030359,The Advocacy Group,11249,0,11249,2022-04-18 00:00:00 +0000,42, ,x,1,D000030359
         ,"",D000035286,Law Offices of Frederick H Graefe,11107,0,11107,2022-04-18 00:00:00 +0000,43, ,x,1,D000035286
C00384818,"",D000025214,CVS Health,11000,11000,0,2022-04-18 00:00:00 +0000,44,x, ,2,D000025214
C00303024,"",D000000104,Lockheed Martin,11000,11000,0,2022-04-18 00:00:00 +0000,44,x, ,2,D000000104
C00424838,"",D000028050,Novo Nordisk,11000,11000,0,2022-04-18 00:00:00 +0000,44,x, ,1,D000028050
C00357863,"",D000021878,Boston Scientific Corp,10800,8000,2800,2022-04-18 00:00:00 +0000,47,x, ,1,D000021878
C00144766,"",D000000101,National Beer Wholesalers Assn,10500,10500,0,2022-04-18 00:00:00 +0000,48,x, ,1,D000000101
         ,"",D000034339,Hart Health Strategies,10415,0,10415,2022-04-18 00:00:00 +0000,49,x,x,1,D000034339
C00039206,"",D000000276,Williams & Jensen,10332,0,10332,2022-04-18 00:00:00 +0000,50, ,x,3,D000000276
C00428623,"",          ,Google Inc,10250,10000,250,2022-04-18 00:00:00 +0000,51, , ,0,          
C00034157,"",D000000126,AFLAC Inc,10000,10000,0,2022-04-18 00:00:00 +0000,52,x, ,0,D000000126
C00413948,"",D000024127,Arkansas for Leadership,10000,10000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00577072,"",D000023411,Babcock & Wilcox Enterprises,10000,10000,0,2022-04-18 00:00:00 +0000,52,x, ,0,D000023411
C00543207,"",          ,Badlands PAC,10000,10000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00349746,"",D000021885,California Dairies Inc,10000,10000,0,2022-04-18 00:00:00 +0000,52,x, ,1,D000021885
C00391797,"",D000021960,Dirigo PAC,10000,10000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00227744,"",D000000098,Ernst & Young,10000,10000,0,2022-04-18 00:00:00 +0000,52,x,x,0,D000000098
C00380550,"",          ,FMR Corp,10000,10000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00305805,"",D000000413,Freedom Project,10000,10000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00078451,"",D000000165,General Dynamics,10000,10000,0,2022-04-18 00:00:00 +0000,52,x, ,2,D000000165
C00494302,"",          ,Lead Encourage Elect PAC,10000,10000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00113845,"",D000028328,Personal Care Products Council,10000,9000,1000,2022-04-18 00:00:00 +0000,52,x, ,0,D000028328
C00016683,"",D000000138,Pfizer Inc,10000,10000,0,2022-04-18 00:00:00 +0000,52,x, ,6,D000000138
C00423236,"",          ,Sunovion Pharmaceuticals,10000,10000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00012245,"",          ,UBS Americas,10000,10000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00186288,"",D000000079,Verizon Communications,10000,10000,0,2022-04-18 00:00:00 +0000,52,x, ,3,D000000079
C00359588,"",D000021679,BGR Group,9200,0,9200,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",D000022208,Purdue Pharma,9041,8000,1041,2022-04-18 00:00:00 +0000,69,x, ,2,D000022208
