pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000031469,American Capital,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000000406,University of California                ,7671,0,7671,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,NOT EMPLOYED,6265,0,6265,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Northhampton Tuesday Market,5900,0,5900,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000031570,Antidote Films,5850,0,5850,2022-04-18 00:00:00 +0000,5, , ,0,          
C00468314,"",D000025328,Democracy Engine,5825,0,5825,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Cook & Baker,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000030667,University of Maryland,5350,0,5350,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,NG Investments,5099,0,5099,2022-04-18 00:00:00 +0000,10, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project,5014,5000,14,2022-04-18 00:00:00 +0000,11, , ,0,          
C00002089,"",D000000075,Communications Workers of America,5000,5000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000030673,University of Missouri                  ,4095,0,4095,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000038170,Washington University In St Louis,3717,0,3717,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000063828,UNICO Inc,3500,0,3500,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Panorama Education,3400,0,3400,2022-04-18 00:00:00 +0000,16, , ,0,          
C00135368,"",D000000259,Sierra Club,3155,0,3155,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Hims,3100,0,3100,2022-04-18 00:00:00 +0000,18, , ,0,          
C00633248,"",          ,314 Action Fund,3000,3000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000092153,Jewish Youth for Community Action,3000,0,3000,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Ted Lieu for Congress,3000,2000,1000,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,MO Political Consulting,2900,0,2900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000053952,Morgan State University,2900,0,2900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Nakedpoppy,2900,0,2900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000036616,Perkins Coie,2900,0,2900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Rocket Science Group,2900,0,2900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Sigmanetics Inc LLC,2900,0,2900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,St Jospeh'S Academy,2900,0,2900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Google Inc Co Bstoler,2800,0,2800,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000067823,Alphabet Inc,2611,0,2611,2022-04-18 00:00:00 +0000,30, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,2507,2500,7,2022-04-18 00:00:00 +0000,31, , ,0,          
C00010322,"",D000000143,American Postal Workers Union,2500,2500,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,2500,2500,0,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Moreable LLC,2500,0,2500,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000034986,Kaiser Permanente                       ,2465,0,2465,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000091326,David Roberts & Assoc,2410,0,2410,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000000750,Stanford University                     ,2278,0,2278,2022-04-18 00:00:00 +0000,37, , ,0,          
