pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00236760,"",D000029546,Ullico Inc,25000,25000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00468314,"",D000025328,Democracy Engine,14500,0,14500,2022-04-18 00:00:00 +0000,2, , ,0,          
C00376590,"",D000026574,Illinois Corn Growers Assn,10310,10000,310,2022-04-18 00:00:00 +0000,3, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",10000,10000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00068692,"",D000000089,FedEx Corp,7000,7000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Calmer Corn Heads,6000,0,6000,2022-04-18 00:00:00 +0000,6, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,6000,6000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000000811,Kirkland & Ellis,5900,0,5900,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000087658,D'Escoto Inc,5600,0,5600,2022-04-18 00:00:00 +0000,9, , ,0,          
C00762427,"",D000075334,Applied Research Assoc,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00324483,"",          ,Berkshire Hathaway Energy,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00248716,"",D000000461,Comcast Corp,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00271007,"",D000000652,Humana Inc,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00078451,"",D000000165,General Dynamics,4000,4000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00163048,"",D000000783,National Community Action Foundation,4000,4000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000032441,Center for American Progress,3900,0,3900,2022-04-18 00:00:00 +0000,18, , ,0,          
C00373696,"",D000021837,American Psychiatric Assn,3500,3500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00346353,"",          ,CRH Americas,3500,3500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00542365,"",          ,Toyota Motor North America,3000,3000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000021867,Baupost Group,2900,0,2900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Binder&Binder Law Firm,2900,0,2900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000022011,GCM Grosvenor,2900,0,2900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000034808,Jasculca/Terman & Assoc,2900,0,2900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000062172,Linden Trust for Conservation,2900,0,2900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000070784,Matthews International Capital Management,2900,0,2900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000035821,Mesirow Financial,2900,0,2900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000089163,Nessel Development,2900,0,2900,2022-04-18 00:00:00 +0000,22, , ,0,          
C00409730,"",D000022150,New Democrat Coalition,2900,0,2900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000000351,Newsweb Corp,2900,0,2900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000071837,PSP Capital Partners,2900,0,2900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000043831,RMK Management,2900,0,2900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000075266,Shallman Communications,2900,0,2900,2022-04-18 00:00:00 +0000,22, , ,0,          
C00232629,"",D000000243,"Skadden, Arps et al",2900,0,2900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Wvpa,2900,0,2900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000073978,K Rowe Investments,2800,0,2800,2022-04-18 00:00:00 +0000,37, , ,0,          
C00625921,"",D000046283,AAR Corp,2500,2500,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00207308,"",D000023781,AG Processing,2500,2500,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00570606,"",D000046753,Aluminum Assn,2500,2500,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,2500,2500,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00012914,"",D000000608,American Land Title Assn,2500,2500,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00027532,"",          ,American Maritime Officers,2500,2500,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00478099,"",D000045889,Atlas Air Worldwide,2500,2500,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,2500,2500,0,2022-04-18 00:00:00 +0000,38, , ,0,          
