pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00215285,"",D000000317,General Atomics,55800,15000,40800,2022-04-18 00:00:00 +0000,1, , ,0,          
C00546234,"",D000000369,Leidos Inc                                        ,48000,15000,33000,2022-04-18 00:00:00 +0000,2, , ,0,          
C00078451,"",D000000165,General Dynamics,39600,15000,24600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000034677,Innovative Federal Strategies,26200,0,26200,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000050673,Esri,25800,0,25800,2022-04-18 00:00:00 +0000,5, , ,0,          
C00367995,"",D000029049,Sierra Nevada Corp,21600,10000,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
C00411116,"",D000029147,SpaceX,21400,10000,11400,2022-04-18 00:00:00 +0000,7, , ,0,          
C00377960,"",D000026569,II-VI Inc                               ,20750,10000,10750,2022-04-18 00:00:00 +0000,8, , ,0,          
C00281212,"",D000000583,BAE Systems,20250,20000,250,2022-04-18 00:00:00 +0000,9, , ,0,          
C00303024,"",D000000104,Lockheed Martin,20000,20000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,20000,20000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Red 6,20000,0,20000,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000047491,ATS Communications,17000,0,17000,2022-04-18 00:00:00 +0000,13, , ,0,          
C00123612,"",D000000201,Textron Inc,17000,15000,2000,2022-04-18 00:00:00 +0000,13, , ,0,          
C00623173,"",D000071284,Karem Aircraft,15200,0,15200,2022-04-18 00:00:00 +0000,15, , ,0,          
C00142711,"",D000000100,Boeing Co,15000,15000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00151787,"",          ,Cubic Corp,15000,15000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,15000,15000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00398750,"",D000022152,New PAC,15000,15000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00088591,"",D000000170,Northrop Grumman,15000,15000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00369058,"",D000022304,Van Scoyoc Assoc,14900,0,14900,2022-04-18 00:00:00 +0000,21, , ,0,          
C00103549,"",D000022175,Parsons Corp,12500,12500,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Volansi,11800,0,11800,2022-04-18 00:00:00 +0000,23, , ,0,          
