pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000034812,JB Coxwell Contracting,23700,0,23700,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Gleim Publications,23200,0,23200,2022-04-18 00:00:00 +0000,2, , ,0,          
C00165365,"",          ,G4S Secure Solutions,20800,0,20800,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Trimark Properties,16050,0,16050,2022-04-18 00:00:00 +0000,4, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00469429,"",D000065616,CMR PAC,12500,12500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Dimare Homestead,12100,0,12100,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Alliance & Assoc,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000075399,Butler Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000036995,Red Apple Group,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000030599,Uline Inc,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Vallencourt Construction Co,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Fcc,10800,0,10800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Landscaping Sod & Beyond                          ,10500,0,10500,2022-04-18 00:00:00 +0000,14, , ,0,          
C00284885,"",D000000419,Home Depot,10074,10000,74,2022-04-18 00:00:00 +0000,15, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00010421,"",D000000187,Associated Builders & Contractors,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Davis Express,10000,0,10000,2022-04-18 00:00:00 +0000,16, , ,0,          
C00028787,"",D000000252,National Cattlemen's Beef Assn,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Richmond Hill Capital Partners,10000,0,10000,2022-04-18 00:00:00 +0000,16, , ,0,          
C00127811,"",D000025848,US Israel PAC,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00327189,"",D000029628,Value in Electing Women PAC,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,John Hipp Construction,9040,0,9040,2022-04-18 00:00:00 +0000,23, , ,0,          
C00687558,"",D000074393,Rising Phoenix Holdings,8500,5000,3500,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,49th Avenue Partners LLC,8200,0,8200,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000031543,Anderson Columbia Co,7900,0,7900,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000036921,R&L Carriers,7900,0,7900,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Rlr Investments LLC,7900,0,7900,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Cppi,7500,0,7500,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Medical-Nurse,7500,0,7500,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Chris Torrence Electric,7040,0,7040,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000079471,Cecil W Powell & Co,7000,0,7000,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000030657,University of Florida,6707,0,6707,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000021972,Elliott Management,6629,0,6629,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Ablation Arrhythmia Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Beck Automotive Group,5800,0,5800,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Clay Theatre,5800,0,5800,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Frey Farms,5800,0,5800,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Gaston Tree Services,5800,0,5800,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000021232,Gi Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Kravis Center for the Performing Arts,5800,0,5800,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Live Oak,5800,0,5800,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Mci,5800,0,5800,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Michael Potapow Jr,5800,0,5800,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000036344,Oc Global Partners,5800,0,5800,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000088591,Pacem Solutions International,5800,0,5800,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000068519,RagingWire Enterprise Solutions,5800,0,5800,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Rettner Building Mgt Grp,5800,0,5800,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Risk Consulting Partners,5800,0,5800,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Budget Suites,5742,0,5742,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",          ,Pritchett Trucking Inc,5500,0,5500,2022-04-18 00:00:00 +0000,51, , ,0,          
C00004275,"",D000000087,American Bankers Assn,5100,5000,100,2022-04-18 00:00:00 +0000,52, , ,0,          
C00078451,"",D000000165,General Dynamics                        ,5015,5000,15,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Anthem Lakes LLC,5000,0,5000,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",          ,Archer Automotive,5000,0,5000,2022-04-18 00:00:00 +0000,54, , ,0,          
C00253153,"",D000067181,Bloomin' Brands,5000,5000,0,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",          ,Comfort Temp Co,5000,0,5000,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",          ,Costa Farms LLC,5000,0,5000,2022-04-18 00:00:00 +0000,54, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,5000,5000,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C00570945,"",          ,E-PAC,5000,5000,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",          ,Fallon for Congress,5000,5000,0,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",          ,Farm Credit of Florida,5000,0,5000,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",D000022007,Goodman Co,5000,0,5000,2022-04-18 00:00:00 +0000,54, , ,0,          
C00326439,"",D000022031,House Conservatives Fund,5000,5000,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C00448373,"",D000026537,Huck PAC,5000,5000,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C00236489,"",D000000186,Koch Industries,5000,5000,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C90016437,"",D000000086,National Assn of Home Builders,5000,5000,0,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",          ,Perry McCall,5000,0,5000,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",          ,Protect Deed Homes,5000,0,5000,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",D000037166,Roberts Companies,5000,0,5000,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",          ,Sullivan Land & Cattle Co,5000,0,5000,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",          ,Sullivan Land Services,5000,0,5000,2022-04-18 00:00:00 +0000,54, , ,0,          
C00570226,"",D000071238,Supporting Electing American Leaders,5000,5000,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C00214981,"",D000022909,Texas Farm Bureau,5000,5000,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C00234120,"",D000029610,US Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C00040394,"",D000000480,Williams Companies,5000,5000,0,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",          ,Major Concrete,4800,0,4800,2022-04-18 00:00:00 +0000,78, , ,0,          
C00416297,"",D000000431,National Cotton Council,4500,4500,0,2022-04-18 00:00:00 +0000,79, , ,0,          
C00431403,"",D000029716,Vote to Elect Republicans Now PAC,4500,4500,0,2022-04-18 00:00:00 +0000,79, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,4000,4000,0,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,Big Daddy Enterprises,3900,0,3900,2022-04-18 00:00:00 +0000,82, , ,0,          
         ,"",          ,Concept Companies,3900,0,3900,2022-04-18 00:00:00 +0000,82, , ,0,          
         ,"",          ,"Oil, Gas, Agriculture",3900,0,3900,2022-04-18 00:00:00 +0000,82, , ,0,          
         ,"",D000054524,Navigators Global,3700,0,3700,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",          ,City First Mortgage,3500,0,3500,2022-04-18 00:00:00 +0000,86, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,3500,3500,0,2022-04-18 00:00:00 +0000,86, , ,0,          
C00232967,"",D000025852,Florida Fruit & Vegetable Assn,3500,3500,0,2022-04-18 00:00:00 +0000,86, , ,0,          
C00493221,"",D000073675,Guardian Fund,3500,3500,0,2022-04-18 00:00:00 +0000,86, , ,0,          
         ,"",          ,Bsbc,3000,0,3000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,Bsbc Chicken LLC,3000,0,3000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,Davis & Sons Construction,3000,0,3000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",D000082498,Dungan Engineering,3000,0,3000,2022-04-18 00:00:00 +0000,90, , ,0,          
C00445379,"",D000029400,Making America Prosperous,3000,3000,0,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,Rpm Auto,3000,0,3000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,Wish Farms,3000,0,3000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",D000056643,University of Florida Health,2952,0,2952,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,3d Land & Farms LLC,2900,0,2900,2022-04-18 00:00:00 +0000,98, , ,0,          
         ,"",          ,BG Smart Companies,2900,0,2900,2022-04-18 00:00:00 +0000,98, , ,0,          
         ,"",          ,Black Investments Inc,2900,0,2900,2022-04-18 00:00:00 +0000,98, , ,0,          
         ,"",          ,Doctors Imaging Group,2900,0,2900,2022-04-18 00:00:00 +0000,98, , ,0,          
         ,"",          ,Dr Reylan,2900,0,2900,2022-04-18 00:00:00 +0000,98, , ,0,          
         ,"",          ,Hartman Income Reit,2900,0,2900,2022-04-18 00:00:00 +0000,98, , ,0,          
         ,"",          ,Lm,2900,0,2900,2022-04-18 00:00:00 +0000,98, , ,0,          
         ,"",          ,Morningside,2900,0,2900,2022-04-18 00:00:00 +0000,98, , ,0,          
         ,"",          ,St Johns Vein,2900,0,2900,2022-04-18 00:00:00 +0000,98, , ,0,          
         ,"",D000091833,Terreg Management,2900,0,2900,2022-04-18 00:00:00 +0000,98, , ,0,          
         ,"",          ,Venue Organizer,2900,0,2900,2022-04-18 00:00:00 +0000,98, , ,0,          
C00764795,"",          ,We the People Leadership PAC,2900,2900,0,2022-04-18 00:00:00 +0000,98, , ,0,          
         ,"",          ,Winsmart LLC,2900,0,2900,2022-04-18 00:00:00 +0000,98, , ,0,          
