pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00227546,"",D000000115,Microsoft Corp                          ,115934,0,115934,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000035994,Morgan & Morgan,113400,0,113400,2022-04-18 00:00:00 +0000,2, , ,0,          
C90005786,"",D000000288,League of Conservation Voters           ,100823,-37,100860,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000022297,University of Washington,66175,0,66175,2022-04-18 00:00:00 +0000,4, , ,0,          
C00142711,"",D000000100,Boeing Co,65181,0,65181,2022-04-18 00:00:00 +0000,5, , ,0,          
C00360354,"",D000023883,Amazon.com,58258,0,58258,2022-04-18 00:00:00 +0000,6, , ,0,          
C00193433,"",D000000113,Emily's List,45756,0,45756,2022-04-18 00:00:00 +0000,7, , ,0,          
C00468314,"",D000025328,Democracy Engine,42800,0,42800,2022-04-18 00:00:00 +0000,8, , ,0,          
C00699439,"",D000031213,Zillow Group,37025,0,37025,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000037825,State of Washington                     ,36157,0,36157,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000072028,Valve Corp,25450,0,25450,2022-04-18 00:00:00 +0000,11, , ,0,          
C00068692,"",D000000089,Fedex Corp,24600,0,24600,2022-04-18 00:00:00 +0000,12, , ,0,          
C00213173,"",D000000766,K&L Gates,23020,0,23020,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000061285,Fisher Investments,20000,0,20000,2022-04-18 00:00:00 +0000,14, , ,0,          
C00220558,"",D000028174,"Orrick, Herrington & Sutcliffe",19450,0,19450,2022-04-18 00:00:00 +0000,15, , ,0,          
C00450098,"",D000029916,Womencount PAC,19030,0,19030,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000000832,Carnival Corp                           ,18310,0,18310,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000032306,Capitol Counsel,18200,0,18200,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000030147,Strategies 360,17950,0,17950,2022-04-18 00:00:00 +0000,19, , ,0,          
