pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00140855,"",D000000531,FirstEnergy Corp,71300,30000,41300,2022-04-18 00:00:00 +0000,1,x, ,0,D000000531
C00382150,"",D000022003,GEO Group                               ,51000,15000,36000,2022-04-18 00:00:00 +0000,2,x, ,0,D000022003
C00108209,"",D000000335,Dominion Energy,47100,32500,14600,2022-04-18 00:00:00 +0000,3,x, ,0,D000000335
         ,"",D000021757,Berkshire Hathaway,42550,42500,50,2022-04-18 00:00:00 +0000,4,x, ,1,D000021757
C00330647,"",D000000535,DISH Network,42050,25000,17050,2022-04-18 00:00:00 +0000,5,x, ,0,D000000535
C00104802,"",D000000350,Delta Air Lines,38605,20000,18605,2022-04-18 00:00:00 +0000,6,x, ,0,D000000350
C00009282,"",D000019639,Norfolk Southern,37500,37500,0,2022-04-18 00:00:00 +0000,7,x, ,1,D000019639
C00040394,"",D000000480,Williams Companies,36800,20000,16800,2022-04-18 00:00:00 +0000,8,x, ,1,D000000480
C00010470,"",D000000118,Union Pacific Corp,35500,35000,500,2022-04-18 00:00:00 +0000,9,x, ,1,D000000118
         ,"",D000021873,Blackstone Group,35200,0,35200,2022-04-18 00:00:00 +0000,10, , ,0,          
C00064766,"",D000000081,United Parcel Service,35080,35000,80,2022-04-18 00:00:00 +0000,11,x, ,0,D000000081
C00040998,"",D000000080,National Auto Dealers Assn,35000,35000,0,2022-04-18 00:00:00 +0000,12,x, ,0,D000000080
C00130773,"",D000000755,National Multifamily Housing Council,35000,35000,0,2022-04-18 00:00:00 +0000,12,x, ,0,D000000755
C00211318,"",D000000131,Deloitte LLP,34125,33000,1125,2022-04-18 00:00:00 +0000,14,x,x,0,D000000131
C00009985,"",D000000202,National Assn of Broadcasters,34000,33000,1000,2022-04-18 00:00:00 +0000,15,x, ,3,D000000202
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,32500,32500,0,2022-04-18 00:00:00 +0000,16,x, ,1,D000000356
         ,"",D000000109,Blue Cross/Blue Shield,31525,31500,25,2022-04-18 00:00:00 +0000,17,x, ,2,D000000109
         ,"",D000021972,Elliott Management,31500,0,31500,2022-04-18 00:00:00 +0000,18, , ,0,          
C00248716,"",D000000461,Comcast Corp,31462,30000,1462,2022-04-18 00:00:00 +0000,19,x, ,3,D000000461
C00088591,"",D000000170,Northrop Grumman,31040,31000,40,2022-04-18 00:00:00 +0000,20,x, ,1,D000000170
C00109017,"",D000000076,AT&T Inc,31021,31000,21,2022-04-18 00:00:00 +0000,21,x, ,0,D000000076
C00096156,"",D000000334,Honeywell International,30150,30000,150,2022-04-18 00:00:00 +0000,22,x, ,0,D000000334
C00236489,"",D000000186,Koch Industries,30000,30000,0,2022-04-18 00:00:00 +0000,23,x, ,1,D000000186
         ,"",D000000464,Sullivan & Cromwell,30000,0,30000,2022-04-18 00:00:00 +0000,23, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,28600,23000,5600,2022-04-18 00:00:00 +0000,25,x, ,1,D000000348
         ,"",D000034833,Jennmar Corp                            ,28000,0,28000,2022-04-18 00:00:00 +0000,26, , ,0,          
C00007922,"",D000000074,Laborers Union,27530,27500,30,2022-04-18 00:00:00 +0000,27,x, ,0,D000000074
C00163832,"",D000000148,CSX Corp,27500,27500,0,2022-04-18 00:00:00 +0000,28,x, ,0,D000000148
C00144766,"",D000000101,National Beer Wholesalers Assn,27500,27500,0,2022-04-18 00:00:00 +0000,28,x, ,0,D000000101
C00107235,"",D000000124,PricewaterhouseCoopers,27010,27000,10,2022-04-18 00:00:00 +0000,30,x,x,0,D000000124
C00426775,"",D000000672,Charter Communications,27000,25000,2000,2022-04-18 00:00:00 +0000,31,x, ,0,D000000672
C00004812,"",D000000309,Mortgage Bankers Assn,26000,26000,0,2022-04-18 00:00:00 +0000,32,x, ,0,D000000309
C00076810,"",D000000155,General Motors,25775,25000,775,2022-04-18 00:00:00 +0000,33,x, ,1,D000000155
C00247403,"",D000022158,NorPAC,25500,0,25500,2022-04-18 00:00:00 +0000,34, , ,0,          
C00158881,"",D000000249,New York Life Insurance                 ,25425,25000,425,2022-04-18 00:00:00 +0000,35,x, ,0,D000000249
C00428623,"",          ,Google Inc,25075,25000,75,2022-04-18 00:00:00 +0000,36, , ,0,          
C00068692,"",D000000089,FedEx Corp,25024,25000,24,2022-04-18 00:00:00 +0000,37,x, ,0,D000000089
C00284885,"",D000000419,Home Depot,25010,25000,10,2022-04-18 00:00:00 +0000,38,x, ,0,D000000419
         ,"",D000033503,Ergon Inc,25000,0,25000,2022-04-18 00:00:00 +0000,39,x, ,0,D000033503
C70002563,"",D000000062,National Assn of Realtors,25000,25000,0,2022-04-18 00:00:00 +0000,39,x, ,0,D000000062
C00397851,"",D000024670,Centene Corp,24300,2500,21800,2022-04-18 00:00:00 +0000,41, , ,0,          
C00106146,"",D000000116,American Hospital Assn,24000,20000,4000,2022-04-18 00:00:00 +0000,42,x, ,0,D000000116
C00360354,"",D000023883,Amazon.com,23527,23500,27,2022-04-18 00:00:00 +0000,43,x, ,1,D000023883
C00542365,"",          ,Toyota Motor North America,23000,23000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00379628,"",D000028057,Nucor Corp,22025,5000,17025,2022-04-18 00:00:00 +0000,45, , ,0,          
C00010082,"",D000022131,NCTA The Internet & Television Assn,22000,22000,0,2022-04-18 00:00:00 +0000,46,x, ,1,D000022131
C00030809,"",D000022132,National Community Pharmacists Assn,21000,21000,0,2022-04-18 00:00:00 +0000,47,x, ,0,D000022132
         ,"",D000068060,ClearPath Foundation,20800,0,20800,2022-04-18 00:00:00 +0000,48,x, ,0,D000068060
         ,"",D000032623,Civic Service Inc,20400,0,20400,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000069920,Contura Energy,20399,14999,5400,2022-04-18 00:00:00 +0000,50,x, ,0,D000069920
C00252338,"",D000000365,American Chemistry Council,20000,20000,0,2022-04-18 00:00:00 +0000,51,x, ,1,D000000365
C00227744,"",D000000098,Ernst & Young,20000,20000,0,2022-04-18 00:00:00 +0000,51,x,x,1,D000000098
C00325092,"",D000064813,Huntington Ingalls Industries,20000,20000,0,2022-04-18 00:00:00 +0000,51,x, ,0,D000064813
C00032698,"",D000000261,Independent Community Bankers of America,20000,20000,0,2022-04-18 00:00:00 +0000,51,x, ,0,D000000261
C00084491,"",D000022046,International Franchise Assn,20000,20000,0,2022-04-18 00:00:00 +0000,51,x, ,0,D000022046
C00546234,"",D000000369,Leidos Inc,20000,20000,0,2022-04-18 00:00:00 +0000,51,x, ,0,D000000369
C00496307,"",D000023121,Marathon Petroleum,20000,20000,0,2022-04-18 00:00:00 +0000,51,x, ,0,D000023121
C00091561,"",D000021771,National Active & Retired Federal Employees Assn,20000,20000,0,2022-04-18 00:00:00 +0000,51,x, ,0,D000021771
C00379180,"",D000027797,National Assn of Chemical Distributors,20000,20000,0,2022-04-18 00:00:00 +0000,51,x, ,0,D000027797
C00089458,"",D000022140,"National Stone, Sand & Gravel Assn",20000,20000,0,2022-04-18 00:00:00 +0000,51,x, ,0,D000022140
C00109546,"",D000022303,Valero Energy,20000,20000,0,2022-04-18 00:00:00 +0000,51,x, ,0,D000022303
         ,"",D000044563,Capital Counsel,19600,0,19600,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000070476,Senior Star,19600,0,19600,2022-04-18 00:00:00 +0000,62, , ,0,          
C00280222,"",D000019986,KPMG LLP,19500,19500,0,2022-04-18 00:00:00 +0000,64,x,x,0,D000019986
         ,"",D000036976,RDV Corp,19500,0,19500,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000029368,Telephone & Data Systems Inc,18700,16000,2700,2022-04-18 00:00:00 +0000,66, , ,0,          
C00046474,"",D000000182,Ford Motor Co,18545,18500,45,2022-04-18 00:00:00 +0000,67,x, ,1,D000000182
C00364778,"",D000000090,Bank of America,18500,6500,12000,2022-04-18 00:00:00 +0000,68, , ,0,          
C00350744,"",D000000085,Goldman Sachs,18500,2500,16000,2022-04-18 00:00:00 +0000,68, , ,0,          
C00171926,"",D000069022,DuPont Co,18255,18000,255,2022-04-18 00:00:00 +0000,70,x, ,0,D000069022
C00078451,"",D000000165,General Dynamics                        ,18145,18000,145,2022-04-18 00:00:00 +0000,71,x, ,2,D000000165
C00016683,"",D000000138,Pfizer Inc,17525,17500,25,2022-04-18 00:00:00 +0000,72,x, ,1,D000000138
C00361758,"",D000022272,T-Mobile USA,17510,17500,10,2022-04-18 00:00:00 +0000,73,x, ,0,D000022272
C00029447,"",D000000135,International Assn of Fire Fighters,17500,17500,0,2022-04-18 00:00:00 +0000,74,x, ,0,D000000135
C00002881,"",D000000177,American Trucking Assns,17000,17000,0,2022-04-18 00:00:00 +0000,75,x, ,0,D000000177
         ,"",D000071841,Ornstein-Schuler Companies,16800,0,16800,2022-04-18 00:00:00 +0000,76, , ,0,          
C00431858,"",D000022267,Steptoe & Johnson,15800,1000,14800,2022-04-18 00:00:00 +0000,77, , ,0,          
C00213173,"",D000000766,K&L Gates,15062,8000,7062,2022-04-18 00:00:00 +0000,78, , ,0,          
C00001198,"",D000023971,American Hotel & Lodging Assn,15000,15000,0,2022-04-18 00:00:00 +0000,79,x, ,0,D000023971
C00250399,"",D000021853,Automotive Free International Trade PAC           ,15000,15000,0,2022-04-18 00:00:00 +0000,79, , ,0,          
C00034405,"",D000000171,International Paper,15000,15000,0,2022-04-18 00:00:00 +0000,79,x, ,0,D000000171
C90016437,"",D000000086,National Assn of Home Builders,15000,15000,0,2022-04-18 00:00:00 +0000,79,x, ,0,D000000086
C00029504,"",D000000139,Operating Engineers Union,15000,15000,0,2022-04-18 00:00:00 +0000,79,x, ,0,D000000139
C00186064,"",D000028398,PNC Financial Services,15000,15000,0,2022-04-18 00:00:00 +0000,79, , ,0,          
C00327189,"",D000029628,Value in Electing Women PAC,15000,15000,0,2022-04-18 00:00:00 +0000,79, , ,0,          
C00365122,"",D000029689,Visa Inc,15000,15000,0,2022-04-18 00:00:00 +0000,79, , ,0,          
C00251751,"",D000027296,Lowe's Companies,14510,14500,10,2022-04-18 00:00:00 +0000,87, , ,0,          
C00089136,"",D000000067,Altria Group,14379,12500,1879,2022-04-18 00:00:00 +0000,88,x, ,0,D000000067
C00388827,"",D000066716,Rock Holdings,14100,8500,5600,2022-04-18 00:00:00 +0000,89, , ,0,          
C00013342,"",D000029577,United Mine Workers of America,14000,14000,0,2022-04-18 00:00:00 +0000,90, , ,0,          
C00093054,"",D000000367,Walmart Inc,13535,13500,35,2022-04-18 00:00:00 +0000,91,x, ,0,D000000367
C00000729,"",D000000105,American Dental Assn                    ,13500,13000,500,2022-04-18 00:00:00 +0000,92,x, ,0,D000000105
C00410068,"",D000021992,Fraternity & Sorority PAC,13500,13500,0,2022-04-18 00:00:00 +0000,92, , ,0,          
C00121368,"",D000000129,Exxon Mobil,13448,12500,948,2022-04-18 00:00:00 +0000,94, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,13060,13000,60,2022-04-18 00:00:00 +0000,95, , ,0,          
C00034157,"",D000000126,AFLAC Inc,13000,13000,0,2022-04-18 00:00:00 +0000,96, , ,0,          
C00690735,"",D000032643,CGCN Group,13000,2000,11000,2022-04-18 00:00:00 +0000,96, , ,0,          
C00097485,"",D000000275,Merck & Co,12750,12500,250,2022-04-18 00:00:00 +0000,98,x, ,0,D000000275
C00004275,"",D000000087,American Bankers Assn                   ,12525,12500,25,2022-04-18 00:00:00 +0000,99, , ,0,          
C00497917,"",D000050099,Depository Trust & Clearing Corp,12500,12500,0,2022-04-18 00:00:00 +0000,100, , ,0,          
C00126763,"",D000000240,National Assn of Convenience Stores,12500,12500,0,2022-04-18 00:00:00 +0000,100,x, ,0,D000000240
C00002972,"",D000000153,National Rural Electric Cooperative Assn,12500,12500,0,2022-04-18 00:00:00 +0000,100,x, ,0,D000000153
C00257329,"",D000000485,Procter & Gamble,12500,12500,0,2022-04-18 00:00:00 +0000,100, , ,0,          
