pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",15000,15000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00661272,"",D000071404,With Honor PAC,15000,15000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,12500,12500,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00418897,"",D000029722,VoteVets.org,12500,12500,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Babich Family Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Carnival Cruise Lines,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000050673,Esri,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000070559,Gilbert & Jacki Cisneros Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Jennings Aeronautics,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Nexxus Holdings,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000077919,Sparagna & Sparagna,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Tiger Moon Group,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000087989,Advanced Scientific Concepts,11200,0,11200,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000091823,Cate School,11200,0,11200,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Diani Co,11200,0,11200,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000045155,Rusack Vineyards,11200,0,11200,2022-04-18 00:00:00 +0000,14, , ,0,          
C00177469,"",D000000290,PG&E Corp,11000,10000,1000,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000074005,First Texas Homes,10600,0,10600,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000034078,Global Green Usa,10600,0,10600,2022-04-18 00:00:00 +0000,19, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,10500,10500,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00284885,"",D000000419,Home Depot,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000056439,Santa Ynez Band of Chumash Indians,10000,0,10000,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000022170,Omnicom Group                           ,9700,0,9700,2022-04-18 00:00:00 +0000,24, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,8500,8500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00019653,"",D000000239,Edison International,8500,8500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00409730,"",D000022150,New Democrat Coalition,8000,8000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00215285,"",D000000317,General Atomics,7500,7500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,7500,7500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Armand Hammer Foundation,7300,0,7300,2022-04-18 00:00:00 +0000,31, , ,0,          
C00390583,"",D000000724,"Brownstein, Hyatt et al",7100,500,6600,2022-04-18 00:00:00 +0000,32, , ,0,          
C00011262,"",D000024486,Brotherhood of Railroad Signalmen,7000,7000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00286401,"",D000000145,Seafarers International Union           ,7000,7000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
