pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000000109,Blue Cross/Blue Shield,21000,21000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00040279,"",D000000383,Abbott Laboratories,15000,15000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00426775,"",D000000672,Charter Communications,15000,15000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00271007,"",D000000652,Humana Inc,15000,15000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",15000,15000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,12500,12500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00248716,"",D000000461,Comcast Corp,12250,12000,250,2022-04-18 00:00:00 +0000,7, , ,0,          
C00361758,"",D000022272,T-Mobile USA,12000,12000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00109017,"",D000000076,AT&T Inc,11503,10000,1503,2022-04-18 00:00:00 +0000,9, , ,0,          
C00019653,"",D000000239,Edison International,11000,11000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00177469,"",D000000290,PG&E Corp,11000,10000,1000,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000036737,Poarch Band Of Creek Indians,10800,0,10800,2022-04-18 00:00:00 +0000,12, , ,0,          
C00284885,"",D000000419,Home Depot,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00016683,"",D000000138,Pfizer Inc,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00186288,"",D000000079,Verizon Communications,9000,9000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,8500,8500,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00251876,"",D000000391,Amgen Inc,7500,7500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00034488,"",          ,Anheuser-Busch,7500,7500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00085316,"",D000000222,Cigna Corp,7500,7500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00393298,"",D000022026,Herbalife Nutrition,7500,7500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00108035,"",D000022105,McKesson Corp,7500,7500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00430256,"",D000027692,Molina Healthcare,7500,7500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00010082,"",D000022131,NCTA The Internet & Television Assn,7500,7500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00158881,"",D000000249,New York Life Insurance,7500,7500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00029504,"",D000000139,Operating Engineers Union               ,7500,7500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00428623,"",          ,Google Inc,7000,7000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000042425,Siemens AG,6900,4000,2900,2022-04-18 00:00:00 +0000,30, , ,0,          
C00340943,"",D000021951,DaVita Inc,6000,6000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
C00199257,"",          ,Genentech Inc,6000,5000,1000,2022-04-18 00:00:00 +0000,31, , ,0,          
C00009985,"",D000000202,National Assn of Broadcasters,6000,6000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000000662,WPP Group,5900,2000,3900,2022-04-18 00:00:00 +0000,34, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Meenakshi A Hirani Pa,5800,0,5800,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000023639,Morongo Band of Mission Indians,5800,0,5800,2022-04-18 00:00:00 +0000,35, , ,0,          
C00068692,"",D000000089,FedEx Corp,5500,5500,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00360354,"",D000023883,Amazon.com,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00005660,"",D000021827,American Assn/Oral & Maxillofacial Surg,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000043112,AstraZeneca PLC,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00492116,"",D000025139,Cooperative of American Physicians,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00384818,"",D000025214,CVS Health,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00411900,"",D000025642,Edwards Lifesciences,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00401299,"",          ,Fresenius Medical Care North America,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00076810,"",D000000155,General Motors,5000,4500,500,2022-04-18 00:00:00 +0000,39, , ,0,          
C00125641,"",D000000804,Intel Corp,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
