pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000000109,Blue Cross/Blue Shield,55025,33500,21525,2022-04-18 00:00:00 +0000,1, , ,0,          
C00247403,"",D000022158,NorPAC,47200,0,47200,2022-04-18 00:00:00 +0000,2, , ,0,          
C00303024,"",D000000104,Lockheed Martin,40200,16500,23700,2022-04-18 00:00:00 +0000,3,x, ,2,D000000104
C00088591,"",D000000170,Northrop Grumman,40005,40000,5,2022-04-18 00:00:00 +0000,4,x, ,0,D000000170
C70002563,"",D000000062,National Assn of Realtors,37500,37500,0,2022-04-18 00:00:00 +0000,5,x, ,0,D000000062
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,36200,33500,2700,2022-04-18 00:00:00 +0000,6,x, ,0,D000000606
C00141218,"",D000000368,Exelon Corp,32500,32500,0,2022-04-18 00:00:00 +0000,7,x, ,0,D000000368
C00140061,"",D000000293,American College of Emergency Physicians,28000,28000,0,2022-04-18 00:00:00 +0000,8,x, ,0,D000000293
C00118943,"",D000000198,Massachusetts Mutual Life Insurance,27000,20000,7000,2022-04-18 00:00:00 +0000,9,x, ,2,D000000198
         ,"",D000088992,Synergi Partners,26250,0,26250,2022-04-18 00:00:00 +0000,10, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,25500,25500,0,2022-04-18 00:00:00 +0000,11,x, ,0,D000072615
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",25000,25000,0,2022-04-18 00:00:00 +0000,12,x, ,0,D000071033
C00000729,"",D000000105,American Dental Assn,23500,23500,0,2022-04-18 00:00:00 +0000,13,x, ,0,D000000105
C00106146,"",D000000116,American Hospital Assn,23500,23000,500,2022-04-18 00:00:00 +0000,13,x, ,0,D000000116
         ,"",          ,Delaware Valley Urology,22250,0,22250,2022-04-18 00:00:00 +0000,15, , ,0,          
C00227744,"",D000000098,Ernst & Young                           ,22200,5500,16700,2022-04-18 00:00:00 +0000,16,x,x,0,D000000098
C00064766,"",D000000081,United Parcel Service,22000,22000,0,2022-04-18 00:00:00 +0000,17,x, ,1,D000000081
         ,"",          ,Landow & Co,21600,0,21600,2022-04-18 00:00:00 +0000,18, , ,0,          
C00343459,"",D000021829,American College of Radiology,21500,21500,0,2022-04-18 00:00:00 +0000,19,x, ,0,D000021829
C00238725,"",D000000285,National Air Traffic Controllers Assn,21000,21000,0,2022-04-18 00:00:00 +0000,20,x, ,0,D000000285
C00130773,"",D000000755,National Multifamily Housing Council,21000,21000,0,2022-04-18 00:00:00 +0000,20,x, ,0,D000000755
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,20500,20500,0,2022-04-18 00:00:00 +0000,22,x, ,0,D000000356
C00027342,"",D000000069,International Brotherhood of Electrical Workers,20000,20000,0,2022-04-18 00:00:00 +0000,23,x, ,0,D000000069
C00144766,"",D000000101,National Beer Wholesalers Assn,20000,20000,0,2022-04-18 00:00:00 +0000,23,x, ,0,D000000101
C00546119,"",          ,Select Medical Corp,20000,10000,10000,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000053053,Liberty Partners Group,19500,0,19500,2022-04-18 00:00:00 +0000,26,x,x,1,D000053053
C00390583,"",D000000724,"Brownstein, Hyatt et al",19100,6000,13100,2022-04-18 00:00:00 +0000,27, , ,0,          
C00197095,"",          ,Northwestern Mutual Life Insurance,18750,18500,250,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Apollo Management,18200,0,18200,2022-04-18 00:00:00 +0000,29, , ,0,          
C00719393,"",D000033184,Discovery Inc,17200,0,17200,2022-04-18 00:00:00 +0000,30, , ,0,          
C00248716,"",D000000461,Comcast Corp,16500,16500,0,2022-04-18 00:00:00 +0000,31,x, ,0,D000000461
C00024521,"",D000000065,American Assn for Justice,16000,16000,0,2022-04-18 00:00:00 +0000,32,x,x,0,D000000065
C00215046,"",D000000328,Fidelity Investments                    ,16000,15000,1000,2022-04-18 00:00:00 +0000,32, , ,0,          
C00493304,"",D000000141,Prudential Financial,16000,16000,0,2022-04-18 00:00:00 +0000,32,x, ,1,D000000141
C00001198,"",D000023971,American Hotel & Lodging Assn,15000,15000,0,2022-04-18 00:00:00 +0000,35,x, ,0,D000023971
C00373696,"",D000021837,American Psychiatric Assn,15000,15000,0,2022-04-18 00:00:00 +0000,35,x, ,0,D000021837
C00076810,"",D000000155,General Motors,15000,15000,0,2022-04-18 00:00:00 +0000,35,x, ,0,D000000155
C00023580,"",D000000084,National Assn of Letter Carriers,15000,15000,0,2022-04-18 00:00:00 +0000,35,x, ,0,D000000084
C70001979,"",D000000066,Teamsters Union                         ,15000,15000,0,2022-04-18 00:00:00 +0000,35,x, ,0,D000000066
         ,"",D000062582,NAI Michael Co,14500,0,14500,2022-04-18 00:00:00 +0000,40, , ,0,          
C00238204,"",D000028214,Pakistani American Public Affairs Cmte,14500,9750,4750,2022-04-18 00:00:00 +0000,40, , ,0,          
C00431924,"",D000027032,Kidney Care Partners,14000,14000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",13718,3968,9750,2022-04-18 00:00:00 +0000,43, ,x,1,D000000162
C00255752,"",D000000199,American Society of Anesthesiologists,13500,13500,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00674465,"",D000026350,Guardian Life Insurance,13500,8000,5500,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000000729,HBJ Investments,13500,0,13500,2022-04-18 00:00:00 +0000,44, , ,0,          
C00068528,"",          ,Pacific Life Insurance,13500,12000,1500,2022-04-18 00:00:00 +0000,44, , ,0,          
C00384818,"",D000025214,CVS Health,13200,9500,3700,2022-04-18 00:00:00 +0000,48, , ,0,          
C00236414,"",          ,TransAmerica,13200,10500,2700,2022-04-18 00:00:00 +0000,48, , ,0,          
C00118430,"",D000023989,American Orthotic & Prosthetic Assn,12874,10000,2874,2022-04-18 00:00:00 +0000,50, , ,0,          
C00401299,"",          ,Fresenius Medical Care North America,12500,12500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00096156,"",D000000334,Honeywell International,12500,12500,0,2022-04-18 00:00:00 +0000,51,x, ,0,D000000334
C00029447,"",D000000135,International Assn of Fire Fighters,12500,12500,0,2022-04-18 00:00:00 +0000,51,x, ,0,D000000135
C00284810,"",D000000272,Marriott International,12500,7500,5000,2022-04-18 00:00:00 +0000,51,x, ,0,D000000272
C00493551,"",D000000172,MetLife Inc,12500,12500,0,2022-04-18 00:00:00 +0000,51,x, ,0,D000000172
C00004812,"",D000000309,Mortgage Bankers Assn,12500,12500,0,2022-04-18 00:00:00 +0000,51,x, ,0,D000000309
C00016683,"",D000000138,Pfizer Inc,12500,12500,0,2022-04-18 00:00:00 +0000,51,x, ,0,D000000138
C00006080,"",D000000192,American Health Care Assn               ,12250,11000,1250,2022-04-18 00:00:00 +0000,58,x, ,1,D000000192
C00077321,"",D000000095,American Institute of CPAs,12000,12000,0,2022-04-18 00:00:00 +0000,59,x, ,0,D000000095
C00132282,"",D000000671,Equipment Leasing & Finance Assn,12000,12000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",D000052940,Laureate Education,11550,0,11550,2022-04-18 00:00:00 +0000,61, , ,0,          
C00211318,"",D000000131,Deloitte LLP,11510,10000,1510,2022-04-18 00:00:00 +0000,62,x,x,0,D000000131
C00325332,"",D000024003,American Seniors Housing Assn,11500,11500,0,2022-04-18 00:00:00 +0000,63,x, ,0,D000024003
C00196089,"",D000025677,ESOP Assn,11500,11500,0,2022-04-18 00:00:00 +0000,63,x, ,0,D000025677
C00195388,"",D000021746,"Buchanan, Ingersoll & Rooney",11400,3500,7900,2022-04-18 00:00:00 +0000,65, ,x,0,D000021746
         ,"",D000037522,Shelter Group,11400,0,11400,2022-04-18 00:00:00 +0000,65, , ,0,          
C00292094,"",D000022002,Genesis HealthCare,11250,9000,2250,2022-04-18 00:00:00 +0000,67,x, ,0,D000022002
         ,"",D000022322,WilmerHale LLP,11039,0,11039,2022-04-18 00:00:00 +0000,68, , ,0,          
C00333104,"",D000024013,American Soc/Pension Prof & Actuaries,11000,11000,0,2022-04-18 00:00:00 +0000,69,x, ,0,D000024013
         ,"",D000000147,Marine Engineers Beneficial Assn,11000,11000,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00109991,"",D000027911,Small Business Investor Alliance,11000,11000,0,2022-04-18 00:00:00 +0000,69,x, ,0,D000027911
         ,"",          ,Chesapeake Shipbuilding,10800,0,10800,2022-04-18 00:00:00 +0000,72, , ,0,          
C00330647,"",D000000535,DISH Network,10800,0,10800,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Harvy's Car Wash,10800,0,10800,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000084034,Maryland Institute College of Art,10800,0,10800,2022-04-18 00:00:00 +0000,72, , ,0,          
C00562660,"",D000029062,Sinclair Broadcast Group,10800,0,10800,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000030547,Triumvirate Environmental,10800,0,10800,2022-04-18 00:00:00 +0000,72, , ,0,          
C00210666,"",D000000626,American Speech-Language-Hearing Assn,10500,10500,0,2022-04-18 00:00:00 +0000,78,x, ,0,D000000626
C00244863,"",D000022139,National Roofing Contractors Assn,10500,10500,0,2022-04-18 00:00:00 +0000,78,x, ,0,D000022139
C00142711,"",D000000100,Boeing Co,10025,10000,25,2022-04-18 00:00:00 +0000,80, , ,0,          
C00428623,"",          ,Google Inc,10006,10000,6,2022-04-18 00:00:00 +0000,81, , ,0,          
C00331694,"",          ,America Works PAC,10000,10000,0,2022-04-18 00:00:00 +0000,82, , ,0,          
C00365965,"",D000021823,American Academy of Pediatric Dentistry,10000,10000,0,2022-04-18 00:00:00 +0000,82, , ,0,          
C00147066,"",D000000152,American Council of Life Insurers,10000,10000,0,2022-04-18 00:00:00 +0000,82,x, ,1,D000000152
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,82, , ,0,          
C00400929,"",D000021841,AmerisourceBergen Corp,10000,10000,0,2022-04-18 00:00:00 +0000,82,x, ,0,D000021841
         ,"",D000044673,Bayada Home Health Care,10000,10000,0,2022-04-18 00:00:00 +0000,82,x, ,1,D000044673
         ,"",          ,Bi-County PAC,10000,10000,0,2022-04-18 00:00:00 +0000,82, , ,0,          
C00564377,"",          ,Chugach Alaska,10000,10000,0,2022-04-18 00:00:00 +0000,82, , ,0,          
C00035535,"",D000025120,Consumer Bankers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,82,x, ,0,D000025120
         ,"",          ,Fearless for the People,10000,10000,0,2022-04-18 00:00:00 +0000,82, , ,0,          
C00431874,"",D000025865,Follow the North Star Fund,10000,10000,0,2022-04-18 00:00:00 +0000,82, , ,0,          
         ,"",          ,Franklin Morris & Assoc,10000,0,10000,2022-04-18 00:00:00 +0000,82, , ,0,          
C00410068,"",D000021992,Fraternity & Sorority PAC,10000,10000,0,2022-04-18 00:00:00 +0000,82, , ,0,          
C00350744,"",D000000085,Goldman Sachs,10000,0,10000,2022-04-18 00:00:00 +0000,82, , ,0,          
