pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000034833,Jennmar Corp,35050,0,35050,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Javelin Global Commodities,23200,0,23200,2022-04-18 00:00:00 +0000,2, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,20000,20000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000092700,Epcon Communities,15600,0,15600,2022-04-18 00:00:00 +0000,4, , ,0,          
C00325357,"",D000022191,Pioneer PAC,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00330233,"",          ,Alliance Coal,12800,5000,7800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Acnr,12600,0,12600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Eagle Specialty Materials,12600,0,12600,2022-04-18 00:00:00 +0000,7, , ,0,          
C00570226,"",D000071238,Supporting Electing American Leaders,12500,12500,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000073422,Miller Strategies,12350,0,12350,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000045151,Rosebud Mining,12100,0,12100,2022-04-18 00:00:00 +0000,11, , ,0,          
C00165589,"",D000026556,Huntington Bancshares,12000,12000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000022123,American Consolidated Natural Resources,11900,0,11900,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000071398,Kimble Companies,11850,0,11850,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,McKinley Assoc,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000036360,Ohio Cat,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Quantum Health,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
C00381277,"",D000028097,Ohio Coal Assn,11000,11000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Fci,10800,0,10800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000061156,Entertrainment Junction,10400,0,10400,2022-04-18 00:00:00 +0000,20, , ,0,          
