pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000000109,Blue Cross/Blue Shield,64700,48500,16200,2022-04-18 00:00:00 +0000,1,x, ,2,D000000109
C00493551,"",D000000172,MetLife Inc,61700,12500,49200,2022-04-18 00:00:00 +0000,2, , ,0,          
C00468314,"",D000025328,Democracy Engine,56249,0,56249,2022-04-18 00:00:00 +0000,3, , ,0,          
C00350744,"",D000000085,Goldman Sachs,51225,32500,18725,2022-04-18 00:00:00 +0000,4,x, ,0,D000000085
C00097485,"",D000000275,Merck & Co,45655,32500,13155,2022-04-18 00:00:00 +0000,5,x, ,1,D000000275
C00128512,"",D000000103,JPMorgan Chase & Co,43880,30000,13880,2022-04-18 00:00:00 +0000,6,x, ,0,D000000103
C00365122,"",D000029689,Visa Inc,40900,27500,13400,2022-04-18 00:00:00 +0000,7,x, ,1,D000029689
C00064766,"",D000000081,United Parcel Service,40250,40000,250,2022-04-18 00:00:00 +0000,8,x, ,2,D000000081
         ,"",D000043112,AstraZeneca PLC,40000,40000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,40000,40000,0,2022-04-18 00:00:00 +0000,9,x, ,0,D000000062
C00251876,"",D000000391,Amgen Inc,37900,32500,5400,2022-04-18 00:00:00 +0000,11,x, ,1,D000000391
C00171926,"",D000069022,DuPont Co,37405,11000,26405,2022-04-18 00:00:00 +0000,12, , ,0,          
C00428623,"",          ,Google Inc,36000,36000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00096156,"",D000000334,Honeywell International,36000,36000,0,2022-04-18 00:00:00 +0000,13,x, ,2,D000000334
         ,"",D000000333,"Kleiner, Perkins et al",35500,0,35500,2022-04-18 00:00:00 +0000,15,x, ,0,D000000333
C00130773,"",D000000755,National Multifamily Housing Council,35000,35000,0,2022-04-18 00:00:00 +0000,16,x, ,0,D000000755
C00012245,"",          ,UBS Americas,35000,35000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00325332,"",D000024003,American Seniors Housing Assn,34000,34000,0,2022-04-18 00:00:00 +0000,18,x, ,0,D000024003
C00109017,"",D000000076,AT&T Inc,33045,33000,45,2022-04-18 00:00:00 +0000,19,x, ,4,D000000076
         ,"",D000000215,Sanofi,30400,25000,5400,2022-04-18 00:00:00 +0000,20, , ,0,          
C00536573,"",D000066804,AbbVie Inc,30000,30000,0,2022-04-18 00:00:00 +0000,21,x, ,0,D000066804
C00010868,"",D000000682,American Council of Engineering Cos,30000,30000,0,2022-04-18 00:00:00 +0000,21,x, ,0,D000000682
C00211318,"",D000000131,Deloitte LLP,30000,30000,0,2022-04-18 00:00:00 +0000,21,x,x,0,D000000131
C00164145,"",D000029616,USAA,30000,30000,0,2022-04-18 00:00:00 +0000,21,x, ,0,D000029616
C00088591,"",D000000170,Northrop Grumman,29740,28500,1240,2022-04-18 00:00:00 +0000,25,x, ,0,D000000170
C00105981,"",D000000262,Investment Co Institute,29000,29000,0,2022-04-18 00:00:00 +0000,26,x, ,0,D000000262
C00158881,"",D000000249,New York Life Insurance,29000,22500,6500,2022-04-18 00:00:00 +0000,26,x, ,0,D000000249
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,28500,28500,0,2022-04-18 00:00:00 +0000,28,x, ,0,D000000606
C00077321,"",D000000095,American Institute of CPAs,27500,27500,0,2022-04-18 00:00:00 +0000,29,x, ,0,D000000095
C00540518,"",D000021890,Capital Group Companies,27500,27500,0,2022-04-18 00:00:00 +0000,29,x, ,0,D000021890
C00177469,"",D000000290,PG&E Corp,27500,27500,0,2022-04-18 00:00:00 +0000,29,x, ,3,D000000290
C00006080,"",D000000192,American Health Care Assn,27218,27000,218,2022-04-18 00:00:00 +0000,32,x, ,1,D000000192
C00171330,"",D000000330,Holland & Knight,26500,18500,8000,2022-04-18 00:00:00 +0000,33, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,26000,25000,1000,2022-04-18 00:00:00 +0000,34,x, ,0,D000000309
C00089458,"",D000022140,"National Stone, Sand & Gravel Assn",26000,26000,0,2022-04-18 00:00:00 +0000,34,x, ,0,D000022140
C00000059,"",D000000474,Hallmark Cards,25500,6000,19500,2022-04-18 00:00:00 +0000,36, , ,0,          
C00340075,"",          ,BASF Corp,25270,25000,270,2022-04-18 00:00:00 +0000,37, , ,0,          
C00248716,"",D000000461,Comcast Corp,25000,25000,0,2022-04-18 00:00:00 +0000,38,x, ,2,D000000461
C00029504,"",D000000139,Operating Engineers Union,25000,25000,0,2022-04-18 00:00:00 +0000,38,x, ,0,D000000139
C00141218,"",D000000368,Exelon Corp,24941,22500,2441,2022-04-18 00:00:00 +0000,40,x, ,0,D000000368
C00032698,"",D000000261,Independent Community Bankers of America,24570,24500,70,2022-04-18 00:00:00 +0000,41,x, ,0,D000000261
         ,"",D000021873,Blackstone Group,24500,0,24500,2022-04-18 00:00:00 +0000,42, , ,0,          
C00082792,"",D000000166,Eli Lilly & Co,24200,21500,2700,2022-04-18 00:00:00 +0000,43,x, ,0,D000000166
C00364778,"",D000000090,Bank of America,24130,22000,2130,2022-04-18 00:00:00 +0000,44,x, ,0,D000000090
C00007880,"",D000000136,Credit Union National Assn,24000,24000,0,2022-04-18 00:00:00 +0000,45,x, ,0,D000000136
C00068692,"",D000000089,FedEx Corp,23195,22500,695,2022-04-18 00:00:00 +0000,46,x, ,1,D000000089
C00360354,"",D000023883,Amazon.com,21835,21500,335,2022-04-18 00:00:00 +0000,47,x, ,2,D000023883
C00034157,"",D000000126,AFLAC Inc,21500,21500,0,2022-04-18 00:00:00 +0000,48,x, ,1,D000000126
C00023580,"",D000000084,National Assn of Letter Carriers,21500,21500,0,2022-04-18 00:00:00 +0000,48,x, ,0,D000000084
C00016683,"",D000000138,Pfizer Inc,21500,16500,5000,2022-04-18 00:00:00 +0000,48,x, ,4,D000000138
C00227744,"",D000000098,Ernst & Young,21272,21000,272,2022-04-18 00:00:00 +0000,51,x,x,0,D000000098
C00163832,"",D000000148,CSX Corp,21000,21000,0,2022-04-18 00:00:00 +0000,52,x, ,0,D000000148
         ,"",D000000402,"Welsh, Carson et al                     ",20600,0,20600,2022-04-18 00:00:00 +0000,53, , ,0,          
C00034405,"",D000000171,International Paper,20500,20500,0,2022-04-18 00:00:00 +0000,54,x, ,0,D000000171
C00040535,"",D000000217,American Express,20000,20000,0,2022-04-18 00:00:00 +0000,55,x, ,0,D000000217
