pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00082792,"",D000000166,Eli Lilly & Co,12825,10000,2825,2022-04-18 00:00:00 +0000,1, , ,0,          
C00002840,"",D000000070,United Auto Workers,10000,10000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00002766,"",D000000072,United Food & Commercial Workers Union,10000,10000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",8500,8500,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000044692,"Bose, McKinney & Evans",8300,0,8300,2022-04-18 00:00:00 +0000,5, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,6000,6000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Axia Urban,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000051846,Hogan Group,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000071037,Schiavi Seeds,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Twg Development LLC,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
C00131185,"",D000000233,Aircraft Owners & Pilots Assn,5000,5000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00691972,"",          ,Allison Transmission,5000,5000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00197228,"",          ,Anthem Inc,5000,5000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00688846,"",          ,Inspiring Leadership Has a Name PAC,5000,5000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00342907,"",          ,Laborers Union/Midwest Region,5000,5000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,5000,5000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00219568,"",          ,Operating Engineers Local 12,5000,5000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,5000,5000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00296822,"",          ,Rolls-Royce North America,5000,5000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C70003124,"",D000000077,Service Employees International Union,5000,2500,2500,2022-04-18 00:00:00 +0000,11, , ,0,          
C00003590,"",D000000102,United Steelworkers,5000,5000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C70000492,"",D000000064,National Education Assn,4000,4000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,American Consulting,3900,0,3900,2022-04-18 00:00:00 +0000,25, , ,0,          
C00108613,"",          ,Indiana Democratic Congressional Victory Cmte,3688,3688,0,2022-04-18 00:00:00 +0000,26, , ,0,          
