pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00078451,"",D000000165,General Dynamics                        ,17125,11000,6125,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000073417,Medquest Pharmacy,16600,0,16600,2022-04-18 00:00:00 +0000,2, , ,0,          
C00024968,"",D000000194,American Optometric Assn,15500,15000,500,2022-04-18 00:00:00 +0000,3, , ,0,          
C00034272,"",D000000568,National Chicken Council,15000,15000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00030809,"",D000022132,National Community Pharmacists Assn,13500,13500,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00144774,"",D000000168,Southern Co,12762,12500,262,2022-04-18 00:00:00 +0000,6, , ,0,          
C00108035,"",D000022105,McKesson Corp                           ,12500,12500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00558452,"",D000062984,Professional Compounding Centers of America,12500,12500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00400135,"",D000021482,United Health Services,12500,12500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Waters Capital Partners,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000049982,Daniel Defense LLC,11400,0,11400,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Peeples Industries,11000,0,11000,2022-04-18 00:00:00 +0000,12, , ,0,          
C00608943,"",          ,ClearPath Action,10800,0,10800,2022-04-18 00:00:00 +0000,13, , ,0,          
C00236489,"",D000000186,Koch Industries,10030,10000,30,2022-04-18 00:00:00 +0000,14, , ,0,          
C00064766,"",D000000081,United Parcel Service,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00303024,"",D000000104,Lockheed Martin,8725,8500,225,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Innovation Compounding,8700,0,8700,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Resource Land Consultants,8700,0,8700,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000090809,Wedgewood Pharmacy,8500,0,8500,2022-04-18 00:00:00 +0000,19, , ,0,          
C00424143,"",D000026656,Alliance for Pharmacy Compounding,7500,7500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00251876,"",D000000391,Amgen Inc,7500,7500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00469429,"",D000065616,CMR PAC,7500,7500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00104802,"",D000000350,Delta Air Lines,7500,7500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Hall & Navarro LLC,7500,0,7500,2022-04-18 00:00:00 +0000,20, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,7500,7500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Ghc Holdings Llc,7000,0,7000,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000043112,AstraZeneca PLC,6000,6000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000075939,Dulany Industries,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Grainger Companies,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Sapp'S Wrecker Services,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Tha Group,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Coastal Home Care,5600,0,5600,2022-04-18 00:00:00 +0000,33, , ,0,          
C00612010,"",D000071052,American Car Rental Assn,5500,5500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00012880,"",D000000298,American Physical Therapy Assn,5500,5500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00340943,"",D000021951,DaVita Inc,5500,5500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00109017,"",D000000076,AT&T Inc,5100,5000,100,2022-04-18 00:00:00 +0000,37, , ,0,          
C00284885,"",D000000419,Home Depot,5004,5000,4,2022-04-18 00:00:00 +0000,38, , ,0,          
C00005660,"",D000021827,American Assn/Oral & Maxillofacial Surg,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00106146,"",D000000116,American Hospital Assn,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00010421,"",D000000187,Associated Builders & Contractors,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00383463,"",D000026186,Association for Accessible Medicines,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00250399,"",D000021853,Automotive Free International Trade PAC           ,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00559146,"",          ,Believe in Life Liberty Yourself,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Bland Farms,5000,0,5000,2022-04-18 00:00:00 +0000,39, , ,0,          
C00450866,"",D000025078,Concordia PAC,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,"Dabbs, Hickman, Hill & Cannon",5000,0,5000,2022-04-18 00:00:00 +0000,39, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00407080,"",          ,Gentiva Health Services,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00382150,"",D000022003,GEO Group,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Innovations Group,5000,0,5000,2022-04-18 00:00:00 +0000,39, , ,0,          
C00034405,"",D000000171,International Paper,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C90016437,"",D000000086,National Assn of Home Builders,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00416297,"",D000000431,National Cotton Council,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00451757,"",D000028533,Rayonier Inc,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00615203,"",D000070694,Senior Care Pharmacy Coalition,5000,0,5000,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Southeastern Pathology Assoc,5000,0,5000,2022-04-18 00:00:00 +0000,39, , ,0,          
C00712695,"",          ,Vitoria PAC,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00040394,"",D000000480,Williams Companies,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00507699,"",D000069436,National Independent Automobile Dealers Assn,4990,4990,0,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000042471,Coleman Co,4900,0,4900,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Thomas & Hutton,4800,0,4800,2022-04-18 00:00:00 +0000,65, , ,0,          
C90018227,"",D000071234,Animal Wellness Action,4500,3500,1000,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",          ,Diamond Concrete Products,4100,0,4100,2022-04-18 00:00:00 +0000,67, , ,0,          
         ,"",          ,Cross Potomac Consulting LLC,4000,0,4000,2022-04-18 00:00:00 +0000,68, , ,0,          
C00067231,"",D000000445,HCA Inc,4000,0,4000,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",          ,Lacey Drug Co,4000,0,4000,2022-04-18 00:00:00 +0000,68, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,4000,4000,0,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",D000035749,McManus Group,3900,0,3900,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000037777,Stanton Park Group,3900,0,3900,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Tradeport Logistics LLC,3900,0,3900,2022-04-18 00:00:00 +0000,72, , ,0,          
C00338020,"",D000024157,Argentum,3500,3500,0,2022-04-18 00:00:00 +0000,75, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,3500,3500,0,2022-04-18 00:00:00 +0000,75, , ,0,          
C00082792,"",D000000166,Eli Lilly & Co,3500,3500,0,2022-04-18 00:00:00 +0000,75, , ,0,          
C00022343,"",D000000181,Independent Insurance Agents & Brokers of America,3500,3500,0,2022-04-18 00:00:00 +0000,75, , ,0,          
C00682617,"",D000074352,National Pecan Federation,3500,3500,0,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",D000074531,Todd Strategy Group,3500,0,3500,2022-04-18 00:00:00 +0000,75, , ,0,          
C00311142,"",D000073173,Troutman Pepper,3500,2500,1000,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",          ,Coastal Sitework LLC,3400,0,3400,2022-04-18 00:00:00 +0000,82, , ,0,          
         ,"",          ,Homes of Integrity Construction,3400,0,3400,2022-04-18 00:00:00 +0000,82, , ,0,          
C00041061,"",D000023993,American Pilots Assn,3000,3000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00114132,"",D000000315,American Veterinary Medical Assn,3000,3000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00174227,"",D000000620,Baker & Hostetler,3000,2500,500,2022-04-18 00:00:00 +0000,84, , ,0,          
C00142711,"",D000000100,Boeing Co,3000,3000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
         ,"",          ,Jm Rountree Insurance Agency,3000,0,3000,2022-04-18 00:00:00 +0000,84, , ,0,          
C00022368,"",D000000289,National Assn of Chain Drug Stores,3000,2500,500,2022-04-18 00:00:00 +0000,84, , ,0,          
         ,"",          ,Release Marine,3000,0,3000,2022-04-18 00:00:00 +0000,84, , ,0,          
C00434811,"",          ,Teva Pharmaceuticals USA,3000,2500,500,2022-04-18 00:00:00 +0000,84, , ,0,          
C00425439,"",D000029438,Thoroughbred PAC,3000,3000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
         ,"",          ,Acella Pharmaceuticals,2900,0,2900,2022-04-18 00:00:00 +0000,93, , ,0,          
         ,"",          ,Beachview Companies,2900,0,2900,2022-04-18 00:00:00 +0000,93, , ,0,          
         ,"",          ,Beachview Event Rentals,2900,0,2900,2022-04-18 00:00:00 +0000,93, , ,0,          
         ,"",          ,Envirovac Holdings LLC,2900,0,2900,2022-04-18 00:00:00 +0000,93, , ,0,          
         ,"",          ,Envirovac Inc,2900,0,2900,2022-04-18 00:00:00 +0000,93, , ,0,          
C00788661,"",D000073279,Global Blood Therapeutics,2900,2900,0,2022-04-18 00:00:00 +0000,93, , ,0,          
         ,"",          ,Harmon Development Group,2900,0,2900,2022-04-18 00:00:00 +0000,93, , ,0,          
         ,"",          ,Lindley Holdings Llc,2900,0,2900,2022-04-18 00:00:00 +0000,93, , ,0,          
         ,"",          ,Premier Kings,2900,0,2900,2022-04-18 00:00:00 +0000,93, , ,0,          
         ,"",          ,Righteous Guitars LLC,2900,0,2900,2022-04-18 00:00:00 +0000,93, , ,0,          
         ,"",          ,Savannah Pilots Assn,2900,0,2900,2022-04-18 00:00:00 +0000,93, , ,0,          
         ,"",D000063947,W Strategies,2900,0,2900,2022-04-18 00:00:00 +0000,93, , ,0,          
