pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000021873,Blackstone Group,40600,0,40600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000047491,ATS Communications,16700,0,16700,2022-04-18 00:00:00 +0000,2, , ,0,          
C00629709,"",          ,No Labels Problem Solvers,13600,5000,8600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000062527,Moore Capital Management,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00564377,"",          ,Chugach Alaska,8300,8000,300,2022-04-18 00:00:00 +0000,6, , ,0,          
C00305318,"",D000000675,Blue Dog PAC,8000,8000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Ted Lieu for Congress,8000,0,8000,2022-04-18 00:00:00 +0000,7, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,7000,7000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Fce,6800,0,6800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Fortress Investment Group,6800,0,6800,2022-04-18 00:00:00 +0000,11, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,6500,6500,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00075341,"",D000000355,Motorola Solutions,6000,6000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000021943,Crow Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000000684,Duchossois Group,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000083820,Great Hill Partners,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000034198,Greylock Partners,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000054906,Oaktree Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Provident Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000084350,Rivulet Capital,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Wrbc Transportation,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
C00366070,"",D000025772,Federal Aviation Admin Managers Assn,5500,5500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,5000,5000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00001198,"",D000023971,American Hotel & Lodging Assn,5000,5000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000047864,Bluff Point Assoc,5000,0,5000,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000032542,Childress Klein Properties,5000,0,5000,2022-04-18 00:00:00 +0000,24, , ,0,          
C00085316,"",D000000222,Cigna Corp,5000,5000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000088018,Clarkson Aerospace,5000,0,5000,2022-04-18 00:00:00 +0000,24, , ,0,          
C00456939,"",          ,Hawaiian Airlines,5000,5000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00284885,"",D000000419,Home Depot,5000,5000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,5000,5000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00027359,"",D000000140,Ironworkers Union,5000,5000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00150367,"",D000000283,National Venture Capital Assn,5000,5000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00029504,"",D000000139,Operating Engineers Union               ,5000,5000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union,5000,5000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",5000,5000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000090595,Srs Distribution,5000,0,5000,2022-04-18 00:00:00 +0000,24, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,5000,5000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00709816,"",D000032046,Booz Allen Hamilton,4200,0,4200,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Affinity Capital Management,4000,0,4000,2022-04-18 00:00:00 +0000,41, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,4000,4000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000070020,Filemon Vela for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00164509,"",D000026663,Intl Fedn of Prof & Technical Engineers,4000,4000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00696591,"",D000088444,Across the Aisle PAC,3500,3500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00343137,"",          ,American Assn of Orthopaedic Surgeons,3500,3500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00002089,"",D000000075,Communications Workers of America,3500,3500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00215285,"",D000000317,General Atomics,3500,3500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,3500,3500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00284810,"",D000000272,Marriott International,3500,3500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,3500,3500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00089458,"",D000022140,"National Stone, Sand & Gravel Assn",3500,3500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00064774,"",D000000321,NextEra Energy,3500,3500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00088591,"",D000000170,Northrop Grumman,3500,3500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000048605,Chicago Trading Co,3400,0,3400,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Avalon Group,3000,0,3000,2022-04-18 00:00:00 +0000,56, , ,0,          
C00142711,"",D000000100,Boeing Co,3000,3000,0,2022-04-18 00:00:00 +0000,56, , ,0,          
C00792127,"",D000064731,FICO,3000,0,3000,2022-04-18 00:00:00 +0000,56, , ,0,          
