pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000022295,University Of Pennsylvania,237994,0,237994,2022-04-18 00:00:00 +0000,1,x, ,0,D000022295
C00150797,"",D000000466,Blank Rome LLP,185028,5500,179528,2022-04-18 00:00:00 +0000,2, , ,0,          
C00248716,"",D000000461,Comcast Corp,168643,35000,133643,2022-04-18 00:00:00 +0000,3,x, ,2,D000000461
         ,"",D000022298,UPMC Health System                      ,152037,0,152037,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000022240,"Kessler, Topaz et al",145852,0,145852,2022-04-18 00:00:00 +0000,5, , ,0,          
C00127258,"",D000021809,Air Products & Chemicals Inc,131035,10000,121035,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000030685,University of Pittsburgh,121480,0,121480,2022-04-18 00:00:00 +0000,7, , ,0,          
C00141218,"",D000000368,Exelon Corp,108136,13500,94636,2022-04-18 00:00:00 +0000,8,x, ,0,D000000368
C00312777,"",D000025169,Cozen O'Connor,102150,21500,80650,2022-04-18 00:00:00 +0000,9,x,x,0,D000025169
C00242057,"",D000022215,Reed Smith LLP,99038,10000,89038,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,91840,26250,65590,2022-04-18 00:00:00 +0000,11,x, ,3,D000000109
C00195388,"",D000021746,"Buchanan, Ingersoll & Rooney",90472,1042,89430,2022-04-18 00:00:00 +0000,12, ,x,0,D000021746
C00097485,"",D000000275,Merck & Co,89798,29500,60298,2022-04-18 00:00:00 +0000,13,x, ,5,D000000275
C00695254,"",D000031782,Ballard Spahr LLP,83753,9000,74753,2022-04-18 00:00:00 +0000,14, , ,0,          
C00388132,"",D000022198,Pride Mobility Products,81450,20000,61450,2022-04-18 00:00:00 +0000,15,x, ,0,D000022198
         ,"",D000057998,University of Pennsylvania Health System,80939,6200,74739,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000021767,National Amusements Inc,78813,3000,75813,2022-04-18 00:00:00 +0000,17, , ,0,          
