pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000000402,"Welsh, Carson et al                     ",131990,0,131990,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000067478,Ochsner Health System,82540,0,82540,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000067692,Acadian Companies,77250,5000,72250,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000031752,B&G Food Enterprises,63735,0,63735,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000000358,KKR & Co,62245,12000,50245,2022-04-18 00:00:00 +0000,5, , ,0,          
C00247403,"",D000022158,NorPAC,59200,0,59200,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000081974,Neurological Surgery PC,48800,0,48800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000068060,Clearpath Foundation,48122,0,48122,2022-04-18 00:00:00 +0000,8,x, ,0,D000068060
C00536573,"",D000066804,AbbVie Inc,47752,27500,20252,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000036009,Morris & Dickson,47600,0,47600,2022-04-18 00:00:00 +0000,10,x, ,0,D000036009
C00111534,"",D000026905,Jones Walker LLP,46625,24500,22125,2022-04-18 00:00:00 +0000,11, ,x,1,D000026905
         ,"",D000021873,Blackstone Group,45875,1000,44875,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000081660,Oceans Healthcare,45700,0,45700,2022-04-18 00:00:00 +0000,13,x, ,0,D000081660
C00027466,"",D000036122,National Republican Senatorial Cmte,44602,44600,2,2022-04-18 00:00:00 +0000,14, , ,0,          
C00635516,"",D000068133,Tellurian Inc,43500,11000,32500,2022-04-18 00:00:00 +0000,15, , ,0,          
C00436360,"",D000023885,Amedisys Inc,42775,22500,20275,2022-04-18 00:00:00 +0000,16,x, ,0,D000023885
         ,"",          ,Shields Health Solutions,42400,0,42400,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000035750,McNa Dental Plans,42300,0,42300,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000032623,Civic Service Inc,42000,0,42000,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,41520,37000,4520,2022-04-18 00:00:00 +0000,20,x, ,3,D000000109
         ,"",D000021757,Berkshire Hathaway,41210,4000,37210,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000032228,Cajun Industries                                  ,38950,0,38950,2022-04-18 00:00:00 +0000,22, , ,0,          
C00096156,"",D000000334,Honeywell International,37700,37500,200,2022-04-18 00:00:00 +0000,23,x, ,0,D000000334
         ,"",D000084248,VieMed Healthcare,37675,0,37675,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000063470,Southern Brain & Spine,37400,0,37400,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000030901,Wampold Companies,36550,0,36550,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000042474,Roche Holdings,36500,31500,5000,2022-04-18 00:00:00 +0000,27, , ,0,          
C00089136,"",D000000067,Altria Group,36010,35000,1010,2022-04-18 00:00:00 +0000,28,x, ,3,D000000067
C00363879,"",D000000255,Entergy Corp,35640,18500,17140,2022-04-18 00:00:00 +0000,29,x, ,0,D000000255
C00140061,"",D000000293,American College of Emergency Physicians,35000,35000,0,2022-04-18 00:00:00 +0000,30,x, ,0,D000000293
C70002563,"",D000000062,National Assn of Realtors,34000,34000,0,2022-04-18 00:00:00 +0000,31,x, ,0,D000000062
C00629709,"",          ,No Labels Problem Solvers,32800,10500,22300,2022-04-18 00:00:00 +0000,32, , ,0,          
C00085316,"",D000000222,Cigna Corp                              ,32560,32500,60,2022-04-18 00:00:00 +0000,33,x, ,0,D000000222
C00251876,"",D000000391,Amgen Inc,32500,31500,1000,2022-04-18 00:00:00 +0000,34,x, ,3,D000000391
C00426775,"",D000000672,Charter Communications,32500,32500,0,2022-04-18 00:00:00 +0000,34,x, ,1,D000000672
         ,"",D000058701,Woodvine Group,32000,0,32000,2022-04-18 00:00:00 +0000,36, , ,0,          
C00346288,"",D000028434,Premier Inc,31025,7500,23525,2022-04-18 00:00:00 +0000,37, , ,0,          
C00359539,"",D000021821,American Academy of Dermatology Assn,31000,31000,0,2022-04-18 00:00:00 +0000,38,x, ,0,D000021821
         ,"",D000033678,1st Financial Bank USA,30800,0,30800,2022-04-18 00:00:00 +0000,39,x, ,0,D000033678
         ,"",D000084377,GBX Group,30500,0,30500,2022-04-18 00:00:00 +0000,40, , ,0,          
C00016683,"",D000000138,Pfizer Inc                              ,30025,26000,4025,2022-04-18 00:00:00 +0000,41,x, ,3,D000000138
C00351197,"",D000021834,American Society of Interventional Pain Physicians,30000,30000,0,2022-04-18 00:00:00 +0000,42,x, ,1,D000021834
         ,"",D000060149,Arkansas Urology,30000,0,30000,2022-04-18 00:00:00 +0000,42, , ,0,          
C00340943,"",D000021951,DaVita Inc,30000,30000,0,2022-04-18 00:00:00 +0000,42,x, ,0,D000021951
C00236489,"",D000000186,Koch Industries,30000,30000,0,2022-04-18 00:00:00 +0000,42,x, ,3,D000000186
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,30000,30000,0,2022-04-18 00:00:00 +0000,42,x, ,1,D000000606
         ,"",D000088966,Matilda Stream Management,29900,0,29900,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000031678,Atco Investment,29800,0,29800,2022-04-18 00:00:00 +0000,48, , ,0,          
C00226472,"",D000023754,Adams & Reese,29750,20000,9750,2022-04-18 00:00:00 +0000,49, ,x,1,D000023754
C00255752,"",D000000199,American Society of Anesthesiologists,29500,29500,0,2022-04-18 00:00:00 +0000,50,x, ,0,D000000199
C00419911,"",D000024683,Lumen Technologies,29145,26000,3145,2022-04-18 00:00:00 +0000,51,x, ,3,D000024683
C00064766,"",D000000081,United Parcel Service,29120,29000,120,2022-04-18 00:00:00 +0000,52,x, ,1,D000000081
C00491654,"",D000065613,Citizens for Prosperity in America Today,28650,10000,18650,2022-04-18 00:00:00 +0000,53, , ,0,          
C00382796,"",D000035370,LHC Group,28600,0,28600,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",D000032041,Bollinger Shipyards,28100,0,28100,2022-04-18 00:00:00 +0000,55,x, ,0,D000032041
         ,"",D000000684,Duchossois Group,27954,0,27954,2022-04-18 00:00:00 +0000,56, , ,0,          
C00397851,"",D000024670,Centene Corp                            ,27650,13500,14150,2022-04-18 00:00:00 +0000,57, , ,0,          
C00108035,"",D000022105,McKesson Corp,27525,22500,5025,2022-04-18 00:00:00 +0000,58,x, ,0,D000022105
C00211318,"",D000000131,Deloitte LLP,27510,27500,10,2022-04-18 00:00:00 +0000,59,x,x,1,D000000131
C00343459,"",D000021829,American College of Radiology,26500,26500,0,2022-04-18 00:00:00 +0000,60,x, ,2,D000021829
         ,"",D000033379,Edison Chouest Offshore,26300,0,26300,2022-04-18 00:00:00 +0000,61,x, ,0,D000033379
C00413955,"",D000023922,American Assn of Neurological Surgeons,26000,26000,0,2022-04-18 00:00:00 +0000,62,x, ,0,D000023922
C00375360,"",D000021828,American College of Cardiology,26000,26000,0,2022-04-18 00:00:00 +0000,62,x, ,0,D000021828
