pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,NOT EMPLOYED,114136,0,114136,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Candid Wines,43335,0,43335,2022-04-18 00:00:00 +0000,2, , ,0,          
C00438051,"",D000018253,Discover Financial Services,29425,10000,19425,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000030649,University of Chicago,29172,0,29172,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000071500,Wicklow Capital,27400,0,27400,2022-04-18 00:00:00 +0000,5, , ,0,          
C00468314,"",D000025328,Democracy Engine,20193,0,20193,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000034206,Grippo & Elden,18700,0,18700,2022-04-18 00:00:00 +0000,7, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,17500,17500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000032429,Cdw Corp,17075,0,17075,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000036277,Northwestern University,15337,0,15337,2022-04-18 00:00:00 +0000,10, , ,0,          
C00076299,"",D000023666,CME Group,12949,3500,9449,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000035821,Mesirow Financial,12700,0,12700,2022-04-18 00:00:00 +0000,12, , ,0,          
C00280222,"",D000019986,KPMG LLP,12500,12500,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Sun Trading LLC,12400,0,12400,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000031533,Analysis Group                          ,11915,0,11915,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000000811,Kirkland & Ellis,11800,0,11800,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000036261,Northern Illinois University,11641,0,11641,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,"Brennan, Leslie Shad & Joe",11600,0,11600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000022011,GCM Grosvenor,11600,0,11600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000084276,LifeYield,11600,0,11600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Ust,11600,0,11600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000070000,Advocate Aurora Health,10905,0,10905,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Mpa Inc,10300,0,10300,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Shields Consulting,10100,0,10100,2022-04-18 00:00:00 +0000,24, , ,0,          
C00633248,"",          ,314 Action Fund,10000,10000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00344234,"",D000000520,PAC to the Future,10000,10000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",10000,10000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000030722,US Dept of Energy,9620,0,9620,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,9475,1500,7975,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Not For Profit,9350,0,9350,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Chicago Cred,8700,0,8700,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000021919,Clifford Law Offices,8700,0,8700,2022-04-18 00:00:00 +0000,31, , ,0,          
