pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000000121,American Financial Group,27200,0,27200,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000034590,Hunt Development,23200,0,23200,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000036251,North American Properties,17400,0,17400,2022-04-18 00:00:00 +0000,3, , ,0,          
C00348797,"",D000026966,"Keating, Muething & Klekamp",14350,0,14350,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000044614,Chemed Corp,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000032579,Cincinnati Financial,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
C00449165,"",D000000274,Cintas Corp,10300,1000,9300,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000061156,Entertrainment Junction,10000,0,10000,2022-04-18 00:00:00 +0000,11, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000036804,Prescott Investors,9108,0,9108,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000034402,Heidelberg Distributing,8500,0,8500,2022-04-18 00:00:00 +0000,15, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,7500,7500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000048056,Bryan Equipment Sales,7300,0,7300,2022-04-18 00:00:00 +0000,17, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,6500,5000,1500,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000034951,Jtm Provisions,6000,0,6000,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000055640,Prasco Laboratories,6000,0,6000,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000032183,Buckley Muething Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Buschman Co,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000032578,Cincinnati Bengals,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000021912,Citadel LLC,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000060990,Dimensional Fund Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000061337,Founders Fund,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000080499,Franklin Mountain Management,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000034038,Gh Palmer Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000034125,Goodwin,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000092881,Government Strategies Group,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000068961,Harold Simmons Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000061852,Island Doctors,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000000342,Jw Childs Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,KMK Law,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000035735,McKee Foods,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000036031,Mountaire Corp,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
