pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000021873,Blackstone Group,34800,0,34800,2022-04-18 00:00:00 +0000,1, , ,0,          
C00248716,"",D000000461,Comcast Corp,34750,10000,24750,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000032285,Capital Group,33950,0,33950,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000000358,KKR & Co,29400,0,29400,2022-04-18 00:00:00 +0000,4, , ,0,          
C00540518,"",D000021890,Capital Group Companies                 ,28900,10000,18900,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000021757,Berkshire Hathaway,26658,15000,11658,2022-04-18 00:00:00 +0000,6, , ,0,          
C00646703,"",D000070512,Winning for Women,23200,0,23200,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Consumer Credit Innovations,22400,0,22400,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000071522,Ripple Labs,22100,0,22100,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Jbf Capital,21600,0,21600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000063612,SV Angel LLC,21600,0,21600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000000772,Station Casinos,21300,0,21300,2022-04-18 00:00:00 +0000,12, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",21100,6000,15100,2022-04-18 00:00:00 +0000,13, , ,0,          
C00326595,"",D000021891,Capital One Financial,20125,20000,125,2022-04-18 00:00:00 +0000,14, , ,0,          
C00096156,"",D000000334,Honeywell International,19100,19000,100,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000020995,UBS AG,18900,15000,3900,2022-04-18 00:00:00 +0000,16, , ,0,          
C00109017,"",D000000076,AT&T Inc,18705,15000,3705,2022-04-18 00:00:00 +0000,17, , ,0,          
C00158881,"",D000000249,New York Life Insurance,17265,15000,2265,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000068912,Ryan Specialty Group,17200,0,17200,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000065774,Richmond Global,16600,0,16600,2022-04-18 00:00:00 +0000,20, , ,0,          
C00064766,"",D000000081,United Parcel Service,15650,10000,5650,2022-04-18 00:00:00 +0000,21, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,15500,15000,500,2022-04-18 00:00:00 +0000,22, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,15000,15000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00236489,"",D000000186,Koch Industries,15000,15000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00015933,"",D000000658,Pinnacle West Capital,15000,15000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000066687,Forbes Tate Partners,14950,0,14950,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000070404,Hudson Institute,14700,0,14700,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000021943,Crow Holdings,14500,0,14500,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000061745,Hunt Companies,14500,0,14500,2022-04-18 00:00:00 +0000,28, , ,0,          
