pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000032441,Center for American Progress,12500,0,12500,2022-04-18 00:00:00 +0000,1, , ,0,          
C70000492,"",D000000064,National Education Assn,12000,12000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Business Finance Capital,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Faraday Future,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Garfield Health Center,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000088093,Seville Classics,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00158881,"",D000000249,New York Life Insurance,7500,7500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000073425,Royal Business Bank,7300,0,7300,2022-04-18 00:00:00 +0000,10, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,6500,6500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Veterinary Healthcare Center,6350,0,6350,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Seld,6100,0,6100,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Adsc,5800,0,5800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Amch,5800,0,5800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Amhc,5800,0,5800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Grand Acre LLC,5800,0,5800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Grand Acres LLC,5800,0,5800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000061551,Gruen Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Lams USA Group,5800,0,5800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Lew Medical Clinic,5800,0,5800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Pafco,5800,0,5800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Pen H Lee Md,5800,0,5800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Robsag Inc,5800,0,5800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Tdw+Co,5800,0,5800,2022-04-18 00:00:00 +0000,14, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00109017,"",D000000076,AT&T Inc,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00574970,"",          ,Fair Shot PAC,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00076810,"",D000000155,General Motors,5000,3000,2000,2022-04-18 00:00:00 +0000,26, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00105981,"",D000000262,Investment Co Institute,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00461418,"",D000070323,National Union of Healthcare Workers,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00219568,"",          ,Operating Engineers Local 12,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000091933,Shine Electronics,5000,0,5000,2022-04-18 00:00:00 +0000,26, , ,0,          
C70001979,"",D000000066,Teamsters Union,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Whitley Int,5000,0,5000,2022-04-18 00:00:00 +0000,26, , ,0,          
C00188193,"",D000022327,Women's Political Cmte,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00553966,"",D000064114,Yelp Inc,5000,1000,4000,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000031189,Yin McDonald'S,5000,0,5000,2022-04-18 00:00:00 +0000,26, , ,0,          
C00441949,"",          ,JStreetPAC,4500,3000,1500,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,National Ace,4500,0,4500,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Caelux Corp,4400,0,4400,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000000812,State of California                     ,4225,0,4225,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Felix Chi-Ming Yip Md,4000,0,4000,2022-04-18 00:00:00 +0000,48, , ,0,          
C00337626,"",D000000106,Morgan Stanley,4000,4000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000030316,TELACU Industries,4000,0,4000,2022-04-18 00:00:00 +0000,48, , ,0,          
C00002766,"",D000000072,United Food & Commercial Workers Union,4000,4000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,US Zhejiang General Chamber of Commerc,4000,0,4000,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000049577,Community Commerce Bank,3800,0,3800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,US Bank,3800,0,3800,2022-04-18 00:00:00 +0000,53, , ,0,          
C00428623,"",          ,Google Inc,3500,3500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Shihlin Usa,3500,0,3500,2022-04-18 00:00:00 +0000,55, , ,0,          
C00109991,"",D000027911,Small Business Investor Alliance,3500,3500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Law Office of Steven Scandura,3050,0,3050,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",          ,Albert C Mak MD,3000,0,3000,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",          ,America Trade Development Council,3000,0,3000,2022-04-18 00:00:00 +0000,59, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,3000,3000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,3000,3000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",          ,Baxco Pharmaceuticals,3000,0,3000,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",          ,Ca Acupuncturist United Assn,3000,0,3000,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",          ,Cardinal Paint & Powder,3000,0,3000,2022-04-18 00:00:00 +0000,59, , ,0,          
