pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000058456,Waterson Terminal Services,34800,0,34800,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000086967,Beachwold Residential,23300,0,23300,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000022049,Jana Partners,21200,0,21200,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000035180,Kraft Group,16600,0,16600,2022-04-18 00:00:00 +0000,4, , ,0,          
C00550970,"",D000070371,Equality PAC,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00007922,"",D000000074,Laborers Union,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000021859,Bain Capital,14500,0,14500,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000032165,Brown University,12895,0,12895,2022-04-18 00:00:00 +0000,8, , ,0,          
C00553966,"",D000064114,Yelp Inc,12600,1000,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
C00384818,"",D000025214,CVS Health,12050,5000,7050,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Beverly C Walters MD ,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Fiesta Jewelry,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Mark Foods,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Student Resources,11500,0,11500,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000061397,Fuzzy Door Productions,10800,0,10800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000000552,Paloma Partners,10800,0,10800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Not Employed,10150,0,10150,2022-04-18 00:00:00 +0000,17, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00307991,"",          ,DNC PAC,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00431601,"",D000028712,Oceans PAC,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00448746,"",          ,Operating Engineers Local 57,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00329326,"",          ,Plumbers/Pipefitters Union Local 51,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00002766,"",D000000072,United Food & Commercial Workers Union,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Residential Properties,8550,0,8550,2022-04-18 00:00:00 +0000,25, , ,0,          
C00396895,"",D000026221,Gilead Sciences,8500,0,8500,2022-04-18 00:00:00 +0000,26, , ,0,          
C00350744,"",D000000085,Goldman Sachs,8500,0,8500,2022-04-18 00:00:00 +0000,26, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,7500,7500,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000076221,Summit Consulting Group,7500,0,7500,2022-04-18 00:00:00 +0000,29, , ,0,          
C00248716,"",D000000461,Comcast Corp,7000,3500,3500,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000061182,Eugene Lee Inc,7000,0,7000,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000032305,Capitol City Group,6900,0,6900,2022-04-18 00:00:00 +0000,34, , ,0,          
C00227546,"",D000000115,Microsoft Corp,6800,0,6800,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Canton Hathaway,6500,0,6500,2022-04-18 00:00:00 +0000,36, , ,0,          
C00186064,"",D000028398,PNC Financial Services,6500,6500,0,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000086760,Cornish Assoc,6400,0,6400,2022-04-18 00:00:00 +0000,38, , ,0,          
C00002089,"",D000000075,Communications Workers of America,6000,6000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00010082,"",D000022131,NCTA The Internet & Television Assn,6000,6000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000034396,Invariant LLC,5900,0,5900,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",          ,After-School Corp,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
C00280008,"",D000021811,Akerman LLP,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000031451,Alydar Capital,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,American Realty Capital,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
