pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00484535,"",D000065181,Votesane PAC,94400,0,94400,2022-04-18 00:00:00 +0000,1, , ,0,          
C00441949,"",          ,JStreetPAC,55000,0,55000,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000036528,Mass General Brigham,24935,0,24935,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,24800,5000,19800,2022-04-18 00:00:00 +0000,4, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,21000,21000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,20000,20000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00034488,"",          ,Anheuser-Busch,20000,20000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,20000,20000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00468660,"",D000030819,Vertex Pharmaceuticals,18200,6000,12200,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000021873,Blackstone Group,17900,0,17900,2022-04-18 00:00:00 +0000,10, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",17100,7500,9600,2022-04-18 00:00:00 +0000,11, , ,0,          
C70000492,"",D000000064,National Education Assn,17050,17000,50,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000062286,Manocherian Brothers,16600,0,16600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000085818,"Preotle, Lane & Assoc",16600,0,16600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000090878,Roeco Holdings,16600,0,16600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000037316,Saban Capital Group,16600,0,16600,2022-04-18 00:00:00 +0000,13, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,16000,16000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,16000,16000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00211318,"",D000000131,Deloitte LLP,15000,15000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,15000,15000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00027359,"",D000000140,Ironworkers Union,15000,15000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,15000,15000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00012245,"",          ,UBS Americas,15000,15000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000037537,Shields Health Care Group,13132,0,13132,2022-04-18 00:00:00 +0000,24, , ,0,          
C00078451,"",D000000165,General Dynamics,13000,13000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00125641,"",D000000804,Intel Corp,12900,11000,1900,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000022098,Massachusetts Institute of Technology,12055,0,12055,2022-04-18 00:00:00 +0000,27, , ,0,          
C00428623,"",          ,Google Inc,11000,10000,1000,2022-04-18 00:00:00 +0000,28, , ,0,          
C00677146,"",D000029279,Sun Life Financial,11000,11000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000083362,DataRobot Inc,10900,0,10900,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Shepherd Financial Partners LLC,10900,0,10900,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000031277,Accel Partners,10800,0,10800,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000083818,Diamond Castle Holdings,10800,0,10800,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000033526,Eton Park Capital Management,10800,0,10800,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000062172,Linden Trust for Conservation,10800,0,10800,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Shell Mercer,10800,0,10800,2022-04-18 00:00:00 +0000,32, , ,0,          
C00248716,"",D000000461,Comcast Corp,10500,10000,500,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Silver Birch Consulting,10400,0,10400,2022-04-18 00:00:00 +0000,38, , ,0,          
C00390583,"",D000000724,"Brownstein, Hyatt et al                 ",10250,3000,7250,2022-04-18 00:00:00 +0000,39, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00006080,"",D000000192,American Health Care Assn,10000,10000,0,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000075328,Chartwell Strategy Group,10000,0,10000,2022-04-18 00:00:00 +0000,40, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,10000,10000,0,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Farfield Partners,10000,0,10000,2022-04-18 00:00:00 +0000,40, , ,0,          
C00380550,"",          ,FMR Corp,10000,10000,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00284885,"",D000000419,Home Depot,10000,10000,0,2022-04-18 00:00:00 +0000,40, , ,0,          
