pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00388827,"",D000066716,Rock Holdings,21100,7500,13600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000074035,Edp Enterprises,16600,0,16600,2022-04-18 00:00:00 +0000,2, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,10000,10000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,10000,10000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,10000,10000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00158881,"",D000000249,New York Life Insurance,10000,10000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00206177,"",          ,Plumbers/Pipefitters Union Local 533,10000,10000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C70003124,"",D000000077,Service Employees International Union,10000,5000,5000,2022-04-18 00:00:00 +0000,4, , ,0,          
C00000059,"",D000000474,Hallmark Cards,8700,0,8700,2022-04-18 00:00:00 +0000,10, , ,0,          
C00579540,"",D000034090,Ally Financial,7500,7500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00144261,"",D000024101,Appraisal Institute,7500,7500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00188177,"",D000022016,H&R Block,7500,7500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",7500,7500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000022332,Zurich Insurance Group,7500,7500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00040253,"",D000000632,Allstate Insurance,6000,6000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000076590,Veterans United Home Loans,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
C00147066,"",D000000152,American Council of Life Insurers,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00010322,"",D000000143,American Postal Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
