pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,A Morton Thomas & Assoc,11800,0,11800,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000032976,Csm Inc,11500,0,11500,2022-04-18 00:00:00 +0000,2, , ,0,          
C00552851,"",D000068902,House Freedom Fund,10800,5000,5800,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000087279,Moss & Rocovich,10800,0,10800,2022-04-18 00:00:00 +0000,3, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000044903,Holtzman Oil,8700,0,8700,2022-04-18 00:00:00 +0000,6, , ,0,          
C00365502,"",D000022588,BWX Technologies,6000,6000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Associated Asphalt,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Magic City Auto Group,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000036783,Power Monitors,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000030599,Uline Inc,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000063894,Valley Proteins,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
C00257956,"",D000026253,Good Fund,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000035735,McKee Foods,5000,0,5000,2022-04-18 00:00:00 +0000,13, , ,0,          
C00629709,"",          ,No Labels Problem Solvers,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000053996,Mozart Investments,4900,0,4900,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Whites Travel Center,4500,0,4500,2022-04-18 00:00:00 +0000,17, , ,0,          
C00142711,"",D000000100,Boeing Co,4000,4000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00693127,"",D000084281,Building Bridges PAC,4000,4000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00480863,"",D000054336,National Shooting Sports Foundation,3500,3500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,3500,3500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00326439,"",D000022031,House Conservatives Fund,3000,3000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00325092,"",D000064813,Huntington Ingalls Industries,3000,3000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,3000,3000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Ncta,3000,0,3000,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Ogilvy Government Relations,3000,0,3000,2022-04-18 00:00:00 +0000,22, , ,0,          
C00519603,"",          ,Virginia Poultry Growers Cooperative,3000,3000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Bcr Real Estate,2900,0,2900,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,J&M Recycling & Consulting,2900,0,2900,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000094239,"Martin, Hopkins & Lemon",2900,0,2900,2022-04-18 00:00:00 +0000,28, , ,0,          
C00009985,"",D000000202,National Assn of Broadcasters,2900,0,2900,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Personal Image,2900,0,2900,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Retirement Unlimited,2900,0,2900,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Sanzone & Baker Pc,2900,0,2900,2022-04-18 00:00:00 +0000,28, , ,0,          
C00089136,"",D000000067,Altria Group,2500,2500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00004275,"",D000000087,American Bankers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00027532,"",          ,American Maritime Officers,2500,2500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00641142,"",          ,Americans for Legislating Excellence PAC,2500,2500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00248716,"",D000000461,Comcast Corp,2500,2500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00108209,"",D000000335,Dominion Energy,2500,2500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00078451,"",D000000165,General Dynamics,2500,2500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Harrington Corp,2500,0,2500,2022-04-18 00:00:00 +0000,35, , ,0,          
C00737114,"",D000074357,Hawkeye 360,2500,2500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00272724,"",D000027470,"Maynard, Cooper & Gale",2500,2500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Mel Wheeler Inc,2500,0,2500,2022-04-18 00:00:00 +0000,35, , ,0,          
C90016437,"",D000000086,National Assn of Home Builders,2500,2500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00028787,"",D000000252,National Cattlemen's Beef Assn,2500,2500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00034272,"",D000000568,National Chicken Council,2500,2500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00076182,"",D000027897,National Turkey Federation,2500,2500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00398750,"",D000022152,New PAC,2500,2500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00402669,"",          ,Serco Inc,2500,2500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00524314,"",          ,America's First PAC,2000,2000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Blue Ridge Lumber,2000,0,2000,2022-04-18 00:00:00 +0000,52, , ,0,          
C00410407,"",          ,Edward Jones,2000,0,2000,2022-04-18 00:00:00 +0000,52, , ,0,          
C00225342,"",D000022103,McGuireWoods LLP,2000,1000,1000,2022-04-18 00:00:00 +0000,52, , ,0,          
C00329425,"",D000000732,National Franchisee Assn,2000,2000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Partners In Financial Planning LLC,2000,0,2000,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Riddleberger Brothers Inc,2000,0,2000,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Rocco Building Supplies,2000,0,2000,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Shenandoah Dental Studio,2000,0,2000,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Shenandoah Forest,2000,0,2000,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Spencer Home Center,2000,0,2000,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000063567,Strathmoore Co,2000,0,2000,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Afton Communications,1990,0,1990,2022-04-18 00:00:00 +0000,64, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,1500,1500,0,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000068962,Farragut Partners,1500,0,1500,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Fisher Auto Parts,1500,0,1500,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Grand Home Furnishing,1500,0,1500,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000034498,Hobbs Group,1500,0,1500,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000070210,James Madison University,1500,0,1500,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,McLeod Enterprises,1500,0,1500,2022-04-18 00:00:00 +0000,65, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,1500,1500,0,2022-04-18 00:00:00 +0000,65, , ,0,          
