pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,Magic Industries,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000031076,Williams Brothers Construction,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
C00308478,"",D000029615,USA Rice Federation                     ,11000,11000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000044754,Cl Thomas Inc,10424,0,10424,2022-04-18 00:00:00 +0000,4, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00193631,"",D000000359,Farm Credit Council,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Klean Corp International,8700,0,8700,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,"Cobb, Lundquist & Atnip",7700,0,7700,2022-04-18 00:00:00 +0000,9, , ,0,          
C00236489,"",D000000186,Koch Industries,7500,5000,2500,2022-04-18 00:00:00 +0000,10, , ,0,          
C00416297,"",D000000431,National Cotton Council,7000,7000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000089040,Acrisure LLC,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,American Land & Timber,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Berry Gp Inc,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Carlisle Insurance,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000037035,Repcon Inc,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
C00435321,"",D000028058,Nustar Energy,5600,2800,2800,2022-04-18 00:00:00 +0000,18, , ,0,          
C00214981,"",D000022909,Texas Farm Bureau,5565,4815,750,2022-04-18 00:00:00 +0000,19, , ,0,          
C00430157,"",D000024731,Cheniere Energy,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Cloud for Congress,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Epur Inc,5000,0,5000,2022-04-18 00:00:00 +0000,20, , ,0,          
C90011693,"",D000026353,Gun Owners of America,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00552851,"",D000068902,House Freedom Fund,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00448373,"",D000026537,Huck PAC,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Martex Energy,5000,0,5000,2022-04-18 00:00:00 +0000,20, , ,0,          
C00762591,"",          ,Save America,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00240093,"",D000029415,Texas Rice Producers Legislative Group,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00109546,"",D000022303,Valero Energy,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000031466,American Bank,4500,0,4500,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Texas A&M-Corpus Christi Foundation,4396,0,4396,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Urban Engineering,4396,0,4396,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Braselton Homes,4000,0,4000,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Teal Construction,4000,0,4000,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Durrill Properties,3900,0,3900,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Turner Ramirez Architects,3900,0,3900,2022-04-18 00:00:00 +0000,35, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,3500,3500,0,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Buckeye Partners,3000,0,3000,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000048661,Christus Health,3000,0,3000,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000035038,Keller Williams Realty,3000,0,3000,2022-04-18 00:00:00 +0000,38, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,3000,3000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,Radiology & Imaging of South Tx,3000,0,3000,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000067466,Tenaris SA,3000,0,3000,2022-04-18 00:00:00 +0000,38, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,2900,2900,0,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Chesnick Furniture Co,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Crosswind Communications,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Robert&Harriet Parker Family Foundatio,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Sendero Power Line Construction,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
C00692087,"",          ,Victory & Nation PAC,2900,2900,0,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Xr LLC,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Corpus Christi Hospitalists Pllc,2500,0,2500,2022-04-18 00:00:00 +0000,51, , ,0,          
C00503680,"",D000049867,Crop Insurance Professionals Assn,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00121368,"",D000000129,Exxon Mobil,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00540146,"",          ,First In Freedom PAC,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Hilliard Martinez Law Firm,2500,0,2500,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000078059,JTM Consulting,2500,0,2500,2022-04-18 00:00:00 +0000,51, , ,0,          
C00384354,"",          ,Michigan Sugar,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00028787,"",D000000252,National Cattlemen's Beef Assn,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00475673,"",D000054252,National Sorghum Producers,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00599084,"",D000043213,Plains Cotton Growers,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00211524,"",          ,Texas & Southwestern Cattle Raisers,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00015552,"",D000020849,Texas Cattle Feeders Assn,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00503847,"",D000074389,Texas Corn Producers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00172833,"",D000023921,American Assn of Crop Insurers,2000,2000,0,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Atzenhoffer Chevrolet-Cadillac,2000,0,2000,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Austin Scott for Congress,2000,2000,0,2022-04-18 00:00:00 +0000,64, , ,0,          
C00672733,"",          ,Bulldog PAC,2000,2000,0,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Butler Consulting,2000,0,2000,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Camacho Demolition,2000,0,2000,2022-04-18 00:00:00 +0000,64, , ,0,          
C00248716,"",D000000461,Comcast Corp,2000,2000,0,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,David Rouzer for Congress,2000,2000,0,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Elect Jim Baird for Congress,2000,2000,0,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Friends of Hagedorn,2000,2000,0,2022-04-18 00:00:00 +0000,64, , ,0,          
C00032698,"",D000000261,Independent Community Bankers of America,2000,2000,0,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Saltwater Assets Llc,2000,0,2000,2022-04-18 00:00:00 +0000,64, , ,0,          
C00166348,"",D000000462,Southern Minn Beet Sugar Co-Op,2000,2000,0,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000030953,Weekley Properties,2000,0,2000,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Wells Fargo Advisors,2000,0,2000,2022-04-18 00:00:00 +0000,64, , ,0,          
C00254847,"",D000022318,Western Peanut Growers Assn,2000,2000,0,2022-04-18 00:00:00 +0000,64, , ,0,          
C00446674,"",D000029828,Western Sugar Cooperative,2000,2000,0,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000060626,Charter Bank,1625,0,1625,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,Fleetpride,1500,0,1500,2022-04-18 00:00:00 +0000,82, , ,0,          
         ,"",          ,Gmi,1500,0,1500,2022-04-18 00:00:00 +0000,82, , ,0,          
         ,"",          ,JOE CRANE FARMS,1500,0,1500,2022-04-18 00:00:00 +0000,82, , ,0,          
         ,"",          ,Raymond James & Assoc,1500,0,1500,2022-04-18 00:00:00 +0000,82, , ,0,          
         ,"",          ,Salo,1500,0,1500,2022-04-18 00:00:00 +0000,82, , ,0,          
C00471565,"",          ,Zachry Holdings,1500,1500,0,2022-04-18 00:00:00 +0000,82, , ,0,          
         ,"",          ,Faith Family Church,1434,0,1434,2022-04-18 00:00:00 +0000,88, , ,0,          
         ,"",          ,Gc Optimization,1374,0,1374,2022-04-18 00:00:00 +0000,89, , ,0,          
         ,"",          ,Coastline Properties,1250,0,1250,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,Dunran Corp,1111,0,1111,2022-04-18 00:00:00 +0000,91, , ,0,          
         ,"",          ,Allegro Investment,1000,0,1000,2022-04-18 00:00:00 +0000,92, , ,0,          
C00089136,"",D000000067,Altria Group,1000,1000,0,2022-04-18 00:00:00 +0000,92, , ,0,          
C00326868,"",          ,Amalgamated Sugar,1000,1000,0,2022-04-18 00:00:00 +0000,92, , ,0,          
C00014019,"",D000023945,American Cotton Shippers Assn,1000,1000,0,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",          ,American Pawn & Jewelry Inc,1000,0,1000,2022-04-18 00:00:00 +0000,92, , ,0,          
C00409102,"",D000023997,American Quarter Horse Assn,1000,1000,0,2022-04-18 00:00:00 +0000,92, , ,0,          
C00081414,"",D000000366,American Sugar Cane League,1000,1000,0,2022-04-18 00:00:00 +0000,92, , ,0,          
C00167684,"",D000000338,American Sugarbeet Growers Assn,1000,1000,0,2022-04-18 00:00:00 +0000,92, , ,0,          
C00525691,"",          ,Arkansas Rice Producers Group,1000,1000,0,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",          ,Belaire Env,1000,0,1000,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",          ,Camacho Recycling,1000,0,1000,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",          ,Century 21 Real Estate,1000,0,1000,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",D000084375,Conestoga Energy Partners,1000,0,1000,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",          ,Crossroads Bank,1000,0,1000,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",          ,Cullen Carsner Seerden Cullen Llp,1000,0,1000,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",          ,"Davis, Hutchinson & Wilkerson",1000,0,1000,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",          ,Dodson Family Farm D/B/A 3D Farms,1000,0,1000,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",          ,Duffley,1000,0,1000,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",          ,Duffley Development,1000,0,1000,2022-04-18 00:00:00 +0000,92, , ,0,          
C00146605,"",D000025765,Farmers' Rice Cooperative,1000,1000,0,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",          ,First State Bank of Yoakum,1000,0,1000,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",D000074918,Formosa Plastics,1000,0,1000,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",          ,"Formosa Plastics Corp, Texas",1000,0,1000,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",          ,Gary Palmer for Congress,1000,1000,0,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",          ,Gvec,1000,0,1000,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",          ,Kleberg Bank,1000,0,1000,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",          ,Liaho,1000,0,1000,2022-04-18 00:00:00 +0000,92, , ,0,          
C00389916,"",D000027286,Louisiana Rice PAC,1000,1000,0,2022-04-18 00:00:00 +0000,92, , ,0,          
C00164939,"",D000022118,Minn-Dak Farmers Co-Op,1000,1000,0,2022-04-18 00:00:00 +0000,92, , ,0,          
C90016437,"",D000000086,National Assn of Home Builders,1000,1000,0,2022-04-18 00:00:00 +0000,92, , ,0,          
C00413567,"",D000027906,National Assn/Farm Service Agency County Employees,1000,1000,0,2022-04-18 00:00:00 +0000,92, , ,0,          
C00682617,"",D000074352,National Pecan Federation,1000,1000,0,2022-04-18 00:00:00 +0000,92, , ,0,          
C00053553,"",D000000082,National Rifle Assn,1000,1000,0,2022-04-18 00:00:00 +0000,92, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,1000,1000,0,2022-04-18 00:00:00 +0000,92, , ,0,          
C00480863,"",D000054336,National Shooting Sports Foundation,1000,1000,0,2022-04-18 00:00:00 +0000,92, , ,0,          
C00385039,"",          ,Nutrien Ag Solutions,1000,0,1000,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",D000082121,Off Hill Strategies,1000,0,1000,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",          ,Physicians Premier Ers,1000,0,1000,2022-04-18 00:00:00 +0000,92, , ,0,          
