pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C70003124,"",D000000077,Service Employees International Union,15000,5000,10000,2022-04-18 00:00:00 +0000,1, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",15000,15000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Flh Co,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
C00068692,"",D000000089,FedEx Corp,10000,10000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,8000,8000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,7500,7500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C70001979,"",D000000066,Teamsters Union                         ,6000,6000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000051349,Global Crop Diversity Trust,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000065090,Sol Goldman Investments,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00002089,"",D000000075,Communications Workers of America,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00002840,"",D000000070,United Auto Workers,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00002766,"",D000000072,United Food & Commercial Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00024521,"",D000000065,American Assn for Justice,3500,3500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000060107,Anesthesia Medical Group,3500,0,3500,2022-04-18 00:00:00 +0000,16, , ,0,          
C00764357,"",          ,American Horse PAC,3000,3000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00109017,"",D000000076,AT&T Inc,3000,3000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00076810,"",D000000155,General Motors,3000,3000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,3000,3000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00379628,"",D000028057,Nucor Corp,3000,3000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00215012,"",D000023609,Tennessee Road Builders Assn,3000,3000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000090523,Intero Real Estate,2800,0,2800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000087230,"Lewis, Thomason et al",2800,0,2800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Ram Hauling,2800,0,2800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000071065,Kite Pharma,2600,0,2600,2022-04-18 00:00:00 +0000,27, , ,0,          
C00636753,"",D000046316,Academy of Rail Labor Attorneys,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C90021163,"",D000000203,Amalgamated Transit Union,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00360354,"",D000023883,Amazon.com,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00612010,"",D000071052,American Car Rental Assn,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00250753,"",D000024207,Auto Care Assn,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00233056,"",D000024208,AutoZone Inc,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00235739,"",          ,BNSF Railway,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00040949,"",          ,Boilermakers Union Local 169,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00346353,"",          ,CRH Americas,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00163832,"",D000000148,CSX Corp,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00219642,"",          ,Enterprise Holdings,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00096156,"",D000000334,Honeywell International,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00487181,"",          ,National Coalition of Turkish American Women,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00567388,"",D000068622,Nexstar Media Group,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00142786,"",D000027998,Nike Inc,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00286807,"",          ,Professional Aviation Safety Specialists,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00663609,"",          ,Progressive Majority PAC                          ,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00131185,"",D000000233,Aircraft Owners & Pilots Assn,2000,2000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C90018227,"",D000071234,Animal Wellness Action,2000,2000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00248716,"",D000000461,Comcast Corp,2000,2000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00384818,"",D000025214,CVS Health,2000,0,2000,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Data Management,2000,0,2000,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Human Rights & Democracy International,2000,0,2000,2022-04-18 00:00:00 +0000,47, , ,0,          
C00466813,"",          ,Humane Society Legislative Fund,2000,2000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00441949,"",          ,JStreetPAC,2000,2000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00039552,"",D000026978,Kellogg Co,2000,2000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,2000,2000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C70000492,"",D000000064,National Education Assn,2000,2000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00010082,"",D000022131,NCTA The Internet & Television Assn,2000,2000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00278895,"",D000022145,"Nelson, Mullins et al",2000,2000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00009282,"",D000019639,Norfolk Southern,2000,2000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Sprint,2000,0,2000,2022-04-18 00:00:00 +0000,47, , ,0,          
C00008268,"",D000000178,Transport Workers Union,2000,2000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00010470,"",D000000118,Union Pacific Corp,2000,2000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00186288,"",D000000079,Verizon Communications,2000,2000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Belz Investco Gp,1800,0,1800,2022-04-18 00:00:00 +0000,65, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,1500,1500,0,2022-04-18 00:00:00 +0000,66, , ,0,          
