pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,10000,10000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00155440,"",          ,Plumbers/Pipefitters Union Local 9,10000,10000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,10000,10000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000068680,Rwjbarnabas Health,9950,0,9950,2022-04-18 00:00:00 +0000,5, , ,0,          
C00536573,"",D000066804,AbbVie Inc,7575,7500,75,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000022266,State of New Jersey,7515,0,7515,2022-04-18 00:00:00 +0000,7, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",7500,7500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,7000,7000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00441949,"",          ,JStreetPAC,6250,3500,2750,2022-04-18 00:00:00 +0000,11, , ,0,          
C00368993,"",D000022323,Winning Strategies Washington,5900,1000,4900,2022-04-18 00:00:00 +0000,12, , ,0,          
C00164509,"",D000026663,Intl Fedn of Prof & Technical Engineers,5800,5800,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000052426,Ischemix,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000035882,Milbank LLP,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000088582,Scudiery Enterprises,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Tris Pharma,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
C00035675,"",D000000149,Bristol-Myers Squibb,5450,5000,450,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000036829,Princeton University,5360,0,5360,2022-04-18 00:00:00 +0000,19, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00211318,"",D000000131,Deloitte LLP,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00215285,"",D000000317,General Atomics,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00010983,"",D000000386,Johnson & Johnson,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C70000492,"",D000000064,National Education Assn,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00553834,"",          ,Otsuka America,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C70003124,"",D000000077,Service Employees International Union,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00009936,"",D000000304,American Federation of Government Employees,4500,4500,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00373696,"",D000021837,American Psychiatric Assn,4500,4500,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Township of Ewing,4160,0,4160,2022-04-18 00:00:00 +0000,31, , ,0,          
C00574970,"",          ,Fair Shot PAC,4000,4000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,CBS Corp,3900,0,3900,2022-04-18 00:00:00 +0000,33, , ,0,          
C90021163,"",D000000203,Amalgamated Transit Union,3500,3500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,3500,3500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,3500,3500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Terhune Orchards,3500,0,3500,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000049821,Covenant House,3400,0,3400,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000027342,Maher Terminals,3150,0,3150,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,NOT EMPLOYED,3020,0,3020,2022-04-18 00:00:00 +0000,40, , ,0,          
C00364133,"",D000021963,Duane Morris LLP,3000,0,3000,2022-04-18 00:00:00 +0000,41, , ,0,          
C00027359,"",D000000140,Ironworkers Union,3000,3000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,3000,3000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",          ,University of Nevada/Las Vegas,3000,0,3000,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",          ,America Needs You,2900,0,2900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,EMET Realty,2900,0,2900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Engineered Design Group,2900,0,2900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Gts,2900,0,2900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000027171,LeClairRyan PC,2900,0,2900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000089163,Nessel Development,2900,0,2900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000030465,Tonio Burgos & Assoc,2900,0,2900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000033573,Fairview Insurance Agency,2700,0,2700,2022-04-18 00:00:00 +0000,52, , ,0,          
C00097485,"",D000000275,Merck & Co,2650,2500,150,2022-04-18 00:00:00 +0000,53, , ,0,          
