pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00484535,"",D000065181,Votesane PAC,117575,0,117575,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,100971,58500,42471,2022-04-18 00:00:00 +0000,2,x, ,2,D000000109
         ,"",D000021873,Blackstone Group                        ,92696,0,92696,2022-04-18 00:00:00 +0000,3, , ,0,          
C00009985,"",D000000202,National Assn of Broadcasters,63400,21500,41900,2022-04-18 00:00:00 +0000,4,x, ,3,D000000202
C00078451,"",D000000165,General Dynamics,62678,26500,36178,2022-04-18 00:00:00 +0000,5,x, ,3,D000000165
C90012063,"",D000028612,Republican Jewish Coalition,62067,5000,57067,2022-04-18 00:00:00 +0000,6, , ,0,          
C00068692,"",D000000089,FedEx Corp,59885,34000,25885,2022-04-18 00:00:00 +0000,7,x, ,0,D000000089
C00350744,"",D000000085,Goldman Sachs,52175,5000,47175,2022-04-18 00:00:00 +0000,8, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,50054,34000,16054,2022-04-18 00:00:00 +0000,9,x, ,2,D000072615
C00027466,"",D000036122,National Republican Senatorial Cmte,44649,44600,49,2022-04-18 00:00:00 +0000,10, , ,0,          
C00303024,"",D000000104,Lockheed Martin,42920,34000,8920,2022-04-18 00:00:00 +0000,11,x, ,0,D000000104
C00426775,"",D000000672,Charter Communications,42550,30000,12550,2022-04-18 00:00:00 +0000,12,x, ,0,D000000672
         ,"",D000000464,Sullivan & Cromwell,39848,0,39848,2022-04-18 00:00:00 +0000,13, , ,0,          
C00088591,"",D000000170,Northrop Grumman,39755,30000,9755,2022-04-18 00:00:00 +0000,14,x, ,1,D000000170
         ,"",D000061745,Hunt Companies,38700,0,38700,2022-04-18 00:00:00 +0000,15,x, ,0,D000061745
         ,"",D000000358,KKR & Co,37310,5000,32310,2022-04-18 00:00:00 +0000,16, , ,0,          
C00096156,"",D000000334,Honeywell International,37260,35000,2260,2022-04-18 00:00:00 +0000,17,x, ,0,D000000334
C00211318,"",D000000131,Deloitte LLP,36333,35000,1333,2022-04-18 00:00:00 +0000,18,x,x,0,D000000131
C00400705,"",D000028488,Publix Super Markets,36304,10000,26304,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000000402,"Welsh, Carson et al                     ",36200,0,36200,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000035750,McNa Dental Plans,35600,0,35600,2022-04-18 00:00:00 +0000,21, , ,0,          
C00010470,"",D000000118,Union Pacific Corp,35333,32500,2833,2022-04-18 00:00:00 +0000,22,x, ,0,D000000118
C00004812,"",D000000309,Mortgage Bankers Assn,35000,35000,0,2022-04-18 00:00:00 +0000,23,x, ,1,D000000309
C00130773,"",D000000755,National Multifamily Housing Council,35000,35000,0,2022-04-18 00:00:00 +0000,23,x, ,0,D000000755
         ,"",D000021972,Elliott Management,34000,0,34000,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000021757,Berkshire Hathaway,33358,31000,2358,2022-04-18 00:00:00 +0000,26, , ,0,          
C00034405,"",D000000171,International Paper,32845,30000,2845,2022-04-18 00:00:00 +0000,27,x, ,0,D000000171
C90016437,"",D000000086,National Assn of Home Builders,32500,32500,0,2022-04-18 00:00:00 +0000,28,x, ,0,D000000086
C00344754,"",D000000686,"Gibson, Dunn & Crutcher",32381,4000,28381,2022-04-18 00:00:00 +0000,29, , ,0,          
C00248716,"",D000000461,Comcast Corp,31366,25000,6366,2022-04-18 00:00:00 +0000,30,x, ,4,D000000461
C00177436,"",D000029594,Unum Group,31365,20000,11365,2022-04-18 00:00:00 +0000,31,x, ,0,D000029594
         ,"",D000068060,ClearPath Foundation,31200,0,31200,2022-04-18 00:00:00 +0000,32,x, ,0,D000068060
C00325332,"",D000024003,American Seniors Housing Assn,30000,30000,0,2022-04-18 00:00:00 +0000,33,x, ,0,D000024003
C00250399,"",D000021853,Automotive Free International Trade PAC           ,30000,30000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000070476,Senior Star,29900,0,29900,2022-04-18 00:00:00 +0000,35, , ,0,          
C00284885,"",D000000419,Home Depot,29869,25000,4869,2022-04-18 00:00:00 +0000,36,x, ,0,D000000419
         ,"",D000000811,Kirkland & Ellis,29200,0,29200,2022-04-18 00:00:00 +0000,37, , ,0,          
C00040279,"",D000000383,Abbott Laboratories,28986,28000,986,2022-04-18 00:00:00 +0000,38,x, ,2,D000000383
C00166553,"",D000000370,Stephens Inc,28700,5000,23700,2022-04-18 00:00:00 +0000,39, , ,0,          
C00247403,"",D000022158,NorPAC,27850,0,27850,2022-04-18 00:00:00 +0000,40, , ,0,          
C00106146,"",D000000116,American Hospital Assn,27750,23500,4250,2022-04-18 00:00:00 +0000,41,x, ,0,D000000116
C00325092,"",D000064813,Huntington Ingalls Industries,27541,24500,3041,2022-04-18 00:00:00 +0000,42,x, ,0,D000064813
         ,"",D000061881,Jane Street Capital,25600,0,25600,2022-04-18 00:00:00 +0000,43, , ,0,          
