pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00546234,"",D000000369,Leidos Inc,45061,7500,37561,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000092531,Wize Solutions,27200,0,27200,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000034155,Granite Telecommunications,26600,0,26600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000031574,Apex Covantage,23200,0,23200,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Gba Assoc,21200,0,21200,2022-04-18 00:00:00 +0000,5, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,17750,17500,250,2022-04-18 00:00:00 +0000,6, , ,0,          
C00211318,"",D000000131,Deloitte LLP,16150,15000,1150,2022-04-18 00:00:00 +0000,7, , ,0,          
C00091561,"",D000021771,National Active & Retired Federal Employees Assn,15000,15000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Alex Technologies,11400,0,11400,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000078890,Rappaport Companies,11139,0,11139,2022-04-18 00:00:00 +0000,10, , ,0,          
C00072025,"",D000000221,National Rural Letter Carriers Assn,11000,11000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00421487,"",D000028428,Pragmatics Inc,10800,10800,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00360354,"",D000023883,Amazon.com,10750,7500,3250,2022-04-18 00:00:00 +0000,13, , ,0,          
C00103697,"",D000000237,Bechtel Group,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00108209,"",D000000335,Dominion Energy,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00007922,"",D000000074,Laborers Union,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00402669,"",          ,Serco Inc,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00002766,"",D000000072,United Food & Commercial Workers Union,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00109017,"",D000000076,AT&T Inc,9500,9500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,NOT EMPLOYED,8773,0,8773,2022-04-18 00:00:00 +0000,24, , ,0,          
C00096156,"",D000000334,Honeywell International,8500,8500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00100404,"",D000070010,United Postmasters & Managers of America,8500,8500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00326595,"",D000021891,Capital One Financial,8025,8000,25,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000085741,Mahmood Investment,7800,0,7800,2022-04-18 00:00:00 +0000,28, , ,0,          
C00088591,"",D000000170,Northrop Grumman,7582,7500,82,2022-04-18 00:00:00 +0000,29, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00010322,"",D000000143,American Postal Workers Union,7500,7500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00408260,"",D000026283,Grant Thornton LLP,7500,7500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00343590,"",D000027523,Mechanical Contractors Assn of America,7500,7500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union,7500,7500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00013961,"",D000000636,Sheet Metal & Air Conditioning Contractors Assn,7500,7500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00012245,"",          ,UBS Americas,7500,7500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00300418,"",D000067120,SAIC,7200,6500,700,2022-04-18 00:00:00 +0000,37, , ,0,          
C00092957,"",D000027803,National Assn of Postal Supervisors,7000,7000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000033567,"Fairfax County, VA",6930,0,6930,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Carnival Cruise Lines,6800,0,6800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000092745,Telecommunications Law Professionals,6800,0,6800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,300brand,6533,0,6533,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000086991,Punaro Group,6300,0,6300,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000034617,ICF International,6200,0,6200,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Fairfax County,6180,0,6180,2022-04-18 00:00:00 +0000,45, , ,0,          
C00366070,"",D000025772,Federal Aviation Admin Managers Assn,6000,6000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00337626,"",D000000106,Morgan Stanley,6000,6000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,6000,6000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000067199,Advocom Group,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000021810,Aj Dwoskin & Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000090109,Fore Property,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000090653,Hausfeld LLP,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000035345,Lerner Enterprises,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Upson Technology Group,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000064103,Xavient Information Systems,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000031333,Advanced Technology Systems,5700,0,5700,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",D000031706,Aurora Flight Sciences,5700,0,5700,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",D000022035,Hunton Andrews Kurth Llp,5700,0,5700,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",          ,MRP Realty,5700,0,5700,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",          ,Nvcommercial Inc,5700,0,5700,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",D000042751,Precision Auto Care,5700,0,5700,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",D000064580,Carahsoft Technology,5600,0,5600,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",          ,Casepoint,5600,0,5600,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",          ,Insight Property,5600,0,5600,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",          ,Sos International LLC,5600,0,5600,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000022120,Morgan Lewis LLP,5500,0,5500,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",          ,11th Congressional District Democratic Cmte of VA,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00009936,"",D000000304,American Federation of Government Employees,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
         ,"",          ,Apptium,5000,0,5000,2022-04-18 00:00:00 +0000,67, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00412791,"",D000021990,Forward Together PAC,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
