pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000031196,"Young, Conaway et al                    ",102900,0,102900,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000021845,Apollo Global Management,79118,0,79118,2022-04-18 00:00:00 +0000,2, , ,0,          
C00251876,"",D000000391,Amgen Inc,66000,32500,33500,2022-04-18 00:00:00 +0000,3,x, ,0,D000000391
C00400333,"",D000026638,InterDigital Inc,57062,35000,22062,2022-04-18 00:00:00 +0000,4,x, ,1,D000026638
         ,"",D000061881,Jane Street Capital,54100,0,54100,2022-04-18 00:00:00 +0000,5, , ,0,          
C00227546,"",D000000115,Microsoft Corp,50028,35000,15028,2022-04-18 00:00:00 +0000,6,x, ,1,D000000115
C00248716,"",D000000461,Comcast Corp,49414,35000,14414,2022-04-18 00:00:00 +0000,7,x, ,2,D000000461
C00097485,"",D000000275,Merck & Co                              ,43625,37500,6125,2022-04-18 00:00:00 +0000,8,x, ,0,D000000275
C00350744,"",D000000085,Goldman Sachs,42600,27500,15100,2022-04-18 00:00:00 +0000,9,x, ,0,D000000085
C00428623,"",          ,Google Inc,41521,29500,12021,2022-04-18 00:00:00 +0000,10, , ,0,          
C00064766,"",D000000081,United Parcel Service                   ,40458,40000,458,2022-04-18 00:00:00 +0000,11,x, ,1,D000000081
C00009985,"",D000000202,National Assn of Broadcasters,40250,35000,5250,2022-04-18 00:00:00 +0000,12,x, ,0,D000000202
         ,"",D000058679,WL Gore & Assoc,39108,0,39108,2022-04-18 00:00:00 +0000,13,x, ,0,D000058679
         ,"",D000000769,"Paul, Weiss et al                       ",36600,0,36600,2022-04-18 00:00:00 +0000,14, ,x,0,D000000769
C00016683,"",D000000138,Pfizer Inc,36555,31500,5055,2022-04-18 00:00:00 +0000,15,x, ,1,D000000138
C00171926,"",D000069022,DuPont Co,36535,6000,30535,2022-04-18 00:00:00 +0000,16, , ,0,          
C00536573,"",D000066804,AbbVie Inc,35005,35000,5,2022-04-18 00:00:00 +0000,17,x, ,0,D000066804
C00001198,"",D000023971,American Hotel & Lodging Assn,35000,35000,0,2022-04-18 00:00:00 +0000,18,x, ,0,D000023971
C00009282,"",D000019639,Norfolk Southern,35000,35000,0,2022-04-18 00:00:00 +0000,18,x, ,1,D000019639
C00426775,"",D000000672,Charter Communications,34000,34000,0,2022-04-18 00:00:00 +0000,20,x, ,0,D000000672
C00580076,"",          ,Sallie Mae,34000,34000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
