pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00714329,"",D000070563,Transdigm Group,19700,10000,9700,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000030786,Vanderbilt University,19496,0,19496,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000022300,US Government,17472,0,17472,2022-04-18 00:00:00 +0000,3, , ,0,          
C00067231,"",D000000445,HCA Inc,17150,5500,11650,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000030787,Vanderbilt University Medical Center,16327,0,16327,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Olan Mills Inc,14100,0,14100,2022-04-18 00:00:00 +0000,6, , ,0,          
C00226472,"",D000023754,Adams & Reese,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000089130,C-Iii Capital Partners,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Coldwell Banker Segroves-Neese Real Es,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000032997,Curb Records,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Lifepoint,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000070577,Tvv Capital,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Z-Integrated Capital & Management LLC,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,10100,10000,100,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000077362,Neal & Harwell                                    ,10100,0,10100,2022-04-18 00:00:00 +0000,14, , ,0,          
C00015933,"",D000000658,Pinnacle West Capital,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00372979,"",D000028509,Radiance Technologies,10000,5000,5000,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Southern Energy Co,10000,0,10000,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Tari,9220,0,9220,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000062588,Nashville Predators,8700,0,8700,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000092913,Silicon Ranch Corp,8700,0,8700,2022-04-18 00:00:00 +0000,20, , ,0,          
C00281212,"",D000000583,BAE Systems,8500,8500,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000035621,Marjorie Roberts PC,7700,0,7700,2022-04-18 00:00:00 +0000,23, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00088591,"",D000000170,Northrop Grumman,7500,7500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00305318,"",D000000675,Blue Dog PAC,7000,7000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Diversified Trust Co,7000,0,7000,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000022043,Ingram Industries,6850,500,6350,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000030890,"Waller, Lansden et al                   ",6300,0,6300,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Director Corps,6000,0,6000,2022-04-18 00:00:00 +0000,30, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,6000,6000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000037611,Sirote & Permutt,6000,0,6000,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Bell & Assoc Construction               ,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000092686,Central Distributors (Tennessee),5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Marketstreet Management Co,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,McKenzie Laird Ottinger Leach,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Nhc,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000000412,US House of Representatives,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Vendengine,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
C00300178,"",D000019743,Wells Fargo,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Wellspire,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000031840,"Bass, Berry & Sims",5770,0,5770,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Waller,5750,0,5750,2022-04-18 00:00:00 +0000,43, , ,0,          
C00359539,"",D000021821,American Academy of Dermatology Assn,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00004275,"",D000000087,American Bankers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00027532,"",          ,American Maritime Officers,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00039461,"",D000024239,Ball Corp,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00103697,"",D000000237,Bechtel Group,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00430579,"",D000024452,Brave PAC,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00399196,"",D000021881,BRIDGE PAC,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00099234,"",          ,Brotherhood of Locomotive Engineers & Trainmen,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00148031,"",D000000352,Caterpillar Inc,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00035006,"",D000000015,Chevron Corp,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00204099,"",D000000408,Deere & Co,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00211318,"",D000000131,Deloitte LLP,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00412791,"",D000021990,Forward Together PAC,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00422774,"",          ,Frontline USA,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00202184,"",D000027883,National Rural Water Assn,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00150367,"",D000000283,National Venture Capital Assn,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00409730,"",D000022150,New Democrat Coalition,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00344234,"",D000000520,PAC to the Future,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00432252,"",D000022216,Regions Financial,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00411116,"",D000029147,SpaceX,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
