pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000021845,Apollo Global Management,238010,25000,213010,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000000358,KKR & Co,125215,8500,116715,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000061745,Hunt Companies,101312,0,101312,2022-04-18 00:00:00 +0000,3,x, ,0,D000061745
         ,"",D000021757,Berkshire Hathaway,99916,40000,59916,2022-04-18 00:00:00 +0000,4,x, ,3,D000021757
C00369751,"",D000000585,Dell Technologies,87411,29000,58411,2022-04-18 00:00:00 +0000,5,x, ,3,D000000585
         ,"",D000000769,"Paul, Weiss et al",84200,0,84200,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,81975,63000,18975,2022-04-18 00:00:00 +0000,7,x, ,4,D000000109
         ,"",D000021873,Blackstone Group                        ,80505,0,80505,2022-04-18 00:00:00 +0000,8,x, ,0,D000021873
C00215046,"",D000000328,Fidelity Investments                    ,78375,40000,38375,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000025688,Energy Transfer LP,72789,11500,61289,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000000402,"Welsh, Carson et al",72200,0,72200,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000025929,Fresenius Medical Care,66629,26000,40629,2022-04-18 00:00:00 +0000,12, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",64949,19937,45012,2022-04-18 00:00:00 +0000,13, ,x,6,D000000162
         ,"",D000032027,Bobby Cox Companies,63015,0,63015,2022-04-18 00:00:00 +0000,14, , ,0,          
C00035006,"",D000000015,Chevron Corp,61316,12500,48816,2022-04-18 00:00:00 +0000,15, , ,0,          
C00215285,"",D000000317,General Atomics                         ,58550,30000,28550,2022-04-18 00:00:00 +0000,16,x, ,0,D000000317
         ,"",D000020995,UBS AG,58350,35000,23350,2022-04-18 00:00:00 +0000,17, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,57918,54000,3918,2022-04-18 00:00:00 +0000,18,x, ,2,D000072615
C00496307,"",D000023121,Marathon Petroleum,56913,37500,19413,2022-04-18 00:00:00 +0000,19,x, ,2,D000023121
         ,"",D000021464,United Airlines Holdings,55281,10000,45281,2022-04-18 00:00:00 +0000,20, , ,0,          
C00128512,"",D000000103,JPMorgan Chase & Co,54435,19500,34935,2022-04-18 00:00:00 +0000,21,x, ,0,D000000103
C00540518,"",D000021890,Capital Group Companies,54273,35000,19273,2022-04-18 00:00:00 +0000,22,x, ,0,D000021890
C00303024,"",D000000104,Lockheed Martin,53873,34000,19873,2022-04-18 00:00:00 +0000,23,x, ,3,D000000104
         ,"",D000035251,Lanier Law Firm,53606,0,53606,2022-04-18 00:00:00 +0000,24, , ,0,          
C00382150,"",D000022003,GEO Group,53600,15000,38600,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000037487,Sewell Automotive,51312,0,51312,2022-04-18 00:00:00 +0000,26, , ,0,          
C00279216,"",D000059056,iHeartMedia Inc,50425,22500,27925,2022-04-18 00:00:00 +0000,27,x, ,0,D000059056
         ,"",D000022250,Silver Eagle Distributors,49900,0,49900,2022-04-18 00:00:00 +0000,28, , ,0,          
