pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00350744,"",D000000085,Goldman Sachs,142220,23500,118720,2022-04-18 00:00:00 +0000,1,x, ,0,D000000085
C00166553,"",D000000370,Stephens Inc,81545,5000,76545,2022-04-18 00:00:00 +0000,2,x, ,0,D000000370
         ,"",D000035750,McNa Dental Plans,69400,0,69400,2022-04-18 00:00:00 +0000,3, , ,0,          
C00303024,"",D000000104,Lockheed Martin,68094,24500,43594,2022-04-18 00:00:00 +0000,4,x, ,0,D000000104
         ,"",D000032055,Boston Consulting Group,52850,0,52850,2022-04-18 00:00:00 +0000,5,x, ,0,D000032055
         ,"",D000083799,Dobbs Brothers Management,52800,0,52800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000021845,Apollo Global Management,52168,0,52168,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000034737,Invemed Assoc,42000,0,42000,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000032183,Buckley Muething Capital Management,41800,0,41800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000071830,Standard Industries,41700,0,41700,2022-04-18 00:00:00 +0000,10,x, ,0,D000071830
C00370114,"",D000000414,Charles Schwab Corp,41325,3500,37825,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000000342,JW Childs Assoc,36200,0,36200,2022-04-18 00:00:00 +0000,12, , ,0,          
C00093054,"",D000000367,Walmart Inc,36061,18500,17561,2022-04-18 00:00:00 +0000,13,x, ,1,D000000367
C00274431,"",D000000348,UnitedHealth Group,35868,30000,5868,2022-04-18 00:00:00 +0000,14,x, ,1,D000000348
C00540518,"",D000021890,Capital Group Companies                 ,35800,5000,30800,2022-04-18 00:00:00 +0000,15,x, ,0,D000021890
         ,"",D000020995,UBS AG,35075,30000,5075,2022-04-18 00:00:00 +0000,16, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,35000,35000,0,2022-04-18 00:00:00 +0000,17,x, ,0,D000000309
         ,"",D000090408,Teamworthy Ventures,34400,0,34400,2022-04-18 00:00:00 +0000,18, , ,0,          
C00699470,"",D000073971,Pro-israel America PAC,33550,0,33550,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000021873,Blackstone Group                        ,33513,0,33513,2022-04-18 00:00:00 +0000,20, , ,0,          
C00379768,"",D000033552,Experian,32525,30000,2525,2022-04-18 00:00:00 +0000,21,x, ,0,D000033552
         ,"",D000068867,Arbiter Partners,32000,0,32000,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000070472,Cooper & Kirk                           ,31900,0,31900,2022-04-18 00:00:00 +0000,23, ,x,1,D000070472
         ,"",D000087417,Crescent Capital Group,31800,0,31800,2022-04-18 00:00:00 +0000,24, , ,0,          
