pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00078451,"",D000000165,General Dynamics,39150,13000,26150,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000049873,Cross Sound Ferry,17400,0,17400,2022-04-18 00:00:00 +0000,2, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,13500,13500,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00286401,"",D000000145,Seafarers International Union           ,12500,12500,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000031469,American Capital,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00103697,"",D000000237,Bechtel Group,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00005157,"",D000000218,Boilermakers Union,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00344234,"",D000000520,PAC to the Future,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00004861,"",D000022292,UNITE HERE,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00142711,"",D000000100,Boeing Co,9500,9500,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00303024,"",D000000104,Lockheed Martin,8000,8000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,7500,7500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00275123,"",          ,Leonardo DRS,7500,7500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C70003124,"",D000000077,Service Employees International Union,7500,5000,2500,2022-04-18 00:00:00 +0000,15, , ,0,          
C00126847,"",D000026937,Kaman Corp,7000,7000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00441949,"",          ,JStreetPAC,6700,3500,3200,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Babson Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
