pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,102500,0,102500,2022-04-18 00:00:00 +0000,1, , ,0,          
C00193433,"",D000000113,EMILY's List,29205,5000,24205,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000034393,Heartland Realty Investors,29000,0,29000,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000022294,University of Minnesota,24851,0,24851,2022-04-18 00:00:00 +0000,4, , ,0,          
C00422774,"",          ,Frontline USA,23985,5000,18985,2022-04-18 00:00:00 +0000,5, , ,0,          
C00540518,"",D000021890,Capital Group Companies                 ,23200,0,23200,2022-04-18 00:00:00 +0000,6, , ,0,          
C00550970,"",D000070371,Equality PAC,21500,20000,1500,2022-04-18 00:00:00 +0000,7, , ,0,          
C00040279,"",D000000383,Abbott Laboratories,16000,15000,1000,2022-04-18 00:00:00 +0000,8, , ,0,          
C00360354,"",D000023883,Amazon.com,15820,10000,5820,2022-04-18 00:00:00 +0000,9, , ,0,          
C00121319,"",D000029442,Thrivent Financial,15790,4000,11790,2022-04-18 00:00:00 +0000,10, , ,0,          
C00300707,"",D000000786,Accenture,15600,0,15600,2022-04-18 00:00:00 +0000,11, , ,0,          
C00676544,"",D000037784,Starkey Hearing Technologies,15600,0,15600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000065774,Richmond Global,14500,0,14500,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,NOT EMPLOYED,14210,0,14210,2022-04-18 00:00:00 +0000,14, , ,0,          
C00167916,"",D000027256,Lockridge Grindal Nauen PLLP,14200,2000,12200,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000046755,Alumiplate Inc,11600,0,11600,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Celadon Systems,11600,0,11600,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000068512,Emerson Collective,11600,0,11600,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,16, , ,0,          
