pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000025688,Energy Transfer LP,78560,0,78560,2022-04-18 00:00:00 +0000,1, , ,0,          
C00340943,"",D000021951,DaVita Inc,66600,29000,37600,2022-04-18 00:00:00 +0000,2,x, ,0,D000021951
C00027466,"",D000036122,National Republican Senatorial Cmte,47400,47400,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Ellingson Companies,44850,0,44850,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000031179,Yancey Brothers,32400,0,32400,2022-04-18 00:00:00 +0000,5, , ,0,          
C00330233,"",          ,Alliance Coal,32166,10000,22166,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000057166,State of North Dakota,28160,0,28160,2022-04-18 00:00:00 +0000,7, , ,0,          
C00496307,"",D000023121,Marathon Petroleum,27500,27500,0,2022-04-18 00:00:00 +0000,8,x, ,0,D000023121
         ,"",D000021873,Blackstone Group,27000,0,27000,2022-04-18 00:00:00 +0000,9, , ,0,          
C00040568,"",D000000244,Marathon Oil,26500,7500,19000,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000072425,Select Energy Services,25550,0,25550,2022-04-18 00:00:00 +0000,11, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,24000,24000,0,2022-04-18 00:00:00 +0000,12,x, ,0,D000000433
         ,"",D000034833,Jennmar Corp                            ,23500,0,23500,2022-04-18 00:00:00 +0000,13, , ,0,          
C00215285,"",D000000317,General Atomics,23400,18000,5400,2022-04-18 00:00:00 +0000,14,x, ,0,D000000317
         ,"",D000071803,Oasis Petroleum,23100,0,23100,2022-04-18 00:00:00 +0000,15, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,22500,22500,0,2022-04-18 00:00:00 +0000,16,x, ,0,D000000411
         ,"",D000025929,Fresenius Medical Care,22000,21000,1000,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Alticor Inc,21600,0,21600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,MBI Energy Services,19900,0,19900,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Kerian Machines,19600,0,19600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000021757,Berkshire Hathaway,19050,15000,4050,2022-04-18 00:00:00 +0000,21, , ,0,          
C00109017,"",D000000076,AT&T Inc,19030,19000,30,2022-04-18 00:00:00 +0000,22,x, ,0,D000000076
         ,"",          ,Tharaldson Hospitality Management,19000,0,19000,2022-04-18 00:00:00 +0000,23, , ,0,          
C00003418,"",D000037044,Republican National Cmte,18900,18900,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00035535,"",D000025120,Consumer Bankers Assn,18500,18500,0,2022-04-18 00:00:00 +0000,25,x, ,0,D000025120
         ,"",D000068060,Clearpath Foundation,18100,0,18100,2022-04-18 00:00:00 +0000,26,x, ,0,D000068060
C00354753,"",D000025483,Devon Energy,18100,10000,8100,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000057996,University of North Dakota,17700,0,17700,2022-04-18 00:00:00 +0000,28, , ,0,          
C90012063,"",D000028612,Republican Jewish Coalition,17600,10000,7600,2022-04-18 00:00:00 +0000,29, , ,0,          
C00121319,"",D000029442,Thrivent Financial,17000,14000,3000,2022-04-18 00:00:00 +0000,30,x, ,0,D000029442
C00012245,"",          ,UBS Americas,17000,15000,2000,2022-04-18 00:00:00 +0000,30, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,16250,16000,250,2022-04-18 00:00:00 +0000,32,x, ,0,D000000062
         ,"",D000060151,Armstrong Corp,16200,0,16200,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Cardon Global,16200,0,16200,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000021994,Freeman Spogli & Co,16200,0,16200,2022-04-18 00:00:00 +0000,33, , ,0,          
