pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00274431,"",D000000348,UnitedHealth Group,121300,35000,86300,2022-04-18 00:00:00 +0000,1,x, ,0,D000000348
         ,"",D000021845,Apollo Global Management,79450,15000,64450,2022-04-18 00:00:00 +0000,2, , ,0,          
C00251876,"",D000000391,Amgen Inc,78700,24000,54700,2022-04-18 00:00:00 +0000,3,x, ,0,D000000391
C00699470,"",D000073971,Pro-Israel America Pac,73420,0,73420,2022-04-18 00:00:00 +0000,4, , ,0,          
C00158881,"",D000000249,New York Life Insurance,66958,28000,38958,2022-04-18 00:00:00 +0000,5,x, ,0,D000000249
         ,"",D000000109,Blue Cross/Blue Shield,66002,61000,5002,2022-04-18 00:00:00 +0000,6,x, ,1,D000000109
         ,"",D000021873,Blackstone Group,64100,1000,63100,2022-04-18 00:00:00 +0000,7,x, ,0,D000021873
C00104802,"",D000000350,Delta Air Lines,59900,35000,24900,2022-04-18 00:00:00 +0000,8,x, ,0,D000000350
C00689091,"",D000000810,Carlyle Group,58300,0,58300,2022-04-18 00:00:00 +0000,9,x, ,0,D000000810
C00186064,"",D000028398,PNC Financial Services,56000,56000,0,2022-04-18 00:00:00 +0000,10,x, ,0,D000028398
         ,"",D000021872,BlackRock Inc,54000,10000,44000,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000068060,ClearPath Foundation,51200,0,51200,2022-04-18 00:00:00 +0000,12,x, ,0,D000068060
         ,"",D000030924,Watco Companies,50229,0,50229,2022-04-18 00:00:00 +0000,13,x, ,0,D000030924
C00388827,"",D000066716,Rock Holdings,50100,23500,26600,2022-04-18 00:00:00 +0000,14,x, ,0,D000066716
C00540518,"",D000021890,Capital Group Companies                 ,47500,40000,7500,2022-04-18 00:00:00 +0000,15,x, ,0,D000021890
C00016683,"",D000000138,Pfizer Inc,46000,30000,16000,2022-04-18 00:00:00 +0000,16,x, ,1,D000000138
         ,"",D000032285,Capital Group,45000,0,45000,2022-04-18 00:00:00 +0000,17, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,44500,40000,4500,2022-04-18 00:00:00 +0000,18,x, ,0,D000000136
C00401299,"",          ,Fresenius Medical Care North America,37500,36000,1500,2022-04-18 00:00:00 +0000,19, , ,0,          
C00012245,"",          ,UBS Americas,35700,30000,5700,2022-04-18 00:00:00 +0000,20, , ,0,          
C00196725,"",D000067800,Hewlett Packard Enterprise,35000,35000,0,2022-04-18 00:00:00 +0000,21,x, ,0,D000067800
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,35000,35000,0,2022-04-18 00:00:00 +0000,21,x, ,0,D000000606
C00130773,"",D000000755,National Multifamily Housing Council,35000,35000,0,2022-04-18 00:00:00 +0000,21,x, ,1,D000000755
C00365122,"",D000029689,Visa Inc,35000,35000,0,2022-04-18 00:00:00 +0000,21,x, ,1,D000029689
C00004812,"",D000000309,Mortgage Bankers Assn,34000,33000,1000,2022-04-18 00:00:00 +0000,25,x, ,3,D000000309
C00275230,"",D000029969,Zions Bancorp                           ,33700,0,33700,2022-04-18 00:00:00 +0000,26,x, ,0,D000029969
C00236489,"",D000000186,Koch Industries,32500,32500,0,2022-04-18 00:00:00 +0000,27,x, ,0,D000000186
C00097485,"",D000000275,Merck & Co,32500,27500,5000,2022-04-18 00:00:00 +0000,27,x, ,0,D000000275
C00032698,"",D000000261,Independent Community Bankers of America,32000,32000,0,2022-04-18 00:00:00 +0000,29,x, ,0,D000000261
C00384818,"",D000025214,CVS Health,31006,31000,6,2022-04-18 00:00:00 +0000,30,x, ,0,D000025214
C90016437,"",D000000086,National Assn of Home Builders,30800,25000,5800,2022-04-18 00:00:00 +0000,31,x, ,0,D000000086
         ,"",D000093815,Pacific Companies (Idaho),30800,0,30800,2022-04-18 00:00:00 +0000,31,x, ,0,D000093815
C00004275,"",D000000087,American Bankers Assn,30000,30000,0,2022-04-18 00:00:00 +0000,33,x, ,2,D000000087
C00012914,"",D000000608,American Land Title Assn,30000,30000,0,2022-04-18 00:00:00 +0000,33,x, ,0,D000000608
C00250399,"",D000021853,Automotive Free International Trade PAC           ,30000,30000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00076299,"",D000023666,CME Group,30000,30000,0,2022-04-18 00:00:00 +0000,33,x, ,0,D000023666
C00211318,"",D000000131,Deloitte LLP,30000,30000,0,2022-04-18 00:00:00 +0000,33,x,x,1,D000000131
C00215046,"",D000000328,Fidelity Investments                    ,30000,30000,0,2022-04-18 00:00:00 +0000,33,x, ,1,D000000328
C00361758,"",D000022272,T-Mobile USA,30000,30000,0,2022-04-18 00:00:00 +0000,33,x, ,0,D000022272
C00010470,"",D000000118,Union Pacific Corp,30000,30000,0,2022-04-18 00:00:00 +0000,33,x, ,0,D000000118
C00247403,"",D000022158,NorPAC,29300,0,29300,2022-04-18 00:00:00 +0000,41, , ,0,          
C00128512,"",D000000103,JPMorgan Chase & Co,29035,25500,3535,2022-04-18 00:00:00 +0000,42,x, ,1,D000000103
C00340943,"",D000021951,DaVita Inc,29000,29000,0,2022-04-18 00:00:00 +0000,43,x, ,0,D000021951
C70002563,"",D000000062,National Assn of Realtors,29000,29000,0,2022-04-18 00:00:00 +0000,43,x, ,0,D000000062
C00021972,"",D000000504,Pharmaceutical Research & Manufacturers Of America,29000,14500,14500,2022-04-18 00:00:00 +0000,43,x, ,2,D000000504
C00289058,"",          ,Genesee & Wyoming,28000,28000,0,2022-04-18 00:00:00 +0000,46,x, ,0,D000026187
C00674465,"",D000026350,Guardian Life Insurance,28000,15000,13000,2022-04-18 00:00:00 +0000,46, , ,0,          
C00064766,"",D000000081,United Parcel Service,27700,27700,0,2022-04-18 00:00:00 +0000,48,x, ,0,D000000081
C00077321,"",D000000095,American Institute of CPAs,27500,27500,0,2022-04-18 00:00:00 +0000,49,x, ,0,D000000095
C00692806,"",D000000310,American Property Casualty Insurance Assn,27500,27500,0,2022-04-18 00:00:00 +0000,49,x, ,2,D000000310
C00082792,"",D000000166,Eli Lilly & Co,27500,12500,15000,2022-04-18 00:00:00 +0000,49,x, ,0,D000000166
C00022343,"",D000000181,Independent Insurance Agents & Brokers of America,27500,27500,0,2022-04-18 00:00:00 +0000,49,x, ,0,D000000181
C00164145,"",D000029616,USAA,27500,27500,0,2022-04-18 00:00:00 +0000,49,x, ,1,D000029616
C00034157,"",D000000126,AFLAC Inc,27050,27000,50,2022-04-18 00:00:00 +0000,54,x, ,0,D000000126
C00000422,"",D000000068,American Medical Assn,27000,27000,0,2022-04-18 00:00:00 +0000,55,x, ,0,D000000068
C00326595,"",D000021891,Capital One Financial,27000,27000,0,2022-04-18 00:00:00 +0000,55,x, ,1,D000021891
C00121319,"",D000029442,Thrivent Financial,26500,24000,2500,2022-04-18 00:00:00 +0000,57,x, ,0,D000029442
C00363838,"",D000022036,Huntsman Corp,26450,5000,21450,2022-04-18 00:00:00 +0000,58, , ,0,          
