pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00411116,"",D000029147,SpaceX,15000,15000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000088118,Bluewater Partners,10800,0,10800,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000068102,Breakthru Beverage Group,10000,0,10000,2022-04-18 00:00:00 +0000,3, , ,0,          
C00325092,"",D000064813,Huntington Ingalls Industries,10000,10000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",10000,10000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000047491,ATS Communications,6000,0,6000,2022-04-18 00:00:00 +0000,6, , ,0,          
C00557793,"",D000069501,Blue Origin,6000,6000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00078451,"",D000000165,General Dynamics,6000,6000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00369058,"",D000022304,Van Scoyoc Assoc,6000,0,6000,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000044649,Amscot Financial,5800,0,5800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000032422,Cc1 Companies,5800,0,5800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000085823,Charles Rutenberg Realty,5800,0,5800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000079864,Joel M Weissman PA,5800,0,5800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Lombardi Properties,5800,0,5800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000036499,"Panza, Maurer & Maynard",5800,0,5800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000043630,Power Design,5800,0,5800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Premier Sotheby'S International Realty,5800,0,5800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,St George Medical School At Granada,5800,0,5800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Vela Health Solutions,5800,0,5800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Real Estate Development/Entrepreneur,5600,0,5600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Wish Foundation,5600,0,5600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000023986,American Moving & Storage Assn,5000,0,5000,2022-04-18 00:00:00 +0000,22, , ,0,          
C00430579,"",D000024452,Brave PAC,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00142299,"",D000000371,Jacobs Engineering Group,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00344234,"",D000000520,PAC to the Future,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000030117,Stidd Systems                           ,5000,0,5000,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Alakai Defense Systems,4150,0,4150,2022-04-18 00:00:00 +0000,27, , ,0,          
C00385120,"",          ,GenesisCare USA,3300,0,3300,2022-04-18 00:00:00 +0000,28, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,3000,3000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00123612,"",D000000201,Textron Inc,3000,3000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Accesso LLC,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000082369,Eclipse Energy Systems,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,F Philip Blank Pa,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000033773,Four M Investments,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000068976,Fran Haasch Law Group,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Gand Inc,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Gerson & Schwartz,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000071415,GFP Real Estate,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000070434,Kampack Inc,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000091812,Meisel Holdings,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000035921,Mirza Group,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000089163,Nessel Development,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000036440,Overseas Service Corp,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Pawlowski & Mastrilli Law Group,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Pawlowski Law Group,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Risser Oil,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Safe Harbor,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000074019,Shanti Publications,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000092255,Smith & Assoc (Florida),2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Sutton Management,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Tate Development,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000092715,Trb Development,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,US Mortgage Finance,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Wallace Assoc,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000071792,Invus Group,2800,0,2800,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000035408,Link Group,2800,0,2800,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Ma Engineering,2800,0,2800,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Ray Investments,2800,0,2800,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,US Mortgage Finance Group,2800,0,2800,2022-04-18 00:00:00 +0000,55, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,2500,2500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00001198,"",D000023971,American Hotel & Lodging Assn,2500,2500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00114108,"",D000024017,American Society of Travel Advisors,2500,2500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,2500,2500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00151787,"",          ,Cubic Corp,2500,2500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00689943,"",          ,Global Technical Systems,2500,0,2500,2022-04-18 00:00:00 +0000,60, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00088591,"",D000000170,Northrop Grumman,2500,2500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00281212,"",D000000583,BAE Systems,2000,2000,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00365502,"",D000022588,BWX Technologies,2000,2000,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00195024,"",D000027439,Maryland Assn for Concerned Citizens,2000,2000,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00225342,"",D000022103,McGuireWoods LLP,2000,2000,0,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",D000022126,Nancy Pelosi for Congress,2000,2000,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C70000492,"",D000000064,National Education Assn,2000,2000,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00245548,"",D000022134,National Marine Manufacturers Assn,2000,2000,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,2000,2000,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00002766,"",D000000072,United Food & Commercial Workers Union,2000,2000,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,1500,1500,0,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",D000030158,Sts International,1200,0,1200,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,SS White Technologies,1100,0,1100,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",D000031381,Albertine Enterprises,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
C00024521,"",D000000065,American Assn for Justice,1000,1000,0,2022-04-18 00:00:00 +0000,81, , ,0,          
C00010322,"",D000000143,American Postal Workers Union,1000,1000,0,2022-04-18 00:00:00 +0000,81, , ,0,          
C00142596,"",          ,BBVA USA,1000,1000,0,2022-04-18 00:00:00 +0000,81, , ,0,          
C00305318,"",D000000675,Blue Dog PAC,1000,1000,0,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",D000049465,Coffey Burlington Llp,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",D000032743,Colliers International,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,Detraxi Caeli Development Co,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
C00472225,"",          ,Embraer Aircraft Holdings,1000,1000,0,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,Emergo Therapeutics,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",D000080924,Florida School Services,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,Florida Turbine Technologies,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,Fs Vector,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",D000033927,Gabriel Co,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
C00024869,"",D000000125,General Electric,1000,1000,0,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",D000075134,Gray Global Advisors,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
C00213173,"",D000000766,K&L Gates,1000,1000,0,2022-04-18 00:00:00 +0000,81, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,1000,1000,0,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,Lea Black Beauty,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,Liquor Law Center,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,Lsf Partners,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,Lucky'S Real Tomatoes,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",D000086432,Lynx Investment Advisory,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,McLuskey & Mcdonald PA,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,Nelson Mullins Broad & Cassel,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,Pensacola Beach Rv Resort LLC,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,Reeves & Davis,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,Saunders & Walker,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,Searcy Scarola Barnhart & Shipley,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",D000089172,Southocean Capital Partners,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,Talbot & Assoc,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,Ttj Investments,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",D000064087,Worldnames Inc,1000,0,1000,2022-04-18 00:00:00 +0000,81, , ,0,          
