pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,NOT EMPLOYED,36433,0,36433,2022-04-18 00:00:00 +0000,1, , ,0,          
C00137729,"",D000026499,Holland & Hart,32125,0,32125,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000055177,Palantir Technologies,19500,0,19500,2022-04-18 00:00:00 +0000,3, , ,0,          
C00390583,"",D000000724,"Brownstein, Hyatt et al",15250,0,15250,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000088000,"Haddon, Morgan & Foreman",14800,0,14800,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000030653,University of Colorado                  ,13633,0,13633,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000070486,Sallyport Investments,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000090792,Wolf Interests,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Considered Media,11200,0,11200,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000032033,Bohemian Foundation,10800,0,10800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000068512,Emerson Collective,10800,0,10800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Alvarado Companies,10400,0,10400,2022-04-18 00:00:00 +0000,12, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00418897,"",D000029722,VoteVets.org,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00002766,"",D000000072,United Food & Commercial Workers Union,7500,7500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00441949,"",          ,JStreetPAC,6950,1000,5950,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,"White, Bear et al",6810,0,6810,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Race Street Management,6600,0,6600,2022-04-18 00:00:00 +0000,20, , ,0,          
C00731000,"",D000068058,Airbnb Inc,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000031738,Aviva Inc,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Berenergy Corp,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Catalyst Capital,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,"Christensen, Tyng & Hjelmstad",5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,DBC Irrigation Supply,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Eating Recovery Center,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Izzio Bakery,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000035437,Lone Pine Capital,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Monroe Group,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Pless Law Firm,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000089077,Raines Feldman Llp,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000089113,RH Capital Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000076336,Rida Development,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000037124,Ring Group,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000076704,Sawaya Law Firm,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000031053,Wilderness Society,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Griffis Blessing Inc,5600,0,5600,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,Iri,5600,0,5600,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000071838,Marquis Group,5600,0,5600,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,The Phoenix,5600,0,5600,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000044631,Global Down Syndrome Foundation,5200,0,5200,2022-04-18 00:00:00 +0000,42, , ,0,          
C70003124,"",D000000077,Service Employees International Union,5042,5000,42,2022-04-18 00:00:00 +0000,43, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00450692,"",D000046017,Poet LLC,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00001636,"",          ,SMART Transportation Division,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C70001979,"",D000000066,Teamsters Union,5000,5000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Beasley Assoc,4500,0,4500,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000031435,Alsop Louie Partners,4000,0,4000,2022-04-18 00:00:00 +0000,52, , ,0,          
C00366070,"",D000025772,Federal Aviation Admin Managers Assn,4000,4000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00625988,"",D000070692,Future Forum PAC,4000,4000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000034396,Invariant LLC,4000,0,4000,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000030174,Sullivan & Worcester,4000,0,4000,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000064029,Wheeler Trigg O'Donnell LLP,4000,0,4000,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000086892,Scaled Agile,3900,0,3900,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000030656,University of Denver,3852,0,3852,2022-04-18 00:00:00 +0000,59, , ,0,          
