pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00448696,"",D000028985,Senate Conservatives Fund,286588,7500,279088,2022-04-18 00:00:00 +0000,1, , ,0,          
C90009945,"",D000000763,Club for Growth,235782,0,235782,2022-04-18 00:00:00 +0000,2, , ,0,          
C00247403,"",D000022158,NorPAC,93950,0,93950,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000021757,Berkshire Hathaway,87500,30000,57500,2022-04-18 00:00:00 +0000,4,x, ,1,D000021757
         ,"",D000067658,Woodforest Financial Group,85151,0,85151,2022-04-18 00:00:00 +0000,5, , ,0,          
C00303024,"",D000000104,Lockheed Martin,79105,22000,57105,2022-04-18 00:00:00 +0000,6,x, ,0,D000000104
C00104802,"",D000000350,Delta Air Lines,73481,22500,50981,2022-04-18 00:00:00 +0000,7,x, ,1,D000000350
         ,"",          ,Doggett Industries                                ,67400,0,67400,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000061742,Huffines Communities,61300,0,61300,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000067697,American Airlines Group,55697,19000,36697,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000034469,Hilcorp Energy,53593,0,53593,2022-04-18 00:00:00 +0000,11,x, ,0,D000034469
         ,"",          ,Sutton Ventures Group,51000,0,51000,2022-04-18 00:00:00 +0000,12, , ,0,          
C00341602,"",D000000785,Southwest Airlines,50841,5998,44843,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000044060,Saulsbury Industries,50530,0,50530,2022-04-18 00:00:00 +0000,14, , ,0,          
C00109546,"",D000022303,Valero Energy,50434,24000,26434,2022-04-18 00:00:00 +0000,15,x, ,0,D000022303
         ,"",D000083990,Bluewater International,49900,0,49900,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000034833,Jennmar Corp                                      ,49900,0,49900,2022-04-18 00:00:00 +0000,16, , ,0,          
C00109017,"",D000000076,AT&T Inc,49505,35000,14505,2022-04-18 00:00:00 +0000,18,x, ,1,D000000076
         ,"",D000000464,Sullivan & Cromwell,48000,0,48000,2022-04-18 00:00:00 +0000,19, ,x,0,D000000464
         ,"",D000000342,Jw Childs Assoc,46600,0,46600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000087226,Oberheiden Pc,46600,0,46600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000031322,Insperity,45825,0,45825,2022-04-18 00:00:00 +0000,22,x, ,0,D000031322
         ,"",D000022296,University of Texas                     ,45158,0,45158,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000064995,Pbf Energy,43560,0,43560,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000088109,Double Eagle Development,43200,0,43200,2022-04-18 00:00:00 +0000,25, , ,0,          
C90012063,"",D000028612,Republican Jewish Coalition,42474,10000,32474,2022-04-18 00:00:00 +0000,26, , ,0,          
C00574921,"",D000037311,Ryan LLC,41866,20000,21866,2022-04-18 00:00:00 +0000,27,x, ,1,D000037311
         ,"",D000076641,Lodge Lumber,41605,0,41605,2022-04-18 00:00:00 +0000,28, , ,0,          
C00164145,"",D000029616,USAA,41553,20000,21553,2022-04-18 00:00:00 +0000,29,x, ,0,D000029616
         ,"",          ,Stewart Title Guaranty,40481,0,40481,2022-04-18 00:00:00 +0000,30, , ,0,          
C00121368,"",D000000129,Exxon Mobil,39307,10000,29307,2022-04-18 00:00:00 +0000,31, , ,0,          
C00068692,"",D000000089,FedEx Corp,37991,22000,15991,2022-04-18 00:00:00 +0000,32,x, ,1,D000000089
C00035006,"",D000000015,Chevron Corp,37743,14000,23743,2022-04-18 00:00:00 +0000,33, , ,0,          
C00217877,"",D000022262,Southern Glazer's Wine & Spirits,37425,0,37425,2022-04-18 00:00:00 +0000,34,x, ,0,D000022262
         ,"",D000028595,Republic National Distributing,37415,0,37415,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000070896,JAT Capital Partners,36600,0,36600,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000021845,Apollo Global Management,36332,0,36332,2022-04-18 00:00:00 +0000,37,x, ,0,D000021845
C00142711,"",D000000100,Boeing Co,34840,15000,19840,2022-04-18 00:00:00 +0000,38,x, ,0,D000000100
C00010470,"",D000000118,Union Pacific Corp,34700,30000,4700,2022-04-18 00:00:00 +0000,39,x, ,0,D000000118
         ,"",D000036906,Quantum Energy Partners,33600,0,33600,2022-04-18 00:00:00 +0000,40, , ,0,          
C00248716,"",D000000461,Comcast Corp,33430,25000,8430,2022-04-18 00:00:00 +0000,41,x, ,1,D000000461
         ,"",D000064837,Interstate Batteries,33100,0,33100,2022-04-18 00:00:00 +0000,42,x, ,0,D000064837
         ,"",D000023342,US Army,32708,0,32708,2022-04-18 00:00:00 +0000,43, , ,0,          
C00096156,"",D000000334,Honeywell International,32494,26000,6494,2022-04-18 00:00:00 +0000,44,x, ,0,D000000334
         ,"",D000073436,Camden Property Trust,32400,0,32400,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000031612,Ariel Corp,31600,0,31600,2022-04-18 00:00:00 +0000,46,x, ,0,D000031612
         ,"",D000089134,RE Janes Gravel Co,31600,0,31600,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000042214,Crawford Group,31206,25000,6206,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000031722,Avalon Advisors,31200,0,31200,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000051958,Hudson River Trading,31200,0,31200,2022-04-18 00:00:00 +0000,49,x, ,0,D000051958
C00097568,"",D000072615,Raytheon Technologies,29568,5500,24068,2022-04-18 00:00:00 +0000,51, , ,0,          
