pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,346326,0,346326,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000047491,ATS Communications,32100,0,32100,2022-04-18 00:00:00 +0000,2, , ,0,          
C00382796,"",D000035370,LHC Group,25800,15000,10800,2022-04-18 00:00:00 +0000,3, , ,0,          
C00652529,"",D000035428,Lockton Companies,24150,5000,19150,2022-04-18 00:00:00 +0000,4, , ,0,          
C00109546,"",D000022303,Valero Energy,20000,20000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Coteau Grove Farms,16200,0,16200,2022-04-18 00:00:00 +0000,6, , ,0,          
C00078451,"",D000000165,General Dynamics,15000,15000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000021967,Duty Free Americas,14500,0,14500,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000061745,Hunt Companies,14500,0,14500,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000034677,Innovative Federal Strategies,13300,0,13300,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Killam Development Ltd,12664,0,12664,2022-04-18 00:00:00 +0000,11, , ,0,          
C00126763,"",D000000240,National Assn of Convenience Stores,12500,12500,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000088018,Clarkson Aerospace,12150,0,12150,2022-04-18 00:00:00 +0000,13, , ,0,          
C00366013,"",D000020994,NASDAQ Inc,11800,0,11800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Egane LLC,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
C00112896,"",D000000303,ConocoPhillips,11250,11000,250,2022-04-18 00:00:00 +0000,16, , ,0,          
C00244863,"",D000022139,National Roofing Contractors Assn,11000,11000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00068692,"",D000000089,FedEx Corp,10500,10500,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00236034,"",D000029797,Werner Enterprises,10500,7500,3000,2022-04-18 00:00:00 +0000,18, , ,0,          
C00424143,"",D000026656,Alliance for Pharmacy Compounding,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00000729,"",D000000105,American Dental Assn,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00035006,"",D000000015,Chevron Corp,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00204099,"",D000000408,Deere & Co,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000074431,Dilworth Group,10000,0,10000,2022-04-18 00:00:00 +0000,20, , ,0,          
C00193631,"",D000000359,Farm Credit Council,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00284885,"",D000000419,Home Depot,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00272724,"",D000027470,"Maynard, Cooper & Gale",10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00416297,"",D000000431,National Cotton Council,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00682617,"",D000074352,National Pecan Federation,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00088591,"",D000000170,Northrop Grumman,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00414896,"",D000028180,Osi Systems,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00431932,"",          ,Ovintiv USA,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00008748,"",D000000415,Sempra Energy,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00411116,"",D000029147,SpaceX,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000030435,Timothy R Rupli & Assoc,10000,0,10000,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Beldon Roofing Internatioanl I,9700,0,9700,2022-04-18 00:00:00 +0000,37, , ,0,          
C00427195,"",D000029140,Southwest Business Corp,9600,2800,6800,2022-04-18 00:00:00 +0000,38, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,9000,9000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00268904,"",D000029514,Trinity Industries,9000,9000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Falic Group,8700,0,8700,2022-04-18 00:00:00 +0000,41, , ,0,          
C00232843,"",D000082023,INFiN a Financial Services Alliance,8500,8500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00236489,"",D000000186,Koch Industries,8500,8500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000000662,WPP Group,8400,0,8400,2022-04-18 00:00:00 +0000,44, , ,0,          
C00042002,"",          ,Reynolds American,8000,8000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00420000,"",D000055714,National Assn of Landscape Professionals,7900,7900,0,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",          ,Victoria Trading Co,7900,0,7900,2022-04-18 00:00:00 +0000,46, , ,0,          
C00004275,"",D000000087,American Bankers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00433805,"",          ,Checksmart Financial,7500,7500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00503680,"",D000049867,Crop Insurance Professionals Assn,7500,7500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00369751,"",D000000585,Dell Technologies,7500,7500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00014555,"",D000000191,FMI The Food Industry Assn,7500,7500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00349373,"",          ,Gulf States Toyota,7500,7500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00557322,"",D000034447,Hess Corp,7500,7500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00496307,"",D000023121,Marathon Petroleum,7500,7500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000073417,Medquest Pharmacy,7500,0,7500,2022-04-18 00:00:00 +0000,48, , ,0,          
C00488080,"",D000054345,National Stripper Well Assn,7500,7500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00083857,"",D000000206,Occidental Petroleum,7500,7500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,7500,7500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00305318,"",D000000675,Blue Dog PAC,7000,7000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00329425,"",D000000732,National Franchisee Assn,7000,7000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00542365,"",          ,Toyota Motor North America,7000,7000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",          ,Solstice International Consulting,6800,0,6800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000030144,Strategic Marketing Innovations,6400,0,6400,2022-04-18 00:00:00 +0000,64, , ,0,          
C00109017,"",D000000076,AT&T Inc,6000,5000,1000,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Brownstone Group,6000,0,6000,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000073733,Fasken Oil & Ranch,6000,0,6000,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000070020,Filemon Vela for Congress,6000,6000,0,2022-04-18 00:00:00 +0000,65, , ,0,          
C00113753,"",          ,Johnson Controls,6000,6000,0,2022-04-18 00:00:00 +0000,65, , ,0,          
C00197160,"",D000030345,Texans for Lamar Smith,6000,6000,0,2022-04-18 00:00:00 +0000,65, , ,0,          
C00214981,"",D000022909,Texas Farm Bureau,5815,5815,0,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",D000076645,Alliance Residential,5800,0,5800,2022-04-18 00:00:00 +0000,72, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Basco,5800,0,5800,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Bertha Medina Md,5800,0,5800,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000032273,Cantu Construction,5800,0,5800,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000021943,Crow Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Egan E LLC,5800,0,5800,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000075292,Ferox Strategies,5800,0,5800,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Gordon Hartman Family Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000022025,Henry Crown & Co,5800,0,5800,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000088039,JBG SMITH Properties,5800,0,5800,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Kgi Kenific Group,5800,0,5800,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000053505,McAllen Stained Glass,5800,0,5800,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000062527,Moore Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000071554,Otoe-Missouria Tribe,5800,0,5800,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,S Rothschild & Co,5800,0,5800,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Sailpoint Technologies,5800,0,5800,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Starr-Camargo Bridge,5700,0,5700,2022-04-18 00:00:00 +0000,89, , ,0,          
         ,"",D000071887,ICM Partners,5600,0,5600,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,Susser Holdings Ii LP,5600,0,5600,2022-04-18 00:00:00 +0000,90, , ,0,          
C00040568,"",D000000244,Marathon Oil,5500,2500,3000,2022-04-18 00:00:00 +0000,92, , ,0,          
C00075341,"",D000000355,Motorola Solutions,5500,5500,0,2022-04-18 00:00:00 +0000,92, , ,0,          
C00599084,"",D000043213,Plains Cotton Growers,5500,5000,500,2022-04-18 00:00:00 +0000,92, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",5000,750,4250,2022-04-18 00:00:00 +0000,95, , ,0,          
C00089136,"",D000000067,Altria Group,5000,5000,0,2022-04-18 00:00:00 +0000,95, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,95, , ,0,          
C00755454,"",D000082002,American Exploration & Production Council,5000,5000,0,2022-04-18 00:00:00 +0000,95, , ,0,          
C00415026,"",D000027874,American Fuel & Petrochem Manufacturers,5000,5000,0,2022-04-18 00:00:00 +0000,95, , ,0,          
C00001198,"",D000023971,American Hotel & Lodging Assn,5000,5000,0,2022-04-18 00:00:00 +0000,95, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,5000,5000,0,2022-04-18 00:00:00 +0000,95, , ,0,          
C00002881,"",D000000177,American Trucking Assns,5000,5000,0,2022-04-18 00:00:00 +0000,95, , ,0,          
C00082917,"",D000000197,Associated General Contractors,5000,5000,0,2022-04-18 00:00:00 +0000,95, , ,0,          
         ,"",          ,Bebo Distributing,5000,0,5000,2022-04-18 00:00:00 +0000,95, , ,0,          
C00142711,"",D000000100,Boeing Co,5000,5000,0,2022-04-18 00:00:00 +0000,95, , ,0,          
         ,"",          ,Capital Corp,5000,0,5000,2022-04-18 00:00:00 +0000,95, , ,0,          
C00148031,"",D000000352,Caterpillar Inc,5000,5000,0,2022-04-18 00:00:00 +0000,95, , ,0,          
C00426775,"",D000000672,Charter Communications,5000,5000,0,2022-04-18 00:00:00 +0000,95, , ,0,          
C00366468,"",D000021940,CoreCivic Inc,5000,5000,0,2022-04-18 00:00:00 +0000,95, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,5000,5000,0,2022-04-18 00:00:00 +0000,95, , ,0,          
C00151787,"",          ,Cubic Corp,5000,5000,0,2022-04-18 00:00:00 +0000,95, , ,0,          
         ,"",          ,Davis & Santos Pllc,5000,0,5000,2022-04-18 00:00:00 +0000,95, , ,0,          
C00211318,"",D000000131,Deloitte LLP,5000,5000,0,2022-04-18 00:00:00 +0000,95, , ,0,          
C00354753,"",D000025483,Devon Energy,5000,5000,0,2022-04-18 00:00:00 +0000,95, , ,0,          
C00121368,"",D000000129,Exxon Mobil,5000,5000,0,2022-04-18 00:00:00 +0000,95, , ,0,          
C00366070,"",D000025772,Federal Aviation Admin Managers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,95, , ,0,          
C00215285,"",D000000317,General Atomics,5000,5000,0,2022-04-18 00:00:00 +0000,95, , ,0,          
C00035691,"",D000000281,Halliburton Co,5000,5000,0,2022-04-18 00:00:00 +0000,95, , ,0,          
C00084491,"",D000022046,International Franchise Assn,5000,5000,0,2022-04-18 00:00:00 +0000,95, , ,0,          
C00342907,"",          ,Laborers Union/Midwest Region,5000,5000,0,2022-04-18 00:00:00 +0000,95, , ,0,          
         ,"",          ,Law Offices of Serna & Serna,5000,0,5000,2022-04-18 00:00:00 +0000,95, , ,0,          
C00546234,"",D000000369,Leidos Inc,5000,5000,0,2022-04-18 00:00:00 +0000,95, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,95, , ,0,          
