pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00361758,"",D000022272,T-Mobile USA,17500,17500,0,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,14750,14000,750,2022-04-18 00:00:00 +0000,2, , ,0,          
C00693127,"",D000084281,Building Bridges PAC,14000,10000,4000,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Arive Designs LLC,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000073417,Medquest Pharmacy,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Texas United Energy Workers,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Thompson Family LLC,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
C00248716,"",D000000461,Comcast Corp,11500,11500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000071336,Doterra International,11000,0,11000,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Squire & Comapny,11000,0,11000,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Alpha Trucking LLC,10000,0,10000,2022-04-18 00:00:00 +0000,11, , ,0,          
C00360354,"",D000023883,Amazon.com,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00426775,"",D000000672,Charter Communications,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00035006,"",D000000015,Chevron Corp,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,E Ventures Assoc,10000,0,10000,2022-04-18 00:00:00 +0000,11, , ,0,          
C00428623,"",          ,Google Inc,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000065693,Keller Investment Properties,10000,0,10000,2022-04-18 00:00:00 +0000,11, , ,0,          
C00010082,"",D000022131,NCTA The Internet & Television Assn,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00433060,"",D000029531,Republican Governance Group,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,United Energy Workers Healthcare Corp,10000,0,10000,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Woodbury Corp,10000,0,10000,2022-04-18 00:00:00 +0000,11, , ,0,          
C00016683,"",D000000138,Pfizer Inc,8500,8500,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,4life,8100,0,8100,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000043112,AstraZeneca PLC,8000,8000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00621912,"",          ,1-800 Contacts,7500,7500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00469429,"",D000065616,CMR PAC,7500,7500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,7500,7500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00477653,"",D000000768,Cox Enterprises,7500,7500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00496307,"",D000023121,Marathon Petroleum,7500,7500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00109546,"",D000022303,Valero Energy,7500,7500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00186288,"",D000000079,Verizon Communications,7500,7500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00346353,"",          ,CRH Americas,7000,6000,1000,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000021757,Berkshire Hathaway,6500,6500,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00251876,"",D000000391,Amgen Inc,6000,6000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00046474,"",D000000182,Ford Motor Co,6000,6000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,6000,6000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Oakwood Consulting LLC,6000,0,6000,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000090499,Walker Edison,5800,0,5800,2022-04-18 00:00:00 +0000,38, , ,0,          
C00359588,"",D000021679,BGR Group,5500,0,5500,2022-04-18 00:00:00 +0000,39, , ,0,          
C00009985,"",D000000202,National Assn of Broadcasters,5500,5000,500,2022-04-18 00:00:00 +0000,39, , ,0,          
C00434811,"",          ,Teva Pharmaceuticals USA,5500,5500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000025929,Fresenius Medical Care                  ,5250,5000,250,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,A Qualified Multicandidate Pac,5000,0,5000,2022-04-18 00:00:00 +0000,43, , ,0,          
C00040253,"",D000000632,Allstate Insurance,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00364109,"",D000023930,America's Communications Assn,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00004275,"",D000000087,American Bankers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00109017,"",D000000076,AT&T Inc,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00085316,"",D000000222,Cigna Corp,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00563072,"",D000070693,Coeur Mining,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
