pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00193433,"",D000000113,EMILY's List,116988,5000,111988,2022-04-18 00:00:00 +0000,1, , ,0,          
C00468314,"",D000025328,Democracy Engine,84311,0,84311,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,NOT EMPLOYED,40780,0,40780,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000070423,Arista Networks,23200,0,23200,2022-04-18 00:00:00 +0000,4, , ,0,          
C00422774,"",          ,Frontline USA,19985,0,19985,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000067823,Alphabet Inc,17229,0,17229,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000023639,Morongo Band of Mission Indians,15800,0,15800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000036737,Poarch Band of Creek Indians,15800,0,15800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000036885,Puyallup Tribe of Indians,15600,0,15600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,14650,0,14650,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000029534,Tunica-Biloxi Tribe of Louisiana,13700,0,13700,2022-04-18 00:00:00 +0000,11, , ,0,          
C00332643,"",D000021883,"Bryan, Cave et al",13250,0,13250,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000059619,Stifel Financial,12960,0,12960,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000045173,"Shamberg, Johnson & Bergman",12650,0,12650,2022-04-18 00:00:00 +0000,14, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,12509,12500,9,2022-04-18 00:00:00 +0000,15, , ,0,          
C00409730,"",D000022150,New Democrat Coalition,12500,12500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000021849,Ariel Investments,11600,0,11600,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000071415,GFP Real Estate,11600,0,11600,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000051397,Golub Capital,11600,0,11600,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000054906,Oaktree Capital Management,11600,0,11600,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000037458,Seeger Weiss Llp,11600,0,11600,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000037678,Sotheby's,11600,0,11600,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000063612,SV Angel LLC,11600,0,11600,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000067336,Uber Technologies,11535,0,11535,2022-04-18 00:00:00 +0000,25, , ,0,          
C00450916,"",D000031673,Asurion LLC,11500,0,11500,2022-04-18 00:00:00 +0000,26, , ,0,          
C00388827,"",D000066716,Rock Holdings,11000,11000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000056439,Santa Ynez Band of Chumash Indians,10800,0,10800,2022-04-18 00:00:00 +0000,28, , ,0,          
C00441949,"",          ,JStreetPAC,10750,0,10750,2022-04-18 00:00:00 +0000,29, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,10000,10000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00550970,"",D000070371,Equality PAC,10000,10000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,10000,10000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00158881,"",D000000249,New York Life Insurance,10000,10000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,10000,10000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000022251,Silver Lake Partners                    ,10000,5000,5000,2022-04-18 00:00:00 +0000,30, , ,0,          
C00001636,"",          ,SMART Transportation Division,10000,10000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00669960,"",D000074322,When Democrats Turn Out PAC,10000,10000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000030663,University of Kansas                    ,9803,0,9803,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Barkley,9700,0,9700,2022-04-18 00:00:00 +0000,41, , ,0,          
C00000059,"",D000000474,Hallmark Cards,9204,0,9204,2022-04-18 00:00:00 +0000,42, , ,0,          
C00442913,"",D000024518,Burns & McDonnell,8990,5000,3990,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000083826,Anzu Partners,8700,0,8700,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000057631,Tmf Health Quality Institute,8600,0,8600,2022-04-18 00:00:00 +0000,45, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,8500,8500,0,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000023656,Shakopee Mdewakanton Sioux Community,8500,0,8500,2022-04-18 00:00:00 +0000,46, , ,0,          
C00652529,"",D000035428,Lockton Companies,8178,5000,3178,2022-04-18 00:00:00 +0000,48, , ,0,          
C00405050,"",D000024333,Betty PAC,8000,8000,0,2022-04-18 00:00:00 +0000,49, , ,0,          
C00549014,"",          ,Hudson Valley PAC (Maloney),8000,8000,0,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000023641,Pechanga Band of Luiseno Mission Indians,7900,0,7900,2022-04-18 00:00:00 +0000,51, , ,0,          
C00367896,"",D000029038,"Shook, Hardy & Bacon",7900,2000,5900,2022-04-18 00:00:00 +0000,51, , ,0,          
C00227546,"",D000000115,Microsoft Corp,7800,0,7800,2022-04-18 00:00:00 +0000,53, , ,0,          
C00188177,"",D000022016,H&R Block,7580,7500,80,2022-04-18 00:00:00 +0000,54, , ,0,          
C00617803,"",          ,Jobs Education & Families First,7500,7500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00113241,"",D000027790,National Apartment Assn,7500,7500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00367177,"",D000027857,National Indian Gaming Assn,7500,5000,2500,2022-04-18 00:00:00 +0000,55, , ,0,          
C00286807,"",          ,Professional Aviation Safety Specialists,7500,7500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00012245,"",          ,UBS Americas,7500,7500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00569871,"",          ,DR RAUL PAC,7000,7000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00096156,"",D000000334,Honeywell International,7000,7000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,7000,7000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00300178,"",D000019743,Wells Fargo,6995,1000,5995,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000033537,Evercore,6800,0,6800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000022154,New York University,6700,0,6700,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Alliancebernstein Lp,6500,0,6500,2022-04-18 00:00:00 +0000,66, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,6500,3500,3000,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000068512,Emerson Collective,6300,0,6300,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",D000032540,Children's Mercy Hospital,6295,0,6295,2022-04-18 00:00:00 +0000,69, , ,0,          
C00573261,"",          ,End Citizens United,6200,5000,1200,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",          ,"Maude, Cynthia 'Cindy",6050,0,6050,2022-04-18 00:00:00 +0000,71, , ,0,          
C00008268,"",D000000178,Transport Workers Union,6000,6000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000000406,University of California                ,5974,0,5974,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Byrne Pelofsky,5920,0,5920,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",D000034497,Ho-Chunk Nation,5825,0,5825,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",D000032877,Cornell University,5813,0,5813,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",D000062975,Prime Healthcare Services,5810,0,5810,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",          ,Cross Law Firm,5805,0,5805,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",D000031277,Accel Partners,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000031415,Alleycorp LLC,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000031533,Analysis Group,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000021859,Bain Capital,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000031926,Berkshire Group,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000032033,Bohemian Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Capital Research Global Investors,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Catalyst,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000060635,Cherokee Nation,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,City Gyms,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
C00155853,"",D000025125,Continental Grain,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
