pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00173153,"",D000000349,American Assn of Nurse Anesthesiology,21000,21000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00126763,"",D000000240,National Assn of Convenience Stores,20000,20000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00145037,"",          ,Southern Co Gas,20000,20000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,19000,19000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000073743,Marcus Foundation,17400,0,17400,2022-04-18 00:00:00 +0000,5, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,17000,17000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00236489,"",D000000186,Koch Industries,16057,16000,57,2022-04-18 00:00:00 +0000,7, , ,0,          
C00433060,"",D000029531,Republican Governance Group,16000,16000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00109017,"",D000000076,AT&T Inc,15005,15000,5,2022-04-18 00:00:00 +0000,9, , ,0,          
C00040279,"",D000000383,Abbott Laboratories,15000,15000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00004275,"",D000000087,American Bankers Assn,15000,15000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00076299,"",D000023666,CME Group,15000,15000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,15000,15000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00079681,"",D000022136,National Propane Gas Assn,15000,15000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,15000,15000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00365122,"",D000029689,Visa Inc,15000,15000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00040394,"",D000000480,Williams Companies,15000,15000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000021873,Blackstone Group,14500,0,14500,2022-04-18 00:00:00 +0000,18, , ,0,          
C00096156,"",D000000334,Honeywell International,14002,14000,2,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000057923,United Contractors Midwest,13900,0,13900,2022-04-18 00:00:00 +0000,20, , ,0,          
C00017525,"",D000000173,American Nurses Assn,13500,13500,0,2022-04-18 00:00:00 +0000,21, , ,0,          
