pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,NOT EMPLOYED,19366,0,19366,2022-04-18 00:00:00 +0000,1, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",18500,18500,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00248716,"",D000000461,Comcast Corp,13825,11000,2825,2022-04-18 00:00:00 +0000,3, , ,0,          
C00012914,"",D000000608,American Land Title Assn,12500,12500,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00215046,"",D000000328,Fidelity Investments,12500,10000,2500,2022-04-18 00:00:00 +0000,4, , ,0,          
C00388827,"",D000066716,Rock Holdings,11500,11500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000022295,University of Pennsylvania              ,11365,0,11365,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Schroeder Consulting,11000,0,11000,2022-04-18 00:00:00 +0000,8, , ,0,          
C00003632,"",D000000302,Bricklayers Union,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00380303,"",D000025674,Emergent BioSolutions,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00136739,"",          ,Operating Engineers Local 542,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,8500,8500,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Intech Construction,8400,0,8400,2022-04-18 00:00:00 +0000,13, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00300178,"",D000019743,Wells Fargo,8000,7500,500,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000086965,Becker & Frondorf,7900,0,7900,2022-04-18 00:00:00 +0000,16, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Women'S Campaign International,6700,0,6700,2022-04-18 00:00:00 +0000,18, , ,0,          
