pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,50800,0,50800,2022-04-18 00:00:00 +0000,1, , ,0,          
C00008268,"",D000000178,Transport Workers Union,20000,20000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00422774,"",          ,Frontline USA,19185,5000,14185,2022-04-18 00:00:00 +0000,3, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,17500,17500,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00011262,"",D000024486,Brotherhood of Railroad Signalmen,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C70001979,"",D000000066,Teamsters Union                         ,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00516039,"",D000064490,Allegiant Travel Co,14550,5000,9550,2022-04-18 00:00:00 +0000,7, , ,0,          
C00001636,"",          ,SMART Transportation Division,13500,13500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000032041,Bollinger Shipyards,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
C00711747,"",D000034179,Greenbrier Companies,10800,5000,5800,2022-04-18 00:00:00 +0000,10, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00118208,"",D000021839,American Road & Transport Builders Assn,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00478099,"",D000045889,Atlas Air Worldwide,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00097865,"",D000027807,National Assn of Truck Stop Operators,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00319723,"",D000054186,National Business Aviation Assn,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00089458,"",D000022140,"National Stone, Sand & Gravel Assn",10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00004101,"",D000000387,National Utility Contractors Assn,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000037637,"Smith, Dawson & Andrews",10000,0,10000,2022-04-18 00:00:00 +0000,11, , ,0,          
C00441949,"",          ,JStreetPAC,9700,1000,8700,2022-04-18 00:00:00 +0000,23, , ,0,          
C00068692,"",D000000089,FedEx Corp,9000,9000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000062220,Lsn Partners,8700,0,8700,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Hamilton Construction,8400,0,8400,2022-04-18 00:00:00 +0000,26, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",8250,2500,5750,2022-04-18 00:00:00 +0000,27, , ,0,          
C00195388,"",D000021746,"Buchanan, Ingersoll & Rooney",8000,5000,3000,2022-04-18 00:00:00 +0000,28, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000032306,Capitol Counsel,7400,0,7400,2022-04-18 00:00:00 +0000,31, , ,0,          
C00104802,"",D000000350,Delta Air Lines,7000,7000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00346353,"",          ,CRH Americas,6500,6500,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00213173,"",D000000766,K&L Gates,6500,2500,4000,2022-04-18 00:00:00 +0000,33, , ,0,          
C00002881,"",D000000177,American Trucking Assns,6000,5000,1000,2022-04-18 00:00:00 +0000,35, , ,0,          
C00013961,"",D000000636,Sheet Metal & Air Conditioning Contractors Assn,6000,6000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000031469,American Capital,5800,0,5800,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000032033,Bohemian Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Connecticut Construction Industries,5800,0,5800,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000051349,Global Crop Diversity Trust,5800,0,5800,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000035437,Lone Pine Capital,5800,0,5800,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000065774,Richmond Global,5800,0,5800,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Small Scale Forestry,5800,0,5800,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000065090,Sol Goldman Investments,5800,0,5800,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000030300,Teaching Strategies Inc,5600,0,5600,2022-04-18 00:00:00 +0000,45, , ,0,          
C00384354,"",          ,Michigan Sugar,5500,5500,0,2022-04-18 00:00:00 +0000,46, , ,0,          
