pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00303024,"",D000000104,Lockheed Martin,29700,8500,21200,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Hamsterhead Inc,22400,0,22400,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000021898,Cavarocchi Ruscio Dennis Assoc,20000,0,20000,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Instap,17400,0,17400,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000022331,Yale University                         ,16915,0,16915,2022-04-18 00:00:00 +0000,5, , ,0,          
C00486928,"",D000046760,Alzheimer's Assn,15000,15000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,15000,15000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C70001979,"",D000000066,Teamsters Union,15000,15000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00008268,"",D000000178,Transport Workers Union,15000,15000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00390583,"",D000000724,"Brownstein, Hyatt et al",14400,5000,9400,2022-04-18 00:00:00 +0000,10, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,12500,12500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,12500,12500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,12500,12500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00002089,"",D000000075,Communications Workers of America,12000,12000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000031533,Analysis Group,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,History Press,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000070233,Inversant,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000052426,Ischemix,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000084276,LifeYield,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000089163,Nessel Development,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000078372,Sobrato Organization,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Cornerstone Govt Relations,10800,0,10800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000090878,Roeco Holdings,10800,0,10800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000068981,Woodbranch Investments,10800,0,10800,2022-04-18 00:00:00 +0000,22, , ,0,          
C00000729,"",D000000105,American Dental Assn,10000,10000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000031766,Bainbridge Companies,10000,0,10000,2022-04-18 00:00:00 +0000,25, , ,0,          
C00215285,"",D000000317,General Atomics,10000,10000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00078451,"",D000000165,General Dynamics,10000,10000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,10000,10000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,10000,10000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,10000,10000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00091561,"",D000021771,National Active & Retired Federal Employees Assn,10000,10000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,10000,10000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C70003124,"",D000000077,Service Employees International Union,10000,10000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000067802,Subject Matter,10000,0,10000,2022-04-18 00:00:00 +0000,25, , ,0,          
C00004861,"",D000022292,UNITE HERE,10000,10000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Westenfield Development Co,10000,0,10000,2022-04-18 00:00:00 +0000,25, , ,0,          
C00163048,"",D000000783,National Community Action Foundation,9500,9500,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00441949,"",          ,JStreetPAC,9300,3500,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000000406,University of California                ,9300,0,9300,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Good Startup,8800,0,8800,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",          ,Km Veterinary Services,8800,0,8800,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",          ,Japanica LLC,8700,0,8700,2022-04-18 00:00:00 +0000,43, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,8500,8500,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00432823,"",D000023939,American College of Rheumatology,7500,7500,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,7500,7500,0,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000035430,Loeb Partners,7400,0,7400,2022-04-18 00:00:00 +0000,48, , ,0,          
C00142711,"",D000000100,Boeing Co,7000,7000,0,2022-04-18 00:00:00 +0000,49, , ,0,          
C70000492,"",D000000064,National Education Assn,7000,7000,0,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000022170,Omnicom Group                           ,7000,0,7000,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000000147,Marine Engineers Beneficial Assn,6500,6500,0,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Azar Decorating,6000,0,6000,2022-04-18 00:00:00 +0000,53, , ,0,          
C00413484,"",D000024860,Clark Hill PLC,6000,0,6000,2022-04-18 00:00:00 +0000,53, , ,0,          
C00088591,"",D000000170,Northrop Grumman,6000,6000,0,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Okayd LLC,6000,0,6000,2022-04-18 00:00:00 +0000,53, , ,0,          
C00186288,"",D000000079,Verizon Communications,6000,6000,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",          ,Amneal,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000031993,BLS Investments,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000033773,Four M Investments,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000082392,Good Food Institute,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",          ,Hunter College,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
C00523936,"",D000052410,Iron Mountain Inc,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",          ,Maxmind,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",          ,Nased Corp,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",          ,Philanthropic Management,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",          ,Pranav Consultants,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000073428,Rxr Realty,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000090826,Tusk Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",          ,Unovis Partners,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",          ,Zev Zafir,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",          ,Spectrum Strategy,5400,0,5400,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000091521,Perricone Md,5100,0,5100,2022-04-18 00:00:00 +0000,74, , ,0,          
C00343459,"",D000021829,American College of Radiology,5000,5000,0,2022-04-18 00:00:00 +0000,75, , ,0,          
C00010322,"",D000000143,American Postal Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,75, , ,0,          
C00081414,"",D000000366,American Sugar Cane League,5000,5000,0,2022-04-18 00:00:00 +0000,75, , ,0,          
C90018227,"",D000071234,Animal Wellness Action,5000,5000,0,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",          ,Aurora Pictures,5000,0,5000,2022-04-18 00:00:00 +0000,75, , ,0,          
C00281212,"",D000000583,BAE Systems,5000,5000,0,2022-04-18 00:00:00 +0000,75, , ,0,          
C00324483,"",          ,Berkshire Hathaway Energy,5000,5000,0,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",D000031958,Bill & Melinda Gates Foundation,5000,0,5000,2022-04-18 00:00:00 +0000,75, , ,0,          
