pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000031938,Bessemer Venture Partners,23200,0,23200,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,D4 LLC,21600,0,21600,2022-04-18 00:00:00 +0000,2, , ,0,          
C00096156,"",D000000334,Honeywell International,20000,20000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00227546,"",D000000115,Microsoft Corp,19510,0,19510,2022-04-18 00:00:00 +0000,4, , ,0,          
C00311878,"",D000022110,Medtronic Inc,18500,18500,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,16000,16000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,15226,15000,226,2022-04-18 00:00:00 +0000,7, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,15000,15000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00219444,"",D000027916,National Structured Settlements Trade Assn,15000,15000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00012245,"",          ,UBS Americas,15000,15000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00360354,"",D000023883,Amazon.com,14255,10000,4255,2022-04-18 00:00:00 +0000,11, , ,0,          
C00361758,"",D000022272,T-Mobile USA,12850,10000,2850,2022-04-18 00:00:00 +0000,12, , ,0,          
C00284885,"",D000000419,Home Depot,12500,12500,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,12000,12000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000072028,Valve Corp,11650,0,11650,2022-04-18 00:00:00 +0000,15, , ,0,          
C00468314,"",D000025328,Democracy Engine,11600,0,11600,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000080422,Intersect Power,11600,0,11600,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",11600,0,11600,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000090826,Tusk Holdings,11600,0,11600,2022-04-18 00:00:00 +0000,16, , ,0,          
C00375048,"",D000025122,Consumer Technology Assn,11000,11000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00248716,"",D000000461,Comcast Corp,10250,10000,250,2022-04-18 00:00:00 +0000,21, , ,0,          
C00196246,"",D000000154,American Academy of Ophthalmology,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00357863,"",D000021878,Boston Scientific Corp,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00085316,"",D000000222,Cigna Corp,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00204099,"",D000000408,Deere & Co,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00211318,"",D000000131,Deloitte LLP,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00227744,"",D000000098,Ernst & Young,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00401299,"",          ,Fresenius Medical Care North America,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00125641,"",D000000804,Intel Corp,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00150367,"",D000000283,National Venture Capital Assn,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00365122,"",D000029689,Visa Inc,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,NOT EMPLOYED,8970,0,8970,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000021849,Ariel Investments,8700,0,8700,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000022106,McKinsey & Co,8600,0,8600,2022-04-18 00:00:00 +0000,37, , ,0,          
C00343137,"",          ,American Assn of Orthopaedic Surgeons,8500,8500,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00113241,"",D000027790,National Apartment Assn,8500,8500,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00542365,"",          ,Toyota Motor North America,8500,8500,0,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000031958,Bill & Melinda Gates Foundation,8400,0,8400,2022-04-18 00:00:00 +0000,41, , ,0,          
C00428623,"",          ,Google Inc,8025,7000,1025,2022-04-18 00:00:00 +0000,42, , ,0,          
C00098061,"",D000000619,Target Corp,8000,8000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00236414,"",          ,TransAmerica,8000,8000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00040279,"",D000000383,Abbott Laboratories,7500,7500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Clean Hydrogen Project Development,7500,0,7500,2022-04-18 00:00:00 +0000,45, , ,0,          
C00380550,"",          ,FMR Corp,7500,7500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,7500,7500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00158881,"",D000000249,New York Life Insurance,7500,7500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00064766,"",D000000081,United Parcel Service,7500,7500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00065219,"",D000000711,Wine Institute,7500,7500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00279216,"",D000059056,iHeartMedia Inc,7000,7000,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00671693,"",D000052372,Institute for Portfolio Alternatives,7000,7000,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00007948,"",D000000430,Weyerhaeuser Co,6500,6500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000035978,Monument Advocacy,6300,0,6300,2022-04-18 00:00:00 +0000,56, , ,0,          
C00529909,"",D000046532,Air Methods Corp,6000,6000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
C00405076,"",D000024328,Best Buy,6000,6000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
C00303024,"",D000000104,Lockheed Martin,6000,6000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
C00672790,"",D000030537,Trident Seafoods,6000,2500,3500,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Apercen Partners,5800,0,5800,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Archimedes Capital,5800,0,5800,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Archimedes Capital LLC,5800,0,5800,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",D000073744,Ballmer Group,5800,0,5800,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Executive Affiliates Inc,5800,0,5800,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Goodman Real Estate,5800,0,5800,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",D000087729,Richmark Label,5800,0,5800,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Children'S Hospital Guild Assn,5600,0,5600,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",          ,Domer Consulting,5500,0,5500,2022-04-18 00:00:00 +0000,69, , ,0,          
C00283135,"",D000022129,National Assn of Health Underwriters,5500,5500,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00196725,"",D000067800,Hewlett Packard Enterprise,5400,2500,2900,2022-04-18 00:00:00 +0000,71, , ,0,          
C00142711,"",D000000100,Boeing Co,5201,3500,1701,2022-04-18 00:00:00 +0000,72, , ,0,          
C00536573,"",D000066804,AbbVie Inc,5000,5000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00340356,"",D000021807,AdvaMed,5000,5000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00034157,"",D000000126,AFLAC Inc,5000,5000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00413955,"",D000023922,American Assn of Neurological Surgeons,5000,5000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00375360,"",D000021828,American College of Cardiology,5000,5000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,5000,5000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00148031,"",D000000352,Caterpillar Inc,5000,5000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00346353,"",          ,CRH Americas,5000,5000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00068692,"",D000000089,FedEx Corp,5000,5000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000088412,Fulcrum Public Affairs,5000,0,5000,2022-04-18 00:00:00 +0000,73, , ,0,          
C00271007,"",D000000652,Humana Inc,5000,5000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00337626,"",D000000106,Morgan Stanley,5000,5000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00005249,"",D000000096,National Assn of Insurance & Financial Advisors,5000,5000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,5000,5000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00068528,"",          ,Pacific Life Insurance,5000,5000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00193672,"",D000028211,Pacific Seafood Processors Assn,5000,3000,2000,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000087351,Pivotal Ventures,5000,0,5000,2022-04-18 00:00:00 +0000,73, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00101592,"",          ,Puget Sound Energy,5000,5000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00270421,"",          ,Ste Michelle Wine Estates,5000,5000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,5000,5000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00502807,"",D000074087,US Peanut PAC,5000,5000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00300178,"",D000019743,Wells Fargo,5000,5000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,5000,5000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C70000492,"",D000000064,National Education Assn,4900,2000,2900,2022-04-18 00:00:00 +0000,97, , ,0,          
C00106146,"",D000000116,American Hospital Assn,4500,4500,0,2022-04-18 00:00:00 +0000,98, , ,0,          
C00012880,"",D000000298,American Physical Therapy Assn,4500,4500,0,2022-04-18 00:00:00 +0000,98, , ,0,          
C00426874,"",D000025782,Federation of Exchange Accommodators,4500,4500,0,2022-04-18 00:00:00 +0000,98, , ,0,          
C00105981,"",D000000262,Investment Co Institute,4500,4500,0,2022-04-18 00:00:00 +0000,98, , ,0,          
C00388827,"",D000066716,Rock Holdings,4500,4500,0,2022-04-18 00:00:00 +0000,98, , ,0,          
C00544817,"",          ,State Farm Mutual Automobile Insurance,4500,4500,0,2022-04-18 00:00:00 +0000,98, , ,0,          
         ,"",D000058656,Winged Keel Group,4500,0,4500,2022-04-18 00:00:00 +0000,98, , ,0,          
