pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00552851,"",D000068902,House Freedom Fund,12800,7000,5800,2022-04-18 00:00:00 +0000,1, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000060063,American Development Corp,9100,0,9100,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000030599,Uline Inc,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Walker Die Casting Inc,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00153445,"",D000027856,National HealthCare Corp,4000,4000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000048116,C Baker Consulting,3000,0,3000,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000061057,Dts America,2900,0,2900,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000034387,Healthmark Ventures,2900,0,2900,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000037401,Scalise for Congress,2000,2000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000021831,Acg Advocacy,1000,0,1000,2022-04-18 00:00:00 +0000,12, , ,0,          
C00281212,"",D000000583,BAE Systems,1000,1000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00142711,"",D000000100,Boeing Co,1000,1000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00326439,"",D000022031,House Conservatives Fund,1000,1000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00303024,"",D000000104,Lockheed Martin,1000,1000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,1000,1000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00480863,"",D000054336,National Shooting Sports Foundation,1000,1000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,1000,1000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00411116,"",D000029147,SpaceX,1000,1000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000031477,American Defense International,750,0,750,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Congressional Institute,694,0,694,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Conversant Group,500,0,500,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000034677,Innovative Federal Strategies,500,0,500,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Innovative Strategies,500,0,500,2022-04-18 00:00:00 +0000,23, , ,0,          
C00484535,"",D000065181,Votesane PAC,500,0,500,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000030955,Weichert Realtors,500,0,500,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,CRC Inc,7,0,7,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Nccog,4,0,4,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Degu,3,0,3,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000000476,State of New York,3,0,3,2022-04-18 00:00:00 +0000,30, , ,0,          
