pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000031938,Bessemer Venture Partners,31600,0,31600,2022-04-18 00:00:00 +0000,1, , ,0,          
C00699470,"",D000073971,Pro-Israel America PAC,29000,0,29000,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Sixpoint Partners,20000,0,20000,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000070576,Kps Capital Partners,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000021845,Apollo Global Management,10000,0,10000,2022-04-18 00:00:00 +0000,5, , ,0,          
C00109017,"",D000000076,AT&T Inc,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C70003124,"",D000000077,Service Employees International Union,10000,5000,5000,2022-04-18 00:00:00 +0000,5, , ,0,          
C00064774,"",D000000321,NextEra Energy,7500,7500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Schmier & Feurring Properties,7500,0,7500,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Radical Ventures,6800,0,6800,2022-04-18 00:00:00 +0000,10, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000032534,Chieftain Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000021927,Columbia University,5800,0,5800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000034269,Hager Pacific Properties,5800,0,5800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000054848,Nrp Group,5800,0,5800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000000552,Paloma Partners,5800,0,5800,2022-04-18 00:00:00 +0000,11, , ,0,          
C00540153,"",D000056911,Soundexchange,5500,5000,500,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000074012,Carolyn Rowan Accessories,5000,0,5000,2022-04-18 00:00:00 +0000,18, , ,0,          
C00110585,"",D000000825,Citizens Organized PAC,5000,5000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Schneider-Wallace,5000,0,5000,2022-04-18 00:00:00 +0000,18, , ,0,          
C00234120,"",D000029610,US Sugar,5000,2500,2500,2022-04-18 00:00:00 +0000,18, , ,0,          
