pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00217877,"",D000022262,Southern Glazer's Wine & Spirits,23600,15000,8600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Ra Johnson Developer,21600,0,21600,2022-04-18 00:00:00 +0000,2, , ,0,          
C00215285,"",D000000317,General Atomics,21500,15000,6500,2022-04-18 00:00:00 +0000,3, , ,0,          
C00078451,"",D000000165,General Dynamics,20000,15000,5000,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Steward Health Care,17400,0,17400,2022-04-18 00:00:00 +0000,5, , ,0,          
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,15000,15000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00234120,"",D000029610,US Sugar,14500,7000,7500,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Burgos Lanza & Assoc,12900,0,12900,2022-04-18 00:00:00 +0000,8, , ,0,          
C00142711,"",D000000100,Boeing Co,12000,12000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000088448,Advocate Radiation Oncology,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Cushman School,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,National Health Transport,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000037403,SCF Partners,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000030199,Sunshine Gasoline Distributors,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000065804,Thiel Capital,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000069797,Veritiv Corp,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Diaz-Balart PLLC,11400,0,11400,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,11000,10000,1000,2022-04-18 00:00:00 +0000,18, , ,0,          
C00433060,"",D000029531,Republican Governance Group,11000,11000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00286401,"",D000000145,Seafarers International Union,11000,11000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Crown Communications,10000,0,10000,2022-04-18 00:00:00 +0000,21, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,10000,10000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00075341,"",D000000355,Motorola Solutions,10000,10000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00088591,"",D000000170,Northrop Grumman,10000,10000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,10000,10000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Real Estate Empire Group,10000,0,10000,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Red6,10000,0,10000,2022-04-18 00:00:00 +0000,21, , ,0,          
C00303024,"",D000000104,Lockheed Martin,9000,9000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000071086,Heico Corp,8700,0,8700,2022-04-18 00:00:00 +0000,29, , ,0,          
C00004275,"",D000000087,American Bankers Assn,8500,8500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000034245,Gus Machado Ford,7800,0,7800,2022-04-18 00:00:00 +0000,31, , ,0,          
C00151787,"",          ,Cubic Corp,7500,7500,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00096156,"",D000000334,Honeywell International,7500,7500,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00546234,"",D000000369,Leidos Inc,7500,7500,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Summit Management,7290,0,7290,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000034677,Innovative Federal Strategies,6800,0,6800,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000037635,Ballard Partners,6550,0,6550,2022-04-18 00:00:00 +0000,38, , ,0,          
C00281212,"",D000000583,BAE Systems,6500,6500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00488262,"",D000070195,Netjets Assn of Shared Aircraft Pilots,6500,6500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000021757,Berkshire Hathaway,6000,6000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00213173,"",D000000766,K&L Gates,6000,2000,4000,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",          ,Peck Madigan Jones,6000,0,6000,2022-04-18 00:00:00 +0000,41, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00763623,"",D000073362,Anduril Industries,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Arazoza Brothers,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000032468,Century Homebuilders,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Century Homes,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
C00608943,"",          ,ClearPath Action,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000074016,Codina Partners,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000088246,Condista,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,First National Bank of Florida,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Florida Crystals,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Florida Value Partners,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Frey Farms,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Inspire Oncology,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000085774,Mbb Auto Group,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000062476,Milton & Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,National Transport,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Southern/Glazer'S Distributors,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Steward,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000030377,Third Point LLC,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000085694,United Property Management (Florida),5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Walbridge,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,South Florida Auto Dealers,5600,0,5600,2022-04-18 00:00:00 +0000,65, , ,0,          
C00421230,"",D000025729,Airbus Group,5500,5500,0,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",          ,Costa Nursery,5500,0,5500,2022-04-18 00:00:00 +0000,66, , ,0,          
