pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00002089,"",D000000075,Communications Workers of America,10000,10000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000037573,Silicon Laboratories,6800,0,6800,2022-04-18 00:00:00 +0000,3, , ,0,          
C00403881,"",          ,American College of Physicians Services,6000,6000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Asuragen,5800,0,5800,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Hamsterhead Inc,5800,0,5800,2022-04-18 00:00:00 +0000,5, , ,0,          
C00204453,"",D000000550,King & Spalding,5800,0,5800,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000091651,Law Offices of R Stephen McNally,5800,0,5800,2022-04-18 00:00:00 +0000,5, , ,0,          
C00178012,"",          ,People's United Bank,5800,0,5800,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000031082,"Williams, Hart et al",5800,0,5800,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Liaison Resources,5700,0,5700,2022-04-18 00:00:00 +0000,11, , ,0,          
C00486928,"",D000046760,Alzheimer's Assn,5000,5000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00024521,"",D000000065,American Assn for Justice,5000,5000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00102764,"",D000000269,American Chiropractic Assn,5000,5000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00432823,"",D000023939,American College of Rheumatology,5000,5000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00000729,"",D000000105,American Dental Assn,5000,5000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,5000,5000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00089086,"",D000000472,American Occupational Therapy Assn,5000,5000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,5000,5000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Higginbotham,5000,0,5000,2022-04-18 00:00:00 +0000,12, , ,0,          
C00158576,"",D000000189,International Longshoremens Assn,5000,5000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00342907,"",          ,Laborers Union/Midwest Region,5000,5000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,5000,5000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,5000,5000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,5000,5000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00521039,"",D000071025,National Organization of Social Security Claimants,5000,5000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,5000,5000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C70001979,"",D000000066,Teamsters Union,5000,5000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Texan By Nature,5000,0,5000,2022-04-18 00:00:00 +0000,12, , ,0,          
C00002840,"",D000000070,United Auto Workers,5000,5000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00003590,"",D000000102,United Steelworkers,5000,5000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00441949,"",          ,JStreetPAC,4250,4000,250,2022-04-18 00:00:00 +0000,35, , ,0,          
C00109017,"",D000000076,AT&T Inc,4000,4000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000030347,Democratic Party of Texas,4000,4000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C70000492,"",D000000064,National Education Assn,4000,4000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",          ,Ted Lieu for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,3750,3500,250,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,"McElroy, Sullivan, Miller & Weber",3500,0,3500,2022-04-18 00:00:00 +0000,41, , ,0,          
C00415372,"",D000027801,National Assn of Enrolled Agents,3000,3000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,2012 Usp Holdings,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Aerendgast Capital LLC,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Axzon Inc,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000031900,Ben Barnes Group,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Bill Wood Ventures,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Brophy & Devaney PLLC,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Cantilo & Bennett LLP,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Cas Consulting & Services,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Cognitive Scale,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000033000,Cushman & Wakefield,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Engineering Micro Research Inc,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Eric M Albritton Pc,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000051313,Ghg Corp,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Ginger Petroleum Co,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000044126,Hendler Flores Law,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Jellyfish,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Jpm Advisory LLC,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000089163,Nessel Development,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Notley,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Phc,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
C00339085,"",D000000794,Qualcomm Inc,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Ruby Ranch,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Seidel Law Firm,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000070582,Slack & Davis,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Society of Tradition Medicine & Art,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Texstarmarketing Inc,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Two Oak Ventures,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000082933,Vital Farms,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000090147,Wentwood Companies,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Whit Hanks Antiques,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Zydeco Development,2900,0,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000022296,University of Texas                     ,2511,0,2511,2022-04-18 00:00:00 +0000,74, , ,0,          
C00034157,"",D000000126,AFLAC Inc,2500,2500,0,2022-04-18 00:00:00 +0000,75, , ,0,          
C00359539,"",D000021821,American Academy of Dermatology Assn,2500,2500,0,2022-04-18 00:00:00 +0000,75, , ,0,          
C00411553,"",D000023903,American Academy of Family Physicians,2500,2500,0,2022-04-18 00:00:00 +0000,75, , ,0,          
C00173153,"",D000000349,American Assn of Nurse Anesthesiology,2500,2500,0,2022-04-18 00:00:00 +0000,75, , ,0,          
C00375360,"",D000021828,American College of Cardiology,2500,2500,0,2022-04-18 00:00:00 +0000,75, , ,0,          
C00106146,"",D000000116,American Hospital Assn,2500,2500,0,2022-04-18 00:00:00 +0000,75, , ,0,          
C00000422,"",D000000068,American Medical Assn,2500,2500,0,2022-04-18 00:00:00 +0000,75, , ,0,          
C00005157,"",D000000218,Boilermakers Union,2500,2500,0,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",          ,C3 Presents,2500,0,2500,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",          ,Dmn Corp,2500,0,2500,2022-04-18 00:00:00 +0000,75, , ,0,          
